RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Katholieke Volkspartij (KVP);Partij van de Arbeid (P.v.d.A.);Anti-Revolutionaire Partij;Communistische Partij van Nederland;Christelijk-Historische Unie;Partij van de Vrijheid;Staatkundig Gereformeerde Partij (SGP)
Heino;G0162;10854;Overijssel;P23;0;1669;0;;1669;804;306;111;5;399;39;3
Hekelingen;G1074;10873;Zuid-Holland;P28;0;547;0;;547;1;284;96;24;24;97;15
Hekendorp;G1075;10217;Zuid-Holland;P28;0;375;0;;375;100;42;89;3;61;40;39
Helden;G0918;10205;Limburg;P31;0;3744;0;;3744;3690;36;5;4;4;3;2
Hellendoorn;G0163;10806;Overijssel;P23;0;8794;0;;8794;1884;1973;1964;210;2009;261;99
Hellevoetsluis;G0530;11078;Zuid-Holland;P28;0;547;0;;547;19;300;77;26;45;69;8
Helmond;G0794;10932;Noord-Brabant;P30;0;14992;0;;14992;10827;2802;111;973;79;155;14
Helvoirt;G0795;10389;Noord-Brabant;P30;0;1279;0;;1279;1173;39;9;5;34;11;3
Hemelumer Oldeferd;G0075;10334;Fryslân;P21;0;2769;0;;2769;103;664;572;27;1136;25;29
Hemmen;G1076;11162;Gelderland;P25;0;124;0;;124;2;19;26;1;36;11;29
Hendrik-Ido-Ambacht;G0531;10416;Zuid-Holland;P28;0;2739;0;;2739;12;788;694;54;419;157;603
Hengelo;G0248;10359;Gelderland;P25;0;2833;0;;2833;973;680;668;27;317;125;43
Hengelo;G0164;10907;Overijssel;P23;0;24528;0;;24528;8098;8783;1364;3998;794;1300;40
Hennaarderadeel;G0076;10877;Fryslân;P21;0;2562;0;;2562;118;783;560;15;875;94;7
Hensbroek;G0401;10181;Noord-Holland;P27;0;533;0;;533;261;196;8;48;5;4;3
Herkingen;G1078;10267;Zuid-Holland;P28;0;478;0;;478;;34;216;1;16;13;197
Herten;G0919;10138;Limburg;P31;0;802;0;;802;749;35;6;7;3;2;
Herwen en Aerdt;G0249;10819;Gelderland;P25;0;2597;0;;2597;2012;303;42;23;173;39;5
Herwijnen;G0250;11266;Gelderland;P25;0;964;0;;964;6;309;331;3;211;39;65
Het Bildt;G0063;10128;Fryslân;P21;0;5030;0;;5030;28;1756;1703;612;671;238;3
Heteren;G0251;10290;Gelderland;P25;0;2136;0;;2136;1096;110;232;18;406;37;237
Heukelum;G0533;11308;Zuid-Holland;P28;0;911;0;;911;7;395;240;7;120;122;11
Heumen;G0252;10600;Gelderland;P25;0;1401;0;;1401;1273;67;23;4;25;7;2
Heusden;G0797;10307;Noord-Brabant;P30;0;1545;0;;1545;942;249;112;27;116;41;41
Heythuysen;G0920;10840;Limburg;P31;0;1467;0;;1467;1421;26;3;4;2;10;1
Hillegom;G0534;11236;Zuid-Holland;P28;0;6365;0;;6365;3379;1087;712;108;775;224;64
Hilvarenbeek;G0798;11297;Noord-Brabant;P30;0;2464;0;;2464;2007;306;29;24;49;37;6
Hilversum;G0402;11285;Noord-Holland;P27;0;43883;0;;43883;9350;13275;6283;5773;2768;4456;760
Hindeloopen;G0077;10672;Fryslân;P21;0;526;0;;526;10;253;66;44;141;;
Hoedekenskerke;G0673;11072;Zeeland;P29;0;808;0;;808;404;59;51;4;164;23;102
Hoek;G0674;10038;Zeeland;P29;0;1593;0;;1593;36;404;240;26;371;218;291
Hoenkoop;G0319;10611;Utrecht;P26;0;287;0;;287;133;14;68;;40;13;15
Hoensbroek;G0921;11177;Limburg;P31;0;6439;0;;6439;3992;1064;117;1185;51;12;18
Hoevelaken;G0253;11358;Gelderland;P25;0;827;0;;827;42;184;79;5;367;20;124
Hoeven;G0799;10065;Noord-Brabant;P30;0;2250;0;;2250;2106;74;38;7;13;3;3
Holten;G0165;11246;Overijssel;P23;0;2559;0;;2559;66;723;431;33;840;361;13
Hontenisse;G0675;11123;Zeeland;P29;0;2907;0;;2907;2596;123;38;13;111;17;7
Hoofdplaat;G0676;10147;Zeeland;P29;0;649;0;;649;524;34;14;13;47;8;5
Hoogblokland;G0535;11040;Zuid-Holland;P28;0;451;0;;451;3;127;180;1;3;111;23
Hooge en Lage Mierde;G0801;10476;Noord-Brabant;P30;0;1125;0;;1125;1081;24;7;3;6;2;
Hooge en Lage Zwaluwe;G0802;11318;Noord-Brabant;P30;0;2181;0;;2181;1095;211;124;6;656;41;28
Hoogeloon, Hapert en Casteren;G0800;10657;Noord-Brabant;P30;0;1420;0;;1420;1366;16;2;;36;;
Hoogeveen;G0118;10839;Drenthe;P22;0;8579;0;;8579;90;1894;4061;443;1659;322;70
Hoogezand;G1083;10410;Groningen;P20;0;6902;0;;6902;528;2998;556;1625;242;814;5
Hoogkarspel;G0403;10642;Noord-Holland;P27;0;1178;0;;1178;797;306;9;30;7;28;1
Hoogkerk;G1084;10953;Groningen;P20;0;2339;0;;2339;44;834;802;239;241;163;2
Hoogland;G0320;10545;Utrecht;P26;0;1891;0;;1891;1413;116;97;20;161;20;47
Hoogwoud;G0404;11029;Noord-Holland;P27;0;1330;0;;1330;617;451;39;118;10;83;3
Hoorn;G0405;11392;Noord-Holland;P27;0;7320;0;;7320;2352;2836;419;832;196;543;11
Hoornaar;G0536;10516;Zuid-Holland;P28;0;411;0;;411;;108;201;4;6;71;16
Horn;G0922;11176;Limburg;P31;0;1198;0;;1198;1138;46;4;7;2;1;
Horssen;G0254;10607;Gelderland;P25;0;559;0;;559;487;8;;1;55;6;2
Horst;G0923;11108;Limburg;P31;0;4200;0;;4200;4097;78;7;6;5;6;1
Houten;G0321;10230;Utrecht;P26;0;1338;0;;1338;909;84;112;14;59;24;135
Huijbergen;G0803;10466;Noord-Brabant;P30;0;360;0;;360;339;10;7;1;3;;
Huissen;G0255;11047;Gelderland;P25;0;2981;0;;2981;2695;113;31;13;112;13;4
Huizen;G0406;11170;Noord-Holland;P27;0;5763;0;;5763;121;1225;2501;212;862;334;443
Hulsberg;G0924;11216;Limburg;P31;0;896;0;;896;800;53;7;33;1;2;
Hulst;G0677;11408;Zeeland;P29;0;2103;0;;2103;1771;185;16;31;35;44;3
Hummelo en Keppel;G0256;11235;Gelderland;P25;0;1783;0;;1783;310;707;327;43;170;212;14
Hunsel;G0925;10784;Limburg;P31;0;1335;0;;1335;1291;34;3;4;3;;
Hurwenen;G1089;11432;Gelderland;P25;0;306;0;;306;105;92;35;9;47;6;12
Idaarderadeel;G0078;10815;Fryslân;P21;0;3587;0;;3587;193;2399;212;523;128;120;4
IJlst;G0102;11062;Fryslân;P21;0;770;0;;770;10;245;252;15;223;6;2
IJsselmuiden;G0191;10641;Overijssel;P23;0;3285;0;;3285;401;364;872;15;540;81;992
IJsselstein;G0353;10152;Utrecht;P26;0;2543;0;;2543;1363;346;200;17;395;17;192
IJzendijke;G0730;10688;Zeeland;P29;0;1420;0;;1420;828;245;110;39;65;101;13
Ilpendam;G0407;10809;Noord-Holland;P27;0;1299;0;;1299;241;440;131;317;112;40;3
Itteren;G0926;10458;Limburg;P31;0;310;0;;310;284;19;;2;3;1;1
Jabeek;G0927;10256;Limburg;P31;0;289;0;;289;266;18;1;3;;1;
Jisp;G0408;10481;Noord-Holland;P27;0;395;0;;395;20;235;12;97;6;24;
Jutphaas;G0322;10374;Utrecht;P26;0;5063;0;;5063;1790;1623;685;396;361;67;107
Kamerik;G0323;10554;Utrecht;P26;0;1052;0;;1052;361;62;217;2;278;1;129
Kampen;G0166;10253;Overijssel;P23;0;11511;0;;11511;1107;2990;3551;227;2134;338;1045
Kantens;G0020;10372;Groningen;P20;0;1264;0;;1264;22;547;346;32;117;198;1
Kapelle;G0678;11223;Zeeland;P29;0;2174;0;;2174;44;475;437;19;781;182;228
Kattendijke;G0679;11218;Zeeland;P29;0;645;0;;645;5;306;41;4;207;34;26
Katwijk;G0537;10707;Zuid-Holland;P28;0;8605;0;;8605;455;1059;1260;129;4784;171;710
Katwoude;G0409;11136;Noord-Holland;P27;0;138;0;;138;21;41;23;8;37;8;
Kedichem;G0538;10280;Zuid-Holland;P28;0;605;0;;605;5;230;109;12;23;206;19
Kerkrade;G0928;10313;Limburg;P31;0;16625;0;;16625;11224;2357;111;2684;125;92;32
Kerkwerve;G1095;10837;Zeeland;P29;0;391;0;;391;1;77;146;1;89;39;35
Kerkwijk;G0257;10791;Gelderland;P25;0;720;0;;720;3;184;398;3;64;15;53
Kessel;G0929;10890;Limburg;P31;0;950;0;;950;920;20;3;2;3;1;1
Kesteren;G0258;10916;Gelderland;P25;0;2183;0;;2183;20;593;704;17;120;92;637
Klaaswaal;G0539;10284;Zuid-Holland;P28;0;1225;0;;1225;5;418;303;34;161;137;159
Klimmen;G0930;10977;Limburg;P31;0;1087;0;;1087;1028;33;1;17;2;6;
Kloetinge;G0680;10155;Zeeland;P29;0;1044;0;;1044;55;228;175;8;432;64;62
Kloosterburen;G0021;10628;Groningen;P20;0;1256;0;;1256;523;264;308;8;16;129;
Klundert;G0804;10656;Noord-Brabant;P30;0;2265;0;;2265;750;116;780;9;436;20;138
Kockengen;G0324;10765;Utrecht;P26;0;702;0;;702;262;15;178;5;98;4;122
Koedijk;G0410;10510;Noord-Holland;P27;0;1103;0;;1103;287;426;61;209;36;49;
Koewacht;G0681;10892;Zeeland;P29;0;1147;0;;1147;1010;77;16;13;3;22;4
Kollumerland en Nieuwkruisland;G0079;10984;Fryslân;P21;0;5055;0;;5055;17;733;2437;88;1415;217;137
Koog aan de Zaan;G0411;10776;Noord-Holland;P27;0;4017;0;;4017;380;1612;404;1258;76;243;21
Kortenhoef;G1097;10467;Noord-Holland;P27;0;1108;0;;1108;267;300;135;76;186;35;93
Kortgene;G0682;10250;Zeeland;P29;0;2263;0;;2263;8;910;391;26;497;250;165
Koudekerk aan den Rijn;G0540;10029;Zuid-Holland;P28;0;841;0;;841;85;81;320;8;286;23;34
Koudekerke;G1098;11428;Zeeland;P29;0;1073;0;;1073;23;196;401;11;332;35;63
Krabbendijke;G0684;11038;Zeeland;P29;0;1453;0;;1453;12;218;222;23;363;70;537
Krimpen aan de Lek;G0541;10617;Zuid-Holland;P28;0;1810;0;;1810;7;818;556;117;27;147;130
Krimpen aan den IJssel;G0542;10859;Zuid-Holland;P28;0;3157;0;;3157;24;1399;465;225;294;143;598
Krommenie;G0413;10373;Noord-Holland;P27;0;3652;0;;3652;844;982;293;1329;49;128;2
Kruiningen;G0685;10077;Zeeland;P29;0;2469;0;;2469;409;725;320;38;452;209;301
Kuinre;G0167;11148;Overijssel;P23;0;455;0;;455;39;220;46;28;97;15;2
Kwadijk;G0414;10775;Noord-Holland;P27;0;243;0;;243;6;167;13;27;8;20;2
Landsmeer;G0415;11225;Noord-Holland;P27;0;2124;0;;2124;98;742;418;559;216;60;20
Langbroek;G0325;11413;Utrecht;P26;0;745;0;;745;132;92;194;5;132;10;175
Lange Ruige Weide;G1101;10900;Zuid-Holland;P28;0;394;0;;394;16;26;165;;100;6;76
Langedijk;G0416;10955;Noord-Holland;P27;0;4469;0;;4469;1190;1500;829;437;332;144;13
Langerak;G0543;11127;Zuid-Holland;P28;0;492;0;;492;2;81;260;5;20;45;77
Laren;G0417;10649;Noord-Holland;P27;0;5163;0;;5163;2300;1014;329;517;179;744;22
Laren (Gld.);G0259;10098;Gelderland;P25;0;3370;0;;3370;82;1125;445;130;542;1004;1
Leek;G0022;10604;Groningen;P20;0;4380;0;;4380;38;1666;1538;183;407;518;1
Leende;G0805;11017;Noord-Brabant;P30;0;1092;0;;1092;1029;53;4;;2;1;3
Leens;G0023;11050;Groningen;P20;0;2218;0;;2218;224;605;886;63;38;379;
Leerbroek;G0544;10465;Zuid-Holland;P28;0;448;0;;448;;31;222;6;47;22;119
Leerdam;G0545;10685;Zuid-Holland;P28;0;4961;0;;4961;198;1535;1559;237;586;348;486
Leersum;G0326;11142;Utrecht;P26;0;1480;0;;1480;33;461;344;44;239;151;193
Leeuwarden;G0080;11228;Fryslân;P21;0;40318;0;;40318;3987;18987;6876;4576;2880;2664;135
Leeuwarderadeel;G0081;10851;Fryslân;P21;0;2759;0;;2759;18;1585;646;160;135;198;3
Leiden;G0546;10702;Zuid-Holland;P28;0;45078;0;;45078;9531;16132;5603;5676;4196;3081;515
Leiderdorp;G0547;10058;Zuid-Holland;P28;0;2114;0;;2114;321;438;780;28;403;76;52
Leidschendam;G0548;10742;Zuid-Holland;P28;0;4924;0;;4924;3088;612;387;112;335;290;26
Leimuiden;G0549;11351;Zuid-Holland;P28;0;1082;0;;1082;530;108;254;14;103;24;10
Lekkerkerk;G0550;10050;Zuid-Holland;P28;0;2633;0;;2633;12;1109;384;99;25;648;338
Lemsterland;G0082;10142;Fryslân;P21;0;4140;0;;4140;285;1353;846;605;897;62;64
Leusden;G0327;10978;Utrecht;P26;0;1494;0;;1494;493;257;242;46;262;67;105
Lexmond;G0551;10930;Zuid-Holland;P28;0;973;0;;973;3;248;372;4;170;52;122
Lichtenvoorde;G0260;10242;Gelderland;P25;0;4218;0;;4218;3551;320;113;5;207;13;1
Liempde;G0806;10390;Noord-Brabant;P30;0;1022;0;;1022;992;20;5;3;;1;
Lienden;G0261;11093;Gelderland;P25;0;2424;0;;2424;36;1007;494;23;317;305;242
Lieshout;G0807;10637;Noord-Brabant;P30;0;1302;0;;1302;1263;23;;6;2;2;2
Limbricht;G0931;11124;Limburg;P31;0;1209;0;;1209;1116;84;1;5;1;;2
Limmen;G0418;11370;Noord-Holland;P27;0;1390;0;;1390;1137;104;10;96;7;30;
Linne;G0932;10990;Limburg;P31;0;921;0;;921;833;59;6;13;5;2;3
Linschoten;G0328;11324;Utrecht;P26;0;934;0;;934;272;50;185;18;208;18;172
Lisse;G0553;10197;Zuid-Holland;P28;0;5085;0;;5085;2791;508;616;37;666;150;301
Lith;G0808;11219;Noord-Brabant;P30;0;1564;0;;1564;1458;76;2;2;12;2;
Lochem;G0262;11263;Gelderland;P25;0;3646;0;;3646;238;1667;239;756;266;451;4
Loenen;G0329;11202;Utrecht;P26;0;853;0;;853;174;139;161;25;186;73;75
Loenersloot;G1105;10208;Utrecht;P26;0;285;0;;285;82;19;75;5;59;1;25
Loon op Zand;G0809;11259;Noord-Brabant;P30;0;5798;0;;5798;5257;165;146;9;70;7;141
Loosdrecht;G0330;10639;Utrecht;P26;0;2147;0;;2147;140;496;535;178;467;142;166
Lopik;G0331;10333;Utrecht;P26;0;2095;0;;2095;507;332;539;46;257;30;241
Loppersum;G0024;10934;Groningen;P20;0;2080;0;;2080;2;650;945;42;126;301;1
Losser;G0168;11166;Overijssel;P23;0;8579;0;;8579;6272;916;149;690;449;77;4
Luyksgestel;G0810;10011;Noord-Brabant;P30;0;618;0;;618;596;10;9;;2;;1
Maarheeze;G0811;11143;Noord-Brabant;P30;0;1563;0;;1563;1522;25;2;5;6;3;
Maarn;G0332;10392;Utrecht;P26;0;1183;0;;1183;95;381;150;75;276;74;125
Maarssen;G0333;10191;Utrecht;P26;0;2319;0;;2319;657;649;351;162;323;66;96
Maarsseveen;G1108;10874;Utrecht;P26;0;1169;0;;1169;234;251;199;70;353;24;28
Maartensdijk;G0334;10691;Utrecht;P26;0;6127;0;;6127;1228;1814;1246;314;463;609;352
Maasbracht;G0933;10964;Limburg;P31;0;1200;0;;1200;1093;72;11;5;9;8;2
Maasbree;G0934;11352;Limburg;P31;0;2545;0;;2545;2493;38;5;1;1;5;2
Maasdam;G0554;11019;Zuid-Holland;P28;0;966;0;;966;2;325;274;12;143;127;79
Maasdriel;G0263;10341;Gelderland;P25;0;2090;0;;2090;1694;110;37;15;195;7;32
Maasland;G0555;10393;Zuid-Holland;P28;0;1674;0;;1674;273;51;686;1;608;29;24
Maasniel;G1110;11261;Limburg;P31;0;2370;0;;2370;1960;328;22;26;16;11;7
Maassluis;G0556;10880;Zuid-Holland;P28;0;5349;0;;5349;359;1630;1804;196;1152;92;103
Maastricht;G0935;10182;Limburg;P31;0;35186;0;;35186;21884;9348;337;2734;145;653;85
Made en Drimmelen;G0812;10258;Noord-Brabant;P30;0;2723;0;;2723;2290;181;106;9;95;31;8
Margraten;G0936;11243;Limburg;P31;0;677;0;;677;643;29;;1;;3;1
Markelo;G0169;11382;Overijssel;P23;0;3110;0;;3110;203;1135;716;96;215;677;20
Marken;G0419;10901;Noord-Holland;P27;0;776;0;;776;3;67;262;10;411;;
Marum;G0025;11431;Groningen;P20;0;3598;0;;3598;36;1299;1166;423;160;464;1
Maurik;G0264;10300;Gelderland;P25;0;2333;0;;2333;149;1105;270;61;261;426;61
Medemblik;G0420;11215;Noord-Holland;P27;0;2395;0;;2395;937;512;300;316;194;102;9
Meeden;G0026;10304;Groningen;P20;0;1073;0;;1073;10;449;297;144;26;138;2
Meerkerk;G0557;10618;Zuid-Holland;P28;0;1059;0;;1059;8;290;429;19;45;195;72
Meerlo;G0937;11416;Limburg;P31;0;1316;0;;1316;1276;26;4;8;1;1;
Meerssen;G0938;10494;Limburg;P31;0;3226;0;;3226;2754;308;34;72;15;31;12
Megen, Haren en Macharen;G0813;10988;Noord-Brabant;P30;0;979;0;;979;953;22;1;2;;1;
Meijel;G0941;10925;Limburg;P31;0;1312;0;;1312;1286;21;;2;1;;2
Melick en Herkenbosch;G0939;10196;Limburg;P31;0;1129;0;;1129;1046;55;10;9;5;2;2
Meliskerke;G1112;11221;Zeeland;P29;0;301;0;;301;4;6;106;3;26;1;155
Melissant;G1113;10918;Zuid-Holland;P28;0;1022;0;;1022;29;239;389;;80;34;251
Menaldumadeel;G0083;11144;Fryslân;P21;0;6238;0;;6238;284;3073;1354;467;800;225;4
Meppel;G0119;11204;Drenthe;P22;0;7828;0;;7828;219;3376;1337;486;1629;651;46
Merkelbeek;G0940;10763;Limburg;P31;0;691;0;;691;645;27;;15;4;;
Mheer;G0942;10538;Limburg;P31;0;490;0;;490;471;10;4;1;2;2;
Middelburg;G0687;10122;Zeeland;P29;0;11576;0;;11576;810;4437;2501;660;1656;688;608
Middelharnis;G0559;11067;Zuid-Holland;P28;0;2711;0;;2711;118;681;826;39;77;388;570
Middelie;G0421;10452;Noord-Holland;P27;0;296;0;;296;1;255;7;18;2;12;
Middelstum;G0027;11199;Groningen;P20;0;1486;0;;1486;4;408;819;50;69;127;
Midwolda;G0028;10356;Groningen;P20;0;2544;0;;2544;13;740;719;212;580;207;6
Midwoud;G0422;10924;Noord-Holland;P27;0;683;0;;683;52;436;18;47;13;110;1
Mierlo;G0814;10215;Noord-Brabant;P30;0;2968;0;;2968;2609;266;12;58;10;11;1
Mijdrecht;G0336;11379;Utrecht;P26;0;2450;0;;2450;997;369;497;18;398;56;87
Mijnsheerenland;G0564;11112;Zuid-Holland;P28;0;1023;0;;1023;8;214;428;6;172;125;62
Mill en Sint Hubert;G0815;10535;Noord-Brabant;P30;0;2869;0;;2869;2758;59;20;12;5;12;1
Millingen aan de Rijn;G0265;10072;Gelderland;P25;0;1585;0;;1585;1407;129;4;30;7;6;2
Moergestel;G0816;11191;Noord-Brabant;P30;0;1375;0;;1375;1311;43;3;3;6;9;
Moerkapelle;G0560;11383;Zuid-Holland;P28;0;501;0;;501;3;106;230;2;21;23;111
Molenaarsgraaf;G0561;10166;Zuid-Holland;P28;0;299;0;;299;;33;157;1;13;27;65
Monnickendam;G0423;10983;Noord-Holland;P27;0;1486;0;;1486;339;330;182;136;420;66;1
Monster;G0562;10019;Zuid-Holland;P28;0;5988;0;;5988;3038;648;1005;31;574;102;568
Montfoort;G0335;10033;Utrecht;P26;0;1107;0;;1107;777;62;97;6;122;6;36
Montfort;G0943;10266;Limburg;P31;0;726;0;;726;681;37;3;3;1;;1
Mook en Middelaar;G0944;10271;Limburg;P31;0;936;0;;936;836;76;5;4;4;10;1
Moordrecht;G0563;10120;Zuid-Holland;P28;0;1492;0;;1492;153;534;334;11;58;196;202
Muiden;G0424;10958;Noord-Holland;P27;0;1714;0;;1714;389;471;300;101;389;44;8
Munstergeleen;G0945;10273;Limburg;P31;0;809;0;;809;613;187;;9;;;
Muntendam;G0029;10550;Groningen;P20;0;1993;0;;1993;43;1106;168;343;179;141;4
Naaldwijk;G0565;11418;Zuid-Holland;P28;0;7561;0;;7561;2509;1267;1767;29;1278;580;112
Naarden;G0425;10187;Noord-Holland;P27;0;5670;0;;5670;1074;1772;818;298;310;1209;70
Nederhemert;G1115;10310;Gelderland;P25;0;570;0;;570;6;79;145;5;32;17;286
Nederhorst den Berg;G0426;10715;Noord-Holland;P27;0;1173;0;;1173;396;174;227;118;228;13;9
Nederweert;G0946;10681;Limburg;P31;0;3565;0;;3565;3498;52;5;2;;4;4
Neede;G0266;10367;Gelderland;P25;0;3605;0;;3605;644;1943;322;158;284;240;3
Neer;G0947;10682;Limburg;P31;0;1111;0;;1111;1073;36;;2;;;
Nibbixwoud;G0427;10091;Noord-Holland;P27;0;817;0;;817;511;184;10;16;10;78;
Nieuw- en Sint Joosland;G1117;11340;Zeeland;P29;0;890;0;;890;9;201;164;9;298;62;131
Nieuw-Beijerland;G0566;10092;Zuid-Holland;P28;0;883;0;;883;8;312;187;14;18;70;265
Nieuwe Niedorp;G0428;10073;Noord-Holland;P27;0;1082;0;;1082;225;555;38;161;8;86;1
Nieuwe Pekela;G0030;10950;Groningen;P20;0;2748;0;;2748;200;829;593;457;439;205;16
Nieuwe Tonge;G1119;10502;Zuid-Holland;P28;0;1101;0;;1101;10;335;381;5;11;74;283
Nieuwenhagen;G0948;10088;Limburg;P31;0;2166;0;;2166;1493;220;17;401;13;8;14
Nieuwenhoorn;G1121;10338;Zuid-Holland;P28;0;962;0;;962;4;522;78;62;15;278;3
Nieuwer-Amstel;G1249;10799;Noord-Holland;P27;0;10362;0;;10362;2962;2550;2066;522;1155;967;43
Nieuwerkerk;G1122;10911;Zeeland;P29;0;957;0;;957;7;237;266;3;88;150;191
Nieuwerkerk aan den IJssel;G0567;10855;Zuid-Holland;P28;0;2097;0;;2097;145;704;389;28;356;173;259
Nieuweschans;G0031;10008;Groningen;P20;0;1038;0;;1038;8;378;56;414;40;132;3
Nieuw-Ginneken;G0817;10406;Noord-Brabant;P30;0;2622;0;;2622;2321;208;38;17;19;15;3
Nieuw-Helvoet;G1118;10264;Zuid-Holland;P28;0;1256;0;;1256;8;728;163;36;69;236;9
Nieuwkoop;G0569;10728;Zuid-Holland;P28;0;1780;0;;1780;960;193;135;6;287;132;60
Nieuwland;G0570;11213;Zuid-Holland;P28;0;334;0;;334;2;80;145;5;13;46;42
Nieuw-Lekkerland;G0571;10547;Zuid-Holland;P28;0;2078;0;;2078;9;495;630;66;111;124;628
Nieuwleusen;G0170;10384;Overijssel;P23;0;2063;0;;2063;7;445;440;5;833;150;137
Nieuwolda;G0032;10126;Groningen;P20;0;1029;0;;1029;8;385;178;89;173;183;2
Nieuwpoort;G0572;10748;Zuid-Holland;P28;0;447;0;;447;2;72;196;7;14;56;96
Nieuwstadt;G0949;11140;Limburg;P31;0;632;0;;632;577;48;;4;;2;1
Nieuwveen;G0573;10487;Zuid-Holland;P28;0;964;0;;964;429;123;201;3;157;37;14
Nieuwvliet;G0690;11165;Zeeland;P29;0;290;0;;290;3;117;28;1;45;87;2
Nieuw-Vossemeer;G0818;10401;Noord-Brabant;P30;0;788;0;;788;703;21;15;2;36;7;3
Nigtevecht;G0337;10160;Utrecht;P26;0;402;0;;402;29;75;99;22;167;6;1
Nijeveen;G0121;10774;Drenthe;P22;0;838;0;;838;5;262;214;6;220;128;1
Nijkerk;G0267;10446;Gelderland;P25;0;5954;0;;5954;428;1159;1532;105;2168;96;377
Nijmegen;G0268;11209;Gelderland;P25;0;51177;0;;51177;30898;12517;1127;3288;1432;1792;123
Nisse;G0691;11086;Zeeland;P29;0;387;0;;387;79;38;44;2;132;24;58
Nistelrode;G0819;10094;Noord-Brabant;P30;0;1667;0;;1667;1596;29;23;6;7;1;2
Noorbeek;G0950;10283;Limburg;P31;0;412;0;;412;394;17;;;;1;
Noordbroek;G1126;10814;Groningen;P20;0;1099;0;;1099;6;505;55;233;59;215;1
Noorddijk;G1127;10979;Groningen;P20;0;1351;0;;1351;18;585;201;137;110;278;3
Noordeloos;G0574;10296;Zuid-Holland;P28;0;677;0;;677;;125;359;1;16;98;78
Noordgouwe;G1128;11107;Zeeland;P29;0;468;0;;468;2;147;90;6;94;94;31
Noordoostelijke Polder;G1404;10144;Niet-provinciaal ingedeeld;P99;0;2074;0;;2074;485;597;356;379;154;42;33
Noordwelle;G1129;10055;Zeeland;P29;0;231;0;;231;;87;32;1;33;55;18
Noordwijk;G0575;10769;Zuid-Holland;P28;0;6009;0;;6009;2738;1120;863;206;818;212;30
Noordwijkerhout;G0576;11134;Zuid-Holland;P28;0;3313;0;;3313;2874;111;59;22;228;8;10
Nootdorp;G0577;10601;Zuid-Holland;P28;0;1016;0;;1016;668;101;74;3;104;41;14
Norg;G0120;10608;Drenthe;P22;0;2258;0;;2258;64;1115;319;89;203;456;5
Nuenen, Gerwen en Nederwetten;G0820;10761;Noord-Brabant;P30;0;2343;0;;2343;2050;180;22;30;41;18;
Nuland;G0821;10118;Noord-Brabant;P30;0;727;0;;727;711;12;;1;;1;
Numansdorp;G0578;11346;Zuid-Holland;P28;0;2304;0;;2304;14;826;833;26;275;189;133
Nuth;G0951;10104;Limburg;P31;0;2105;0;;2105;1628;355;11;98;7;2;4
Obbicht en Papenhoven;G0952;10388;Limburg;P31;0;716;0;;716;573;123;5;8;2;3;2
Obdam;G0429;11338;Noord-Holland;P27;0;1008;0;;1008;881;94;3;18;1;9;
Odijk;G1131;11003;Utrecht;P26;0;268;0;;268;158;35;7;1;45;3;17
Odoorn;G0122;11320;Drenthe;P22;0;5890;0;;5890;307;2096;678;603;711;1471;7
Oeffelt;G0822;10360;Noord-Brabant;P30;0;724;0;;724;693;26;;1;1;2;1
Oegstgeest;G0579;10287;Zuid-Holland;P28;0;5129;0;;5129;1187;1036;1004;91;859;820;92
Ohé en Laak;G0953;10420;Limburg;P31;0;306;0;;306;293;6;;;5;2;
Oirsbeek;G0954;10504;Limburg;P31;0;1087;0;;1087;1014;54;4;8;2;4;1
Oirschot;G0823;10225;Noord-Brabant;P30;0;3003;0;;3003;2785;133;16;37;13;7;6
Oisterwijk;G0824;10103;Noord-Brabant;P30;0;3875;0;;3875;3106;615;57;34;16;40;4
Oldebroek;G0269;11106;Gelderland;P25;0;5379;0;;5379;203;1137;2038;48;1039;125;689
Oldehove;G0035;10298;Groningen;P20;0;1279;0;;1279;5;326;663;5;93;181;
Oldekerk;G0036;11332;Groningen;P20;0;1066;0;;1066;3;243;607;10;81;113;
Oldemarkt;G0172;10858;Overijssel;P23;0;1603;0;;1603;201;483;129;27;690;57;1
Oldenzaal;G0173;11100;Overijssel;P23;0;5714;0;;5714;4238;935;182;100;116;121;6
Olst;G0174;10409;Overijssel;P23;0;3514;0;;3514;874;1378;200;327;199;494;18
Ommen;G0175;11069;Overijssel;P23;0;5071;0;;5071;463;831;1553;24;1212;220;26
Onstwedde;G1250;10610;Groningen;P20;0;9928;0;;9928;1152;2761;2253;1114;1891;431;26
Ooltgensplaat;G1133;11163;Zuid-Holland;P28;0;1603;0;;1603;254;482;370;11;157;76;245
Oost- en West-Souburg;G1135;11396;Zeeland;P29;0;2143;0;;2143;96;821;478;129;512;39;58
Oost-, West- en Middelbeers;G0825;10220;Noord-Brabant;P30;0;882;0;;882;857;11;5;;8;;
Oostburg;G0692;10782;Zeeland;P29;0;1379;0;;1379;401;454;141;38;87;203;27
Oostdongeradeel;G0084;11102;Fryslân;P21;0;4308;0;;4308;5;498;2514;18;1129;116;11
Oosterhesselen;G0123;10490;Drenthe;P22;0;1617;0;;1617;4;704;507;38;140;218;5
