RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Katholieke Volkspartij (KVP);Partij van de Arbeid (P.v.d.A.);Anti-Revolutionaire Partij;Communistische Partij van Nederland;Christelijk-Historische Unie;Partij van de Vrijheid;Staatkundig Gereformeerde Partij (SGP)
Wageningen;G0289;11010;Gelderland;P25;0;8644;0;;8644;1358;3007;978;808;1295;715;386
Wamel;G0290;10042;Gelderland;P25;0;3349;0;;3349;2945;148;60;49;117;27;3
Wanneperveen;G0187;10105;Overijssel;P23;0;903;0;;903;5;249;191;8;376;38;28
Wanroij;G0868;10265;Noord-Brabant;P30;0;1409;0;;1409;1370;23;9;2;1;4;
Wanssum;G0987;10991;Limburg;P31;0;502;0;;502;495;4;2;;1;;
Warder;G0455;11073;Noord-Holland;P27;0;289;0;;289;4;211;13;26;5;28;
Warffum;G0049;10498;Groningen;P20;0;1423;0;;1423;7;652;401;52;47;250;
Warmenhuizen;G0456;10221;Noord-Holland;P27;0;1214;0;;1214;795;197;82;119;2;13;2
Warmond;G0628;10204;Zuid-Holland;P28;0;1623;0;;1623;1062;235;68;8;115;115;15
Warnsveld;G0291;10838;Gelderland;P25;0;2451;0;;2451;297;904;459;104;406;254;6
Waspik;G0869;10402;Noord-Brabant;P30;0;1569;0;;1569;1237;84;102;8;115;5;15
Wassenaar;G0629;10164;Zuid-Holland;P28;0;11548;0;;11548;3876;2080;1547;297;801;2753;94
Wateringen;G0630;11329;Zuid-Holland;P28;0;2671;0;;2671;1948;111;199;7;351;29;7
Waterlandkerkje;G0722;10352;Zeeland;P29;0;299;0;;299;109;60;27;3;50;18;25
Wedde;G1220;10247;Groningen;P20;0;2058;0;;2058;27;989;136;426;179;280;3
Weerselo;G0188;10893;Overijssel;P23;0;3659;0;;3659;3435;120;21;11;26;19;
Weert;G0988;11081;Limburg;P31;0;8410;0;;8410;7660;548;63;65;39;24;11
Weesp;G0457;10773;Noord-Holland;P27;0;4169;0;;4169;814;1398;583;422;671;157;19
Weesperkarspel;G1221;10377;Noord-Holland;P27;0;1824;0;;1824;586;332;322;101;410;25;30
Wehl;G0292;11116;Gelderland;P25;0;1741;0;;1741;1614;53;14;6;38;8;8
Wemeldinge;G0723;11145;Zeeland;P29;0;1312;0;;1312;20;272;352;21;423;111;90
Werkendam;G0870;10078;Noord-Brabant;P30;0;1767;0;;1767;19;484;507;57;319;60;291
Werkhoven;G1223;11299;Utrecht;P26;0;541;0;;541;382;25;23;5;46;2;53
Wervershoof;G0459;11270;Noord-Holland;P27;0;1879;0;;1879;1757;72;24;16;4;2;1
Wessem;G0989;10127;Limburg;P31;0;586;0;;586;558;25;2;;;;1
Westbroek;G1224;10145;Utrecht;P26;0;622;0;;622;78;109;197;11;168;8;38
Westdongeradeel;G0097;10129;Fryslân;P21;0;4115;0;;4115;27;1058;1462;163;1141;199;44
Westdorpe;G0724;10915;Zeeland;P29;0;1136;0;;1136;828;227;15;20;21;17;4
Westerbork;G0134;11095;Drenthe;P22;0;3106;0;;3106;38;1585;659;76;298;433;11
Westerhoven;G0871;11041;Noord-Brabant;P30;0;383;0;;383;382;1;;;;;
Westervoort;G0293;11085;Gelderland;P25;0;1356;0;;1356;908;192;74;37;115;18;12
Westkapelle;G0726;10931;Zeeland;P29;0;1183;0;;1183;31;353;177;116;222;37;204
Westmaas;G0631;10695;Zuid-Holland;P28;0;526;0;;526;1;103;206;2;109;67;35
Weststellingwerf;G0098;11322;Fryslân;P21;0;10637;0;;10637;1076;5161;859;1642;1318;519;9
Westwoud;G0460;11101;Noord-Holland;P27;0;684;0;;684;438;184;4;16;7;33;
Westzaan;G0461;11381;Noord-Holland;P27;0;1794;0;;1794;49;624;263;686;51;62;51
Wierden;G0189;10676;Overijssel;P23;0;7032;0;;7032;1942;1153;1621;109;1381;177;380
Wieringen;G0462;11277;Noord-Holland;P27;0;3709;0;;3709;308;1758;387;843;113;272;13
Wieringermeer;G0463;10239;Noord-Holland;P27;0;552;0;;552;85;183;135;22;72;50;4
