Year,OuderRegioNaam,Unnamed: 0,Kiesgerechtigden,Opkomst,OngeldigeStemmen,BlancoStemmen,GeldigeStemmen,VVD,PVV (Partij voor de Vrijheid),CDA,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,Volt,JA21,BBB,BIJ1,Piratenpartij,Rooms-Katholieke Staatspartij (RKSP),Sociaal-Democratische Arbeiderspartij (SDAP),Anti-Revolutionaire Partij,Liberale Unie,CHU 1,Vrijzinnig-Democratische Bond (VDB),CHU 2,Vrijheidsbond 1,Vrijheidsbond 2,Communistische Partij van Nederland,HGSP,Christelijk-Historische Unie,Liberale Staatspartij (LSP),Rooms-Katholieke Volkspartij (RKVP),Plattelandersbond,Christelijk-Democratische Unie,Nationaal-Socialistische Beweging (NSB),Katholieke Volkspartij (KVP),Partij van de Vrijheid,Overig,Lijst Welter,Katholieke Nationale Partij,Gereformeerd Politiek Verbond (GPV),Pacifistisch-Socialistische Partij (PSP),Boeren Partij,Democratisch Socialisten '70,Politieke Partij Radikalen (PPR),Nederlandse Middenstands Partij,Rooms Katholieke Partij Nederland (RKPN),Reformatorische Politieke Federatie (RPF),Evangelische Volkspartij,CP,Centrumdemocraten,GL,De Groenen,Algemeen Ouderen Verbond (AOV),Ouderen Unie 55+,Lijst Pim Fortuyn,LN,Verenigde Senioren Partij,ETnNL,TROTS op Nederland Lijst Rita Verdonk
1929,Noord-Brabant,82610,370666,356936,221,117,356362,0,0,0,0,0,0,0,0,0,0,2338,0,0,0,0,0,0,0,282329,23405,9383,0,0,4088,0,0,0,0,1194,10807,3818,8978,735,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,Noord-Holland,68773,673330,543004,3635,468,538915,0,0,0,0,0,0,0,0,0,0,3343,0,0,0,0,0,0,0,99829,188406,40164,0,0,48225,0,0,0,0,5361,38733,45199,3102,2848,3071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,Overijssel,30365,208324,225457,401,417,224660,0,0,0,0,0,0,0,0,0,0,5683,0,0,0,0,0,0,0,55935,55324,28708,0,0,13872,0,0,0,0,1731,34277,12851,2151,3030,1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,Total,1078,3588106,3212329,42678,4299,3168258,0,0,0,0,0,0,0,0,0,0,71420,0,0,0,0,0,0,0,931832,762281,371698,0,0,193031,0,0,0,0,34442,335800,232187,21894,32301,12407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,Utrecht,41932,200438,186005,8904,0,177101,0,0,0,0,0,0,0,0,0,0,7864,0,0,0,0,0,0,0,45084,37337,29254,0,0,8944,0,0,0,0,1875,24348,12740,1338,1005,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,Zeeland,62927,78266,102881,2804,390,99707,0,0,0,0,0,0,0,0,0,0,9285,0,0,0,0,0,0,0,18273,14940,16393,0,0,6737,0,0,0,0,609,19028,9613,309,1088,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,Zuid-Holland,103745,956752,794034,6026,907,787098,0,0,0,0,0,0,0,0,0,0,29238,0,0,0,0,0,0,0,150907,217234,113623,0,0,38929,0,0,0,0,15829,89683,81454,2169,4992,1881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,Drenthe,18284,106189,100195,1584,3497,95114,0,0,0,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,3905,24429,18719,0,0,9201,0,0,0,1727,254,12030,10979,256,7128,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,Fryslân,21889,216676,203330,1941,3689,197700,0,0,0,0,0,0,0,0,0,0,1214,0,0,0,0,0,0,0,12284,48646,47552,0,0,20013,0,0,0,5972,1384,32950,10235,496,1953,7959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,Gelderland,52912,438951,405366,4478,11393,389506,0,0,0,0,0,0,0,0,0,0,14320,0,0,0,0,0,0,0,117023,70748,49572,0,0,17112,0,0,0,5650,3209,49730,27581,4559,11452,3854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
