RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Liberale Unie;CHU 1;Vrijzinnig-Democratische Bond (VDB);Economische Bond;Bond van Vrije Liberalen 1;Sociaal-Democratische Partij (SDP);Middenstandspartij;Christen-Democratische Partij;CHU 2;Socialistische Partij (SOPA);Bond van Vrije Liberalen 2;Bond van Christen-Socialisten;Christelijk-Sociale Partij;Neutrale Partij;Verbond Democratisering Weermacht;Algemene Staatspartij;Politie Partij;Plattelandersbond (links);Staatkundig Gereformeerde Partij (SGP);Plattelandersbond (rechts);Algemeen Vrijzinnige Partij;Groep Van der Zwaag;Groep Alberda;Groep Kuiper;Amsterdamse Politie- en Brandweerpartij;Nationale Bond van Protestantse Kiezers;Unionisten-Liga (Volkswelvaartspartij);Neutrale en Koloniale Bond;Volkspartij;Groep Stoffel;Groep Braam
Ridderkerk;G0597;10646;Zuid-Holland;P28;2398;2156;0;;2156;8;468;1095;23;25;69;30;191;24;5;24;1;12;6;7;71;5;2;;;17;8;51;13;;;;;;;;1;;
Riethoven;G0837;10455;Noord-Brabant;P30;136;131;0;;131;131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rietveld;G1160;10828;Zuid-Holland;P28;166;155;0;;155;24;4;51;5;53;7;2;;;;;1;;;;2;;1;;;4;;;1;;;;;;;;;;
Rijckholt;G1165;10824;Limburg;P31;72;70;0;;70;69;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rijnsaterwoude;G0601;11129;Zuid-Holland;P28;125;114;0;;114;45;1;28;4;20;4;;6;;2;;;;;;2;;;;1;;;1;;;;;;;;;;;
Rijnsburg;G0602;11118;Zuid-Holland;P28;774;699;0;;699;24;36;411;3;174;2;4;2;5;;2;3;1;;4;1;;;1;7;11;;8;;;;;;;;;;;
Rijsbergen;G0841;10866;Noord-Brabant;P30;433;401;0;;401;377;5;;2;3;1;4;1;2;;;;;;;;1;;;5;;;;;;;;;;;;;;
Rijsenburg;G1166;10613;Utrecht;P26;190;219;0;;219;93;13;31;;54;2;2;7;2;1;;;;9;1;1;;1;1;1;;;;;;;;;;;;;;
Rijssen;G0178;10358;Overijssel;P23;1540;1453;0;;1453;192;203;178;62;184;9;13;19;6;1;5;11;3;5;2;3;3;8;17;4;1;523;1;;;;;;;;;;;
Rijswijk;G0603;11133;Zuid-Holland;P28;1866;1674;0;;1674;501;178;219;255;132;55;71;102;12;5;13;8;1;24;7;6;51;12;;;6;;14;1;;;;;;;;1;;
Rijswijk (NB);G0842;11016;Noord-Brabant;P30;171;160;0;;160;2;6;72;35;22;2;7;8;1;;1;1;;;;1;2;;;;;;;;;;;;;;;;;
Rilland-Bath;G0702;10479;Zeeland;P29;464;442;0;;442;80;15;114;87;38;15;6;3;2;1;;6;;1;2;1;1;3;5;3;1;58;;;;;;;;;;;;
Ritthem;G1163;10652;Zeeland;P29;168;163;0;;163;2;6;62;7;56;5;6;;1;1;;1;1;3;;1;;;2;2;1;6;;;;;;;;;;;;
Rockanje;G0598;10464;Zuid-Holland;P28;585;537;0;;537;3;236;79;22;2;11;9;16;18;1;;7;;4;1;3;2;1;;;114;1;6;1;;;;;;;;;;
Roden;G0125;10699;Drenthe;P22;940;861;0;;861;;371;144;62;13;149;44;11;3;5;;19;;7;;7;4;6;1;4;10;;1;;;;;;;;;;;
Roermond;G0957;11313;Limburg;P31;3122;2818;0;;2818;1814;288;6;475;14;39;85;7;1;12;;;;;20;1;3;32;7;14;;;;;;;;;;;;;;
Roggel;G0958;10505;Limburg;P31;424;406;0;;406;400;;;2;;1;1;;;;;;;;;;;;2;;;;;;;;;;;;;;;
Rolde;G0126;10470;Drenthe;P22;622;565;0;;565;1;190;20;47;4;229;9;7;3;2;;15;;3;;18;2;6;;6;3;;;;;;;;;;;;;
Roosendaal en Nispen;G0838;10407;Noord-Brabant;P30;4103;3609;0;;3609;3017;323;13;18;43;33;54;9;59;4;5;1;;;7;1;;4;6;12;;;;;;;;;;;;;;
Roosteren;G0959;10954;Limburg;P31;247;229;0;;229;205;3;2;1;;1;3;1;1;;;;;;;1;;;11;;;;;;;;;;;;;;;
Rosmalen;G0839;10970;Noord-Brabant;P30;831;759;0;;759;731;9;;;;;5;1;;7;;;;;;1;2;;3;;;;;;;;;;;;;;;
Rossum;G0276;10860;Gelderland;P25;346;322;0;;322;125;48;57;2;6;12;1;46;;1;2;2;;8;5;1;;5;;1;;;;;;;;;;;;;;
Rotterdam;G0599;10345;Zuid-Holland;P28;108915;90853;0;;90853;13735;39397;10761;2364;3712;1843;3001;4814;3396;1509;331;263;408;;1305;191;588;334;242;161;97;;178;2032;;;;;191;;;;;
Rozenburg;G0600;11314;Zuid-Holland;P28;562;532;0;;532;3;41;229;46;102;11;11;38;6;7;1;6;2;3;1;;1;1;;;5;;15;1;;;;;;;;2;;
Rozendaal;G0277;10684;Gelderland;P25;101;92;0;;92;;9;3;3;2;14;8;43;1;1;;;;;2;;1;1;;4;;;;;;;;;;;;;;
Rucphen;G0840;11152;Noord-Brabant;P30;1279;1162;0;;1162;1136;8;;;1;2;5;;4;1;;;;;;;1;;1;3;;;;;;;;;;;;;;
Ruinen;G0127;10629;Drenthe;P22;967;842;0;;842;3;257;112;371;6;9;9;10;5;;;35;;2;;5;2;4;2;4;3;;3;;;;;;;;;;;
Ruinerwold;G0128;10944;Drenthe;P22;678;634;0;;634;5;73;133;340;19;9;9;5;5;2;;17;;;;1;1;;;11;1;;3;;;;;;;;;;;
Ruurlo;G0278;10879;Gelderland;P25;876;809;0;;809;167;117;70;346;3;16;3;9;7;9;3;;;5;;10;2;;1;1;31;7;;;;;;2;;;;;;
Ruwiel;G1164;10526;Utrecht;P26;122;102;0;;102;22;;70;;9;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Sambeek;G1167;10339;Noord-Brabant;P30;433;423;0;;423;414;2;;1;2;3;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Sappemeer;G1168;10080;Groningen;P20;1475;1183;0;;1183;146;545;137;44;30;156;17;4;22;8;8;6;21;10;5;4;1;;;2;12;;1;;;;;;;;;;;4
Sas van Gent;G0704;11405;Zeeland;P29;490;434;0;;434;202;116;3;88;;8;5;;1;2;;;;;2;;;2;3;2;;;;;;;;;;;;;;
Sassenheim;G0604;10612;Zuid-Holland;P28;737;682;0;;682;314;20;161;8;133;10;15;3;;;;;;;6;5;;1;1;5;;;;;;;;;;;;;;
Schaesberg;G0960;11335;Limburg;P31;789;760;0;;760;555;141;4;;15;19;8;4;4;1;;;;;1;;;1;4;3;;;;;;;;;;;;;;
Schagen;G0441;10511;Noord-Holland;P27;927;820;0;;820;196;139;5;23;6;384;12;15;3;4;4;1;2;;4;;9;4;3;3;;;1;;;;;;;2;;;;
Schaijk;G0843;10276;Noord-Brabant;P30;415;400;0;;400;392;;;;;;;;1;6;;;;;;;1;;;;;;;;;;;;;;;;;
Schalkwijk;G1169;10378;Utrecht;P26;321;328;0;;328;288;4;18;;14;2;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;
Scheemda;G0039;10711;Groningen;P20;1463;1334;0;;1334;7;503;303;50;165;232;15;6;7;8;8;;;3;5;1;1;3;;7;3;;1;;;;;;;;;;;6
Schellinkhout;G0442;10772;Noord-Holland;P27;152;142;0;;142;9;11;1;74;1;20;3;;1;3;1;;2;;14;;;1;;1;;;;;;;;;;;;;;
Schelluinen;G0605;11399;Zuid-Holland;P28;118;104;0;;104;;18;21;2;7;3;3;40;1;;;;2;1;;;;;;;2;;4;;;;;;;;;;;
Schermerhorn;G0443;10308;Noord-Holland;P27;283;260;0;;260;60;55;15;64;3;20;9;8;3;5;3;1;;;1;1;4;1;;3;;;4;;;;;;;;;;;
Scherpenisse;G0705;10375;Zeeland;P29;381;331;0;;331;3;10;43;94;56;19;4;2;3;5;;5;;5;1;;1;2;5;5;;68;;;;;;;;;;;;
Scherpenzeel;G0279;11146;Gelderland;P25;382;355;0;;355;;50;116;65;3;;4;5;;6;1;87;;1;;1;;1;;10;2;2;;;;;;1;;;;;;
Schiebroek;G1170;11306;Zuid-Holland;P28;158;145;0;;145;36;10;30;4;28;3;3;2;1;;;3;;;;5;;1;;2;7;;7;3;;;;;;;;;;
Schiedam;G0606;11260;Zuid-Holland;P28;7998;7166;0;;7166;2145;1868;877;509;532;279;269;75;85;66;50;44;189;23;36;15;29;6;;;10;8;28;20;;;;;;;;3;;
Schiermonnikoog;G0088;10355;Fryslân;P21;164;135;0;;135;;14;27;68;8;5;3;;;;2;2;;2;2;;;;1;;1;;;;;;;;;;;;;
Schijndel;G0844;11178;Noord-Brabant;P30;1537;1457;0;;1457;1411;;1;;4;;6;2;1;19;1;;;;1;1;4;2;;4;;;;;;;;;;;;;;
Schimmert;G0961;11076;Limburg;P31;377;366;0;;366;362;;;;;1;2;;;;;;;;;;;;1;;;;;;;;;;;;;;;
Schin op Geul;G1171;10780;Limburg;P31;274;257;0;;257;233;8;;1;;2;2;;;;;;;;;;;;9;2;;;;;;;;;;;;;;
Schinnen;G0962;10132;Limburg;P31;639;615;0;;615;580;16;;1;;1;3;1;2;;;;;;;;;;8;3;;;;;;;;;;;;;;
Schinveld;G0963;10492;Limburg;P31;323;312;0;;312;298;2;;2;1;1;4;2;1;;;;;;;;;;;1;;;;;;;;;;;;;;
Schipluiden;G0607;10130;Zuid-Holland;P28;296;284;0;;284;164;1;57;7;45;2;;2;;;4;;;;;;;;;;;;2;;;;;;;;;;;
Schoondijke;G0706;10189;Zeeland;P29;448;417;0;;417;62;4;57;259;10;10;1;1;1;2;;2;;2;;1;;2;3;;;;;;;;;;;;;;;
Schoonebeek;G0129;10064;Drenthe;P22;608;564;0;;564;176;42;127;111;60;8;;6;6;1;;7;;2;;6;2;2;;4;4;;;;;;;;;;;;;
Schoonhoven;G0608;10980;Zuid-Holland;P28;1148;1041;0;;1041;186;185;264;103;100;86;8;18;10;10;3;4;;;10;4;2;18;3;12;4;;3;8;;;;;;;;;;
Schoonrewoerd;G0609;10214;Zuid-Holland;P28;249;232;0;;232;1;12;126;3;29;;1;21;1;2;1;2;4;2;;;;1;;;2;15;6;3;;;;;;;;;;
Schoorl;G0444;10627;Noord-Holland;P27;446;414;0;;414;149;52;2;27;1;75;5;62;2;2;4;1;2;;6;1;8;4;3;6;;;;;;;;;;2;;;;
Schore;G1172;10544;Zeeland;P29;233;202;0;;202;26;13;58;33;28;12;4;1;4;;;;1;2;5;1;;;1;2;;11;;;;;;;;;;;;
Schoten;G1173;10382;Noord-Holland;P27;2945;2554;0;;2554;766;950;131;12;134;169;97;11;108;25;23;5;8;6;37;6;8;29;13;6;;;;;;;;;5;5;;;;
Schoterland;G1174;10680;Fryslân;P21;4018;3383;0;;3383;87;1344;476;72;264;136;54;28;30;;13;10;22;52;31;27;39;1;27;14;62;;2;;550;35;7;;;;;;;
Serooskerke (Schouwen);G1175;11014;Zeeland;P29;92;86;0;;86;;9;10;57;;;;;;3;;;;;1;;;1;;1;4;;;;;;;;;;;;;
Serooskerke (Walcheren);G1176;11256;Zeeland;P29;384;359;0;;359;;3;277;6;8;14;11;2;1;3;;7;;1;;3;2;3;1;;;17;;;;;;;;;;;;
Sevenum;G0964;10045;Limburg;P31;609;589;0;;589;577;1;;;;;4;1;;;;;;;;;1;;5;;;;;;;;;;;;;;;
's-Graveland;G0390;10534;Noord-Holland;P27;383;338;0;;338;62;37;55;18;107;4;18;8;4;11;1;2;1;;3;;2;;;2;;;;;;;;;2;1;;;;
's-Gravendeel;G0517;10052;Zuid-Holland;P28;1089;1000;0;;1000;2;250;343;8;34;45;12;207;14;10;10;3;10;5;1;;2;1;;;21;4;13;2;;;;;;;;3;;
's-Gravenhage;G0518;11434;Zuid-Holland;P28;74479;64022;0;;64022;12600;20225;5913;4980;3048;2674;4347;2614;2242;330;150;105;442;629;456;869;775;649;416;130;;;;191;;;;;;;237;;;
's-Gravenmoer;G0787;10469;Noord-Brabant;P30;347;261;0;;261;11;3;174;7;12;1;2;41;1;;;3;;;;3;;2;;1;;;;;;;;;;;;;;
's-Gravenpolder;G0666;11059;Zeeland;P29;260;245;0;;245;25;4;54;18;35;7;2;1;1;;;1;1;1;;3;;;;2;;90;;;;;;;;;;;;
