RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Liberale Unie;CHU 1;Vrijzinnig-Democratische Bond (VDB);Economische Bond;Bond van Vrije Liberalen 1;Sociaal-Democratische Partij (SDP);Middenstandspartij;Christen-Democratische Partij;CHU 2;Socialistische Partij (SOPA);Bond van Vrije Liberalen 2;Bond van Christen-Socialisten;Christelijk-Sociale Partij;Neutrale Partij;Verbond Democratisering Weermacht;Algemene Staatspartij;Politie Partij;Plattelandersbond (links);Staatkundig Gereformeerde Partij (SGP);Plattelandersbond (rechts);Algemeen Vrijzinnige Partij;Groep Van der Zwaag;Groep Alberda;Groep Kuiper;Amsterdamse Politie- en Brandweerpartij;Nationale Bond van Protestantse Kiezers;Unionisten-Liga (Volkswelvaartspartij);Neutrale en Koloniale Bond;Volkspartij;Groep Stoffel;Groep Braam
Waarde;G0721;10082;Zeeland;P29;235;223;0;;223;;3;18;32;63;17;3;1;;5;;;1;;;1;;1;;;;78;;;;;;;;;;;;
Waardenburg;G0288;10238;Gelderland;P25;362;331;0;;331;23;49;21;;132;5;;35;;2;;2;;15;2;;1;4;;1;;39;;;;;;;;;;;;
Waarder;G1217;10830;Zuid-Holland;P28;196;183;0;;183;6;;80;13;46;4;2;3;1;2;1;1;;;;;;;;18;4;;2;;;;;;;;;;;
Waddinxveen;G0627;10081;Zuid-Holland;P28;1433;1302;0;;1302;209;320;300;92;187;66;8;3;6;6;7;5;1;;18;8;3;8;1;16;23;;11;4;;;;;;;;;;
Wadenoijen;G1218;10201;Gelderland;P25;452;405;0;;405;45;100;25;2;4;7;4;149;3;1;3;;;25;4;9;1;14;1;7;;1;;;;;;;;;;;;
Wageningen;G0289;11010;Gelderland;P25;2498;2200;0;;2200;323;675;300;232;252;51;37;48;14;30;9;83;;12;13;9;2;7;15;60;6;20;;;;;;2;;;;;;
Wamel;G0290;10042;Gelderland;P25;1582;1351;0;;1351;1217;30;7;;32;1;1;17;1;;32;;;1;;;;1;1;10;;;;;;;;;;;;;;
Wanneperveen;G0187;10105;Overijssel;P23;387;370;0;;370;;22;87;96;91;2;;1;2;18;1;22;1;1;1;1;8;;13;1;1;;1;;;;;;;;;;;
Wanroij;G0868;10265;Noord-Brabant;P30;313;306;0;;306;303;1;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;
Wanssum;G0987;10991;Limburg;P31;181;179;0;;179;176;;;;;;;;;1;;;;;;;;;2;;;;;;;;;;;;;;;
Warder;G0455;11073;Noord-Holland;P27;170;165;0;;165;1;59;;20;;71;3;2;;1;1;;1;;;;;4;;;;;2;;;;;;;;;;;
Warffum;G0049;10498;Groningen;P20;521;479;0;;479;3;202;114;31;4;86;13;5;5;3;;;;10;;1;1;;;;1;;;;;;;;;;;;;
Warmenhuizen;G0456;10221;Noord-Holland;P27;482;472;0;;472;251;29;29;53;2;85;4;9;;1;1;;;;6;1;;1;;;;;;;;;;;;;;;;
Warmond;G0628;10204;Zuid-Holland;P28;449;418;0;;418;267;14;18;7;59;3;10;4;3;;;4;;;1;21;;;1;3;3;;;;;;;;;;;;;
Warnsveld;G0291;10838;Gelderland;P25;826;758;0;;758;105;141;180;129;60;7;6;67;2;17;;3;;2;1;17;1;1;1;6;5;;;;;;;7;;;;;;
Waspik;G0869;10402;Noord-Brabant;P30;823;662;0;;662;523;1;7;4;95;2;11;4;;5;6;;;;;;1;;1;2;;;;;;;;;;;;;;
Wassenaar;G0629;10164;Zuid-Holland;P28;1358;1238;0;;1238;630;91;198;30;77;16;60;44;4;2;;3;2;;1;35;6;2;7;19;6;;2;3;;;;;;;;;;
Watergraafsmeer;G1219;11122;Noord-Holland;P27;2381;2048;0;;2048;292;448;333;185;69;93;250;78;121;28;33;8;16;;13;3;17;9;41;4;;;;;;;;;4;3;;;;
Wateringen;G0630;11329;Zuid-Holland;P28;652;615;0;;615;465;8;32;11;65;7;1;2;1;2;9;2;1;;1;1;;;;;3;;2;1;;;;;;;;1;;
Waterlandkerkje;G0722;10352;Zeeland;P29;124;115;0;;115;43;;9;46;3;;;;;;;2;;4;1;;;2;3;2;;;;;;;;;;;;;;
Wedde;G1220;10247;Groningen;P20;829;764;0;;764;7;386;46;74;31;149;15;8;4;9;3;2;;7;1;10;;2;;8;1;;;;;;;;;;;;;1
Weerselo;G0188;10893;Overijssel;P23;1284;1199;0;;1199;1131;16;;16;3;2;3;2;1;;;;1;10;;2;1;;1;;9;;1;;;;;;;;;;;
Weert;G0988;11081;Limburg;P31;2586;2335;0;;2335;2146;81;1;7;1;4;34;6;;;;;;;;4;1;2;44;4;;;;;;;;;;;;;;
Weesp;G0457;10773;Noord-Holland;P27;1667;1491;0;;1491;223;341;288;138;152;51;55;11;118;15;51;8;4;2;6;3;2;8;9;;;;;;;;;;2;4;;;;
Weesperkarspel;G1221;10377;Noord-Holland;P27;626;572;0;;572;207;44;193;18;38;6;9;12;13;2;15;2;1;;2;2;2;3;2;;;;;;;;;;1;;;;;
Wehl;G0292;11116;Gelderland;P25;628;604;0;;604;520;3;2;4;1;8;12;1;;;15;31;;;;3;;;1;3;;;;;;;;;;;;;;
Wemeldinge;G0723;11145;Zeeland;P29;544;486;0;;486;6;9;195;173;36;14;8;1;1;1;;8;1;1;4;2;1;2;2;3;;18;;;;;;;;;;;;
Werkendam;G0870;10078;Noord-Brabant;P30;768;580;0;;580;5;100;274;10;62;17;7;83;3;;1;1;;;2;3;3;1;;8;;;;;;;;;;;;;;
Werkhoven;G1223;11299;Utrecht;P26;218;167;0;;167;149;1;9;;5;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;
Wervershoof;G0459;11270;Noord-Holland;P27;638;615;0;;615;543;7;3;30;8;2;1;1;3;;3;;;;9;1;;;;3;1;;;;;;;;;;;;;
Wessem;G0989;10127;Limburg;P31;259;252;0;;252;250;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Westbroek;G1224;10145;Utrecht;P26;269;232;0;;232;33;5;89;;101;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Westdongeradeel;G0097;10129;Fryslân;P21;2118;1985;0;;1985;12;526;599;267;454;21;2;3;4;;;6;;3;17;6;9;1;13;2;20;;1;;12;6;1;;;;;;;
Westdorpe;G0724;10915;Zeeland;P29;449;426;0;;426;266;23;3;104;1;13;;;;;;;;2;4;;;;10;;;;;;;;;;;;;;;
Westerbork;G0134;11095;Drenthe;P22;863;758;0;;758;3;245;149;186;10;49;7;17;5;3;;38;;4;;9;3;1;2;20;3;;4;;;;;;;;;;;
Westerhoven;G0871;11041;Noord-Brabant;P30;146;143;0;;143;142;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Westervoort;G0293;11085;Gelderland;P25;410;345;0;;345;238;16;25;1;12;1;12;7;2;9;8;1;;9;1;;;;2;;;1;;;;;;;;;;;;
Westkapelle;G0726;10931;Zeeland;P29;597;562;0;;562;3;39;128;11;20;17;2;2;2;2;;4;2;250;8;3;1;2;9;1;;56;;;;;;;;;;;;
Westmaas;G0631;10695;Zuid-Holland;P28;222;200;0;;200;;8;89;4;46;2;3;26;1;2;2;;2;3;;;1;;;;1;1;8;1;;;;;;;;;;
Weststellingwerf;G0098;11322;Fryslân;P21;4401;3908;0;;3908;379;1812;396;44;238;335;36;21;13;;11;25;42;39;20;32;30;8;20;29;46;;7;;230;92;3;;;;;;;
Westwoud;G0460;11101;Noord-Holland;P27;299;288;0;;288;173;15;;84;1;7;1;;;;;;1;;3;1;1;;;;;;1;;;;;;;;;;;
Westzaan;G0461;11381;Noord-Holland;P27;680;558;0;;558;28;107;62;67;11;92;28;8;66;5;15;1;20;;13;3;3;2;6;4;3;;13;;;;;;;1;;;;
Wierden;G0189;10676;Overijssel;P23;1987;1842;0;;1842;514;189;360;31;254;16;37;21;5;2;4;292;2;8;3;16;6;2;21;7;7;39;6;;;;;;;;;;;
Wieringen;G0462;11277;Noord-Holland;P27;891;739;0;;739;47;243;11;67;7;195;3;3;2;8;114;2;1;;16;2;2;10;;5;;;;;;;;;;1;;;;
Wieringerwaard;G0464;11164;Noord-Holland;P27;356;305;0;;305;4;78;6;95;1;96;6;8;;1;1;;;;4;2;2;1;;;;;;;;;;;;;;;;
Wijchen;G0296;10723;Gelderland;P25;1177;1110;0;;1110;1003;28;4;1;8;7;4;12;1;1;32;;;4;2;1;;;;2;;;;;;;;;;;;;;
Wijdenes;G0469;10631;Noord-Holland;P27;260;250;0;;250;3;45;1;106;1;73;;2;1;2;;;;;14;;;1;;1;;;;;;;;;;;;;;
Wijdewormer;G0470;10434;Noord-Holland;P27;205;189;0;;189;67;12;2;16;2;65;3;1;1;1;;;;;3;1;;;;;2;;13;;;;;;;;;;;
Wijhe;G0190;10888;Overijssel;P23;1172;1099;0;;1099;294;233;78;24;114;74;8;210;1;2;1;21;4;1;;7;6;;5;4;10;;2;;;;;;;;;;;
Wijk aan Zee en Duin;G1229;11366;Noord-Holland;P27;865;796;0;;796;458;64;24;3;34;138;17;8;10;1;3;2;1;4;4;1;1;11;5;4;;;;;;;;;1;2;;;;
Wijk bij Duurstede;G0352;10760;Utrecht;P26;796;742;0;;742;412;107;22;4;28;9;9;90;;6;1;;;31;;12;2;;2;1;;6;;;;;;;;;;;;
Wijk en Aalburg;G0876;11084;Noord-Brabant;P30;577;515;0;;515;4;6;412;17;6;10;17;21;8;1;2;;1;;1;2;2;;;5;;;;;;;;;;;;;;
Wijlre;G0991;10131;Limburg;P31;487;465;0;;465;438;4;;3;;3;5;1;;;;;;;2;1;;2;6;;;;;;;;;;;;;;;
Wijnandsrade;G0992;10992;Limburg;P31;136;133;0;;133;128;1;;;;1;;;1;;;;;;;;;;1;1;;;;;;;;;;;;;;
Wijngaarden;G0634;10263;Zuid-Holland;P28;90;84;0;;84;;4;67;1;1;;2;;1;;;;;;1;;;;;;;;7;;;;;;;;;;;
Wildervank;G1225;10825;Groningen;P20;2425;2023;0;;2023;69;806;363;27;95;397;51;72;16;26;14;;1;51;10;5;3;;2;7;3;;;;;;;;;;;;;5
Willemstad;G0872;10827;Noord-Brabant;P30;529;484;0;;484;58;28;86;11;201;4;5;26;4;;1;22;;;;;5;25;1;7;;;;;;;;;;;;;;
Willeskop;G0349;10758;Utrecht;P26;201;182;0;;182;103;5;39;;12;20;;;;;3;;;;;;;;;;;;;;;;;;;;;;;
Willige Langerak;G1226;10368;Utrecht;P26;255;194;0;;194;76;13;70;;11;21;;;3;;;;;;;;;;;;;;;;;;;;;;;;;
Wilnis;G0350;10365;Utrecht;P26;550;515;0;;515;220;4;263;;9;15;;;1;;3;;;;;;;;;;;;;;;;;;;;;;;
Wilsum;G1227;10194;Overijssel;P23;166;150;0;;150;2;2;41;61;33;;3;;;;;;;;;;;;1;;;5;2;;;;;;;;;;;
Winkel;G0465;10923;Noord-Holland;P27;484;431;0;;431;1;151;10;132;;101;7;2;;1;3;1;1;;9;;;5;2;;4;;1;;;;;;;;;;;
Winschoten;G0052;10453;Groningen;P20;2698;2465;0;;2465;96;1188;307;68;51;426;98;75;26;23;13;1;5;12;7;2;30;13;11;11;;;2;;;;;;;;;;;
Winsum;G0053;11135;Groningen;P20;568;542;0;;542;1;105;233;59;11;90;16;4;6;2;4;;;6;;;1;;;1;2;;1;;;;;;;;;;;
Winterswijk;G0294;11119;Gelderland;P25;3642;3413;0;;3413;362;903;297;754;17;746;44;73;23;13;8;5;;43;6;81;4;1;16;15;;2;;;;;;;;;;;;
Wisch;G0295;10318;Gelderland;P25;2095;1935;0;;1935;510;133;448;435;21;49;28;25;9;4;12;11;;15;11;206;2;;8;7;;1;;;;;;;;;;;;
Wissenkerke;G1253;10243;Zeeland;P29;852;802;0;;802;8;8;341;207;140;12;10;2;5;15;;11;3;5;1;1;1;5;6;1;;20;;;;;;;;;;;;
Wittem;G0990;11371;Limburg;P31;1035;998;0;;998;951;16;1;1;1;12;4;4;1;;;;;;;;;;7;;;;;;;;;;;;;;;
Woensdrecht;G0873;10602;Noord-Brabant;P30;868;760;0;;760;704;18;2;3;7;2;2;1;11;;;;;;1;1;4;;2;2;;;;;;;;;;;;;;
Woensel;G1228;10894;Noord-Brabant;P30;2764;2528;0;;2528;1922;428;12;2;11;11;31;3;5;42;2;5;;;12;5;18;8;1;10;;;;;;;;;;;;;;
Woerden;G0632;10974;Zuid-Holland;P28;1408;1280;0;;1280;427;104;150;95;364;26;8;8;5;8;25;8;3;;4;11;5;6;2;18;;;2;1;;;;;;;;;;
Wognum;G0466;10818;Noord-Holland;P27;451;433;0;;433;293;13;3;99;2;3;8;;2;1;;;;;6;;;1;;2;;;;;;;;;;;;;;
Wolphaartsdijk;G0728;10543;Zeeland;P29;594;571;0;;571;15;16;129;157;146;9;1;1;1;1;;3;;4;;1;;2;11;4;;70;;;;;;;;;;;;
Wonseradeel;G0099;10454;Fryslân;P21;3385;3052;0;;3052;291;581;784;237;709;55;44;8;39;;8;13;8;33;10;43;16;1;18;16;17;;5;;83;24;9;;;;;;;
Workum;G0100;10768;Fryslân;P21;1019;925;0;;925;219;59;154;39;303;97;3;1;2;;;1;3;2;2;13;2;2;4;3;4;;1;;1;7;3;;;;;;;
Wormer;G0467;10648;Noord-Holland;P27;811;748;0;;748;195;183;57;32;24;153;15;2;43;9;6;1;14;;3;;2;2;1;3;2;;;;;;;;;1;;;;
Wormerveer;G0468;10361;Noord-Holland;P27;1982;1708;0;;1708;195;595;92;153;21;171;105;15;157;47;28;2;74;;8;4;9;4;12;4;4;;6;;;;;;;2;;;;
Woubrugge;G0633;10461;Zuid-Holland;P28;527;502;0;;502;211;20;144;5;45;2;1;43;1;;6;1;;;;12;;1;2;2;5;;1;;;;;;;;;;;
Woudenberg;G0351;11398;Utrecht;P26;688;378;0;;378;10;125;137;;75;23;;;1;;1;;;;1;;;;;;;;5;;;;;;;;;;;
Woudrichem;G0874;10282;Noord-Brabant;P30;545;475;0;;475;7;114;143;2;30;83;23;48;3;1;9;6;;;;1;1;;;4;;;;;;;;;;;;;;
Wouw;G0875;10808;Noord-Brabant;P30;1099;1022;0;;1022;980;18;;1;2;1;3;2;10;1;;;;;1;;1;;;2;;;;;;;;;;;;;;
Wymbritseradeel;G0101;11427;Fryslân;P21;2861;2717;0;;2717;374;214;790;52;1090;34;11;18;5;;9;2;;15;6;12;5;2;11;5;29;;4;;14;9;6;;;;;;;
Yerseke;G0729;11247;Zeeland;P29;998;840;0;;840;41;88;171;30;112;207;15;11;;9;;3;2;7;2;4;1;2;4;8;;123;;;;;;;;;;;;
Zaamslag;G0731;11173;Zeeland;P29;824;774;0;;774;19;47;284;229;132;5;4;;;3;;2;2;2;2;;;;4;6;;33;;;;;;;;;;;;
Zaandam;G0471;11044;Noord-Holland;P27;6931;6169;0;;6169;777;2247;871;384;171;202;370;60;179;75;100;13;497;;32;16;38;13;40;29;9;;38;;;;;;;8;;;;
Zaandijk;G0472;11404;Noord-Holland;P27;771;657;0;;657;29;272;58;122;18;22;28;5;39;6;12;;30;;4;2;4;1;2;1;1;;1;;;;;;;;;;;
Zalk en Veecaten;G1232;10633;Overijssel;P23;229;216;0;;216;22;19;95;46;18;;;4;;;;4;;;;1;1;;3;;2;1;;;;;;;;;;;;
Zaltbommel;G0297;10557;Gelderland;P25;963;882;0;;882;164;341;50;6;47;43;16;137;2;24;3;4;;19;4;;3;12;;6;;1;;;;;;;;;;;;
Zandvoort;G0473;10910;Noord-Holland;P27;1147;933;0;;933;155;248;22;103;20;167;45;30;18;20;6;1;6;16;7;14;8;14;10;5;;;;;;;;;8;10;;;;
Zeeland;G0877;10759;Noord-Brabant;P30;531;512;0;;512;508;;;;;;;;;3;;;;;;;1;;;;;;;;;;;;;;;;;
Zeelst;G1233;10096;Noord-Brabant;P30;325;304;0;;304;289;3;;;;;;;;8;;;;;;;3;;1;;;;;;;;;;;;;;;
Zegveld;G0354;10949;Utrecht;P26;259;247;0;;247;39;6;96;;88;8;9;;;;;;;;;;;;;;;1;;;;;;;;;;;;
Zegwaart;G1234;10185;Zuid-Holland;P28;490;452;0;;452;106;57;152;78;24;1;3;4;;1;2;6;1;;1;7;;2;;1;3;;3;;;;;;;;;;;
Zeist;G0355;10324;Utrecht;P26;3271;2945;0;;2945;384;786;576;126;241;217;103;189;16;50;7;;;85;23;8;7;14;26;16;;71;;;;;;;;;;;;
Zelhem;G0298;11159;Gelderland;P25;1169;1065;0;;1065;147;71;406;203;17;115;;23;2;1;6;11;;4;18;30;3;;2;6;;;;;;;;;;;;;;
Zesgehuchten;G1235;10329;Noord-Brabant;P30;312;295;0;;295;287;2;;1;1;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;
Zevenaar;G0299;10938;Gelderland;P25;1296;1148;0;;1148;968;54;8;7;4;8;39;5;1;3;27;1;;5;;9;2;;;7;;;;;;;;;;;;;;
Zevenbergen;G0878;10046;Noord-Brabant;P30;1926;1779;0;;1779;1314;31;89;28;278;3;11;10;9;;;1;;;;1;3;;;1;;;;;;;;;;;;;;
Zevenhoven;G0635;11317;Zuid-Holland;P28;273;253;0;;253;138;3;46;18;26;4;;1;5;;;1;2;;;3;1;1;;2;2;;;;;;;;;;;;;
Zevenhuizen;G0636;11377;Zuid-Holland;P28;593;550;0;;550;21;126;157;129;22;13;10;16;1;1;;7;;;1;2;2;1;3;16;15;;7;;;;;;;;;;;
Zierikzee;G0732;10843;Zeeland;P29;1605;1478;0;;1478;172;290;266;437;59;69;28;27;1;31;;5;39;10;3;11;5;3;10;10;;2;;;;;;;;;;;;
Zijpe;G0476;10004;Noord-Holland;P27;1214;1115;0;;1115;298;243;6;16;4;408;3;16;2;21;51;3;1;;11;3;;7;;2;3;;4;;;;;;;13;;;;
Zoelen;G0300;10897;Gelderland;P25;646;601;0;;601;2;72;12;23;13;9;4;396;;3;2;1;;16;2;2;1;35;3;4;;1;;;;;;;;;;;;
Zoetermeer;G0637;10766;Zuid-Holland;P28;357;335;0;;335;140;16;101;33;23;2;1;2;;;;3;;;;10;1;;;;3;;;;;;;;;;;;;
Zoeterwoude;G0638;11074;Zuid-Holland;P28;1042;959;0;;959;497;60;120;23;112;18;22;17;5;1;1;8;2;;4;32;4;9;3;6;10;;5;;;;;;;;;;;
Zonnemaire;G1236;10040;Zeeland;P29;252;229;0;;229;1;21;57;120;6;;2;3;;7;;1;;1;1;;;2;4;1;2;;;;;;;;;;;;;
Zoutelande;G1237;10779;Zeeland;P29;188;178;0;;178;1;1;101;1;18;9;1;;;1;;2;;2;;;;;3;1;;37;;;;;;;;;;;;
Zuid- en Noord-Schermer;G0474;11311;Noord-Holland;P27;284;260;0;;260;12;132;10;50;3;14;5;11;1;1;;;2;;5;1;1;;;3;1;;8;;;;;;;;;;;
Zuid-Beijerland;G0639;10917;Zuid-Holland;P28;592;519;0;;519;4;73;232;5;13;4;9;69;11;1;2;1;6;9;2;1;2;1;;;23;8;36;3;;;;;;;;4;;
Zuidbroek;G1240;11282;Groningen;P20;708;559;0;;559;6;292;79;42;4;79;6;4;8;9;4;2;3;5;;2;2;1;1;5;3;;1;;;;;;;;;;;1
Zuiddorpe;G0734;11087;Zeeland;P29;225;208;0;;208;170;3;4;10;;9;;1;;;;1;;1;1;;;1;3;4;;;;;;;;;;;;;;
Zuidhorn;G0056;10021;Groningen;P20;783;732;0;;732;11;220;220;10;6;190;45;4;3;2;5;;;6;1;;;1;2;3;;;2;;;;;;;;;;;1
Zuidland;G0640;10316;Zuid-Holland;P28;462;435;0;;435;2;27;239;39;61;5;;19;4;1;;7;1;1;1;;1;1;;;11;;14;1;;;;;;;;;;
Zuidlaren;G0136;10002;Drenthe;P22;812;739;0;;739;2;304;85;45;12;119;29;4;1;9;;21;;71;;7;;1;3;7;17;;2;;;;;;;;;;;
Zuid-Scharwoude;G1238;10159;Noord-Holland;P27;465;415;0;;415;153;92;10;18;2;64;18;35;;4;5;;;;6;1;4;1;;;;;1;;;;;;;1;;;;
Zuidwolde;G0137;10262;Drenthe;P22;1078;953;0;;953;14;210;212;319;88;5;7;10;8;5;;46;;4;;5;5;5;1;3;2;;4;;;;;;;;;;;
Zuidzande;G0735;10437;Zeeland;P29;275;251;0;;251;1;4;18;206;10;;4;;;2;;;;;;2;;;1;3;;;;;;;;;;;;;;
Zuilen;G1242;10059;Utrecht;P26;768;599;0;;599;108;212;152;;31;22;;;43;;7;;;;20;;;;;;;;4;;;;;;;;;;;
Zuilichem;G1243;11036;Gelderland;P25;279;257;0;;257;2;58;139;4;4;2;2;16;;2;;3;;4;16;;;3;;1;;1;;;;;;;;;;;;
Zundert;G0879;11192;Noord-Brabant;P30;1248;1104;0;;1104;997;28;;;14;1;6;10;20;6;1;2;;;1;5;4;;4;5;;;;;;;;;;;;;;
Zutphen;G0301;10254;Gelderland;P25;4296;3813;0;;3813;377;1479;332;653;285;140;87;154;30;70;11;4;;18;36;11;23;35;15;14;16;4;;;;;;19;;;;;;
Zwaag;G0475;10218;Noord-Holland;P27;325;311;0;;311;206;12;;67;2;6;3;;;1;2;;;;10;;;1;;1;;;;;;;;;;;;;;
Zwammerdam;G1244;10675;Zuid-Holland;P28;482;451;0;;451;118;16;146;35;46;50;1;;2;2;3;2;;;7;4;1;2;;1;6;;5;4;;;;;;;;;;
Zwartewaal;G0641;10703;Zuid-Holland;P28;155;140;0;;140;1;36;36;28;;2;2;6;6;1;2;6;;1;;;2;1;;;8;;;2;;;;;;;;;;
Zwartsluis;G0192;10303;Overijssel;P23;914;762;0;;762;5;72;472;85;88;2;7;6;;2;1;4;2;3;;1;1;;9;;;1;1;;;;;;;;;;;
Zweeloo;G0138;10872;Drenthe;P22;391;346;0;;346;;30;92;72;5;119;1;5;4;1;;1;;;;6;;2;;5;2;;1;;;;;;;;;;;
Zwijndrecht;G0642;10468;Zuid-Holland;P28;1832;1628;0;;1628;42;377;678;85;268;35;19;21;17;9;2;13;1;1;3;1;4;3;;;12;5;22;5;;;;;;;;5;;
Zwolle;G0193;10093;Overijssel;P23;8243;7342;0;;7342;1430;2512;924;140;523;342;297;547;142;67;19;67;15;12;51;13;98;24;39;32;10;19;19;;;;;;;;;;;
Zwollerkerspel;G1245;10654;Overijssel;P23;1779;1654;0;;1654;273;208;485;59;259;25;18;155;9;2;5;62;3;8;3;5;12;1;33;3;21;3;2;;;;;;;;;;;
