RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Revolutionair-Socialistische Partij (RSP);Plattelandersbond;Rooms-Katholieke Volkspartij (RKVP);Christelijk-Democratische Unie;HGSP;VNH;Onafhankelijk Socialistische Partij;Katholiek Democratische Bond;Algemeen Nederlandse Fascistenbond;Democratische Partij;Nationaal Verbond Plicht, Orde, Recht;Nederlandse Christelijke Arbeiderspartij;Limburgsche Federatie;Verbond van Nationalisten;Roomsch-Katholieke Arbeiderspartij (RKAP);Recht en Vrijheid;Marktkooplieden;Lijst Wolswinkel;Onafhankelijke Zakenlui;Nationaal-Socialistische Partij;Nederlandsche Fascisten Unie;Lijst Jacobs;RK Bouwvakarbeiders;Handeldrijvende Middenstand;Volkswelvaartspartij;Bond van Belastingbetalers;Lijst Eijking;Nieuwe Socialistische Partij;Lijst Engels;Hoofd- en handarbeiders;Nationaal Verbond voor Arbeidersbelangen;Lijst Bongers;Lijst De Wit;Voor Algemeen Welzijn;Zuiderzee Partij;Algemeene Nederlandse Huurdersbond;Oranjefascisten;Universeele Partij;Nationale Werkliedenpartij;Anti-crisis Partij;Proletarische Groep;Centrale Democratische Arbeiderspartij;Lijst Triesscheijn;Opbouw en Verbroedering;Algemeene Arbeidersbond;Lijst Groothuis
Dreumel;G0224;11232;Gelderland;P25;1296;1179;8;17;1154;998;53;;25;48;2;5;;;6;2;1;;;2;2;1;5;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;
Driebergen;G1048;10777;Utrecht;P26;4407;4050;39;76;3935;538;596;867;712;449;173;14;359;5;26;3;10;29;34;8;3;15;7;6;52;;5;;3;;18;;;1;;;;;2;;;;;;;;;;;;;;;;;;;;
Driel;G1248;10341;Gelderland;P25;1918;1826;18;28;1780;1459;41;57;67;17;6;4;83;5;6;2;1;1;1;1;3;;13;2;;;3;;;;;;5;;;;;;;;3;;;;;;;;;;;;;;;;;;
Driewegen;G0661;11115;Zeeland;P29;361;338;9;6;323;36;25;82;97;39;24;;10;1;3;;;;1;2;1;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Drunen;G0767;10428;Noord-Brabant;P30;1677;1603;14;11;1578;1468;22;4;33;1;;1;5;;;10;;1;;;3;3;6;;4;;;1;;3;;;9;;;;;;1;;;2;;;;;;;;;;;;;;;;;
Druten;G0225;10068;Gelderland;P25;2856;2712;13;19;2680;2415;21;8;86;18;1;8;11;;10;52;;;2;2;4;7;26;;;;;;;;;;2;;;;;;;;7;;;;;;;;;;;;;;;;;;
Dubbeldam;G0507;10781;Zuid-Holland;P28;2406;2263;40;90;2133;31;484;547;317;357;40;6;157;18;85;6;6;3;10;5;5;18;3;6;8;;;6;2;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duiven;G0226;11028;Gelderland;P25;1776;1690;6;26;1658;1529;34;34;23;3;1;3;2;;1;4;;9;;;6;1;2;2;;;1;;;;1;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;
Duivendijke;G1050;10335;Zeeland;P29;287;261;7;2;252;2;27;142;19;34;3;;6;;7;;1;;;2;1;;1;1;;;3;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dussen;G0769;10261;Noord-Brabant;P30;1733;1606;14;9;1583;976;66;250;147;8;9;1;56;2;6;2;;33;2;1;;6;3;;1;;1;;;;;;9;;;;;;;;;4;;;;;;;;;;;;;;;;;
Dwingeloo;G0112;10331;Drenthe;P22;1522;1445;14;18;1413;6;280;244;50;399;217;7;;2;153;1;6;;8;6;;5;8;3;;;4;4;4;;4;;;;;;;;;;;;;;;;;;;;;;;2;;;;;
Echt;G0902;10941;Limburg;P31;3944;3823;82;116;3625;2826;143;28;4;5;5;15;8;3;97;58;4;3;15;6;68;2;10;;4;169;4;;;;;;;;145;;;;;;;;;;5;;;;;;;;;;;;;;
Echteld;G0227;10832;Gelderland;P25;1771;1639;17;24;1598;36;600;221;33;207;15;16;168;3;216;;42;1;3;8;1;14;3;;;;3;;;;5;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
Edam;G1315;10884;Noord-Holland;P27;4110;3919;18;26;3875;2275;556;140;149;104;292;27;3;11;225;10;11;2;5;10;4;5;5;27;;;2;;1;;;;1;;;;;;;4;;;;;;2;;4;;;;;;;;;;;
Ede;G0228;10743;Gelderland;P25;15159;14198;151;440;13607;585;1628;3449;2265;607;513;159;2883;12;278;35;131;194;214;6;14;52;46;16;111;;;7;7;;356;;16;;;;;;9;;;;;;;;1;;;13;;;;;;;;;
Eede;G1052;11128;Zeeland;P29;381;362;10;22;330;277;11;4;1;12;4;;;;;1;1;;;2;1;;2;;;;12;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eelde;G0113;10622;Drenthe;P22;1846;1710;25;66;1619;8;603;154;43;138;193;53;;4;218;6;60;8;9;11;;12;49;7;;;5;7;17;;5;;;;;;;;;;;;;;;;;;;;;;;9;;;;;
Eemnes;G0317;10248;Utrecht;P26;934;875;14;21;840;419;44;155;47;14;20;6;69;6;2;11;16;7;6;7;;1;1;1;1;;3;1;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;
Eenrum;G0011;10904;Groningen;P20;1451;1386;10;25;1351;41;556;300;11;153;189;16;;1;;;39;;8;3;1;2;16;;;;12;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eersel;G0770;10741;Noord-Brabant;P30;1232;1204;3;0;1201;1180;6;;10;1;;1;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
Eethen;G0771;10010;Noord-Brabant;P30;1293;1193;9;17;1167;56;83;515;204;10;38;;124;2;19;1;;87;6;1;1;4;1;7;;;5;;;2;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
Egmond aan Zee;G0386;10421;Noord-Holland;P27;1576;1471;89;0;1382;186;490;102;89;150;138;58;3;16;10;4;2;84;4;4;5;3;5;2;;;1;;7;;;;2;;;;;;;15;;;;;;1;;1;;;;;;;;;;;
Egmond-Binnen;G0387;10989;Noord-Holland;P27;1098;1050;4;11;1035;825;37;10;10;26;62;3;1;;34;7;2;;2;2;2;;;;;;1;;;;;;1;;;;;;;10;;;;;;;;;;;;;;;;;;;
Eibergen;G0229;10436;Gelderland;P25;4278;4100;33;47;4020;1733;671;413;509;318;144;7;3;5;100;16;44;3;3;9;3;10;8;2;2;;;4;3;;1;;5;;;;;;;;;;;;;;1;;;3;;;;;;;;;
Eijgelshoven;G0904;10960;Limburg;P31;1315;1277;33;45;1199;702;190;10;12;1;5;21;6;4;2;125;3;1;5;3;83;4;;2;4;6;3;;4;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
Eijsden;G0905;10314;Limburg;P31;1686;1621;13;45;1563;986;100;;7;2;8;1;8;;2;34;;2;5;2;28;2;12;;;346;2;;1;;;;;;10;;;;;;;;;;5;;;;;;;;;;;;;;
Eindhoven;G0772;11298;Noord-Brabant;P30;41672;40247;365;922;38960;25874;6398;1279;1112;464;888;722;67;52;23;661;;29;64;92;446;33;87;18;321;;21;18;2;70;7;;107;;;;;;11;;;94;;;;;;;;;;;;;;;;;
Elburg;G0230;11113;Gelderland;P25;1322;1247;28;36;1183;4;95;381;482;13;27;;65;2;12;1;36;50;2;;;1;3;3;;;;3;2;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
Elkerzee;G1053;10184;Zeeland;P29;340;313;2;7;304;4;42;84;70;43;18;1;32;;2;;1;1;;3;;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ellemeet;G1054;10102;Zeeland;P29;286;262;1;2;259;;54;48;32;65;12;;22;;6;2;7;;1;2;;;;1;;;3;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ellewoutsdijk;G0663;11300;Zeeland;P29;344;323;7;11;305;4;93;26;53;71;20;1;17;2;2;1;1;;1;5;;;4;;;;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Elsloo;G0903;11187;Limburg;P31;1130;1081;8;37;1036;877;30;7;9;1;;2;9;1;1;9;2;;;2;36;;;2;1;11;2;;;;;;;;32;;;;;;;;;;2;;;;;;;;;;;;;;
Elst;G0231;11188;Gelderland;P25;4386;4241;31;60;4150;2168;586;271;265;317;105;13;93;2;113;67;33;39;24;4;6;31;2;2;;;;;;;2;;5;;;;;;;;2;;;;;;;;;;;;;;;;;;
Emmen;G0114;11180;Drenthe;P22;17184;16117;402;1048;14667;1789;3831;2750;2184;699;1023;443;56;181;342;64;176;83;30;297;;59;205;19;;;46;271;38;;35;;;;;;;;;;;;;;;;;;;;;;;46;;;;;
Empel en Meerwijk;G0773;10295;Noord-Brabant;P30;327;307;1;0;306;284;1;;7;1;;;1;;;2;;;;;1;;;;1;;;;;7;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
Engelen;G0774;10322;Noord-Brabant;P30;755;311;1;8;302;254;5;2;30;;;1;;;1;;;;;1;2;;1;;1;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enkhuizen;G0388;10729;Noord-Holland;P27;5230;4863;37;126;4700;563;1278;901;691;333;418;31;138;10;22;104;60;4;4;61;3;2;3;8;;;3;;1;;;;;;;;;;;3;;;;;;5;;54;;;;;;;;;;;
Enschede;G0153;10364;Overijssel;P23;27000;25872;426;1438;24008;3977;6212;2495;1832;1961;1498;1461;96;1339;52;980;694;13;98;979;72;;73;26;20;;25;;24;;10;;;63;;;;;;;;;;;;;;;;;;;;;;;;;
Epe;G0232;10940;Gelderland;P25;6813;6451;77;85;6289;685;1140;1076;749;304;839;90;221;8;987;15;12;11;30;10;4;21;29;7;2;;;16;7;;11;;5;;;;;;2;;;;;;;;3;;;5;;;;;;;;;
Ermelo;G0233;10732;Gelderland;P25;6684;6274;78;129;6067;47;382;2059;2205;178;85;11;758;7;64;2;24;136;51;5;3;8;17;4;3;;;3;2;;3;;;;;;;;4;;;;;;;;;;;6;;;;;;;;;
Erp;G0775;10385;Noord-Brabant;P30;1373;1345;1;4;1340;1321;2;;1;1;;;;;;3;;;1;;;;2;;;;;;;3;1;;3;;;;;;;;;2;;;;;;;;;;;;;;;;;
Esch;G0776;10709;Noord-Brabant;P30;370;362;1;3;358;345;;;2;;;;4;;;1;;;;;1;2;;;;;;;;2;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
Escharen;G1057;10299;Noord-Brabant;P30;677;655;6;2;647;641;;;;;;;;;1;;;;1;;1;1;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
Est en Opijnen;G0234;11092;Gelderland;P25;588;516;7;26;483;4;95;63;63;133;6;3;75;;12;2;9;;;2;;10;5;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Etten en Leur;G1251;10750;Noord-Brabant;P30;4496;4249;113;79;4057;3505;153;17;129;11;10;9;75;2;9;29;5;4;7;2;10;5;13;3;4;;2;11;1;8;;;;;;33;;;;;;;;;;;;;;;;;;;;;;;
Everdingen;G0508;10638;Zuid-Holland;P28;557;508;18;10;480;89;32;83;18;22;14;;121;;63;1;2;24;1;;1;1;4;;;;;1;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ewijk;G0235;10471;Gelderland;P25;1387;1331;8;5;1318;1118;11;;12;48;;3;;1;10;111;;;;1;;1;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Ezinge;G0012;10136;Groningen;P20;952;896;5;10;881;;223;343;25;113;134;1;1;1;11;1;7;1;1;1;;2;13;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferwerderadeel;G0068;11284;Fryslân;P21;4491;4287;35;32;4220;3;525;2171;723;273;262;17;6;5;57;2;99;28;3;9;1;3;8;2;6;;9;;7;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
Fijnaart en Heijningen;G0778;10206;Noord-Brabant;P30;2171;2052;15;26;2011;754;107;241;556;25;3;;54;1;1;1;1;236;3;;;1;8;1;3;;;3;;3;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;
Finsterwolde;G0013;10212;Groningen;P20;1696;1525;55;111;1359;1;255;126;47;145;149;546;1;3;22;;3;14;6;9;1;1;15;2;3;;2;;4;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;
Franeker;G0069;11226;Fryslân;P21;4731;4006;60;90;3856;454;1047;832;401;181;466;117;17;15;12;23;180;35;3;32;4;1;14;2;1;;9;;9;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
Franekeradeel;G0070;10404;Fryslân;P21;2776;2628;21;33;2574;106;693;559;598;154;275;35;5;8;6;4;89;15;1;11;;;2;4;;;3;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gaasterland;G0071;10036;Fryslân;P21;3110;2918;16;23;2879;583;114;636;1031;62;83;7;146;3;28;1;103;65;2;;3;1;2;5;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gameren;G1058;10037;Gelderland;P25;1016;913;10;42;861;5;167;367;21;5;17;8;217;2;29;1;2;3;4;3;1;1;4;;;;1;;;;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;;
Gassel;G1059;10705;Noord-Brabant;P30;305;296;0;0;296;294;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Gasselte;G0115;11099;Drenthe;P22;1756;1641;20;41;1580;6;630;255;227;103;133;20;3;1;90;2;45;4;;22;;6;12;2;;;2;5;3;;4;;;;;;;;;;;;;;;;;;;;;;;5;;;;;
Geertruidenberg;G0779;10101;Noord-Brabant;P30;1305;1240;19;17;1204;900;102;26;47;38;40;1;19;1;2;7;;5;6;1;2;2;2;;;;1;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
Geervliet;G0509;10842;Zuid-Holland;P28;583;539;10;10;519;1;157;75;71;44;10;3;52;;47;;1;;1;;;47;1;;;;;4;3;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geffen;G0780;10370;Noord-Brabant;P30;837;825;1;1;823;792;8;;2;;;;;;;4;;;;;5;;;;;;;;;5;;;2;;;;;;1;;;4;;;;;;;;;;;;;;;;;
Geldermalsen;G0236;10881;Gelderland;P25;2208;2031;37;78;1916;28;599;180;328;195;61;27;268;1;54;4;123;5;6;8;;9;9;2;;;4;;;;2;;;;;;;;;;3;;;;;;;;;;;;;;;;;;
Geldrop;G0781;10529;Noord-Brabant;P30;3818;3696;39;55;3602;3008;293;66;61;11;19;17;4;;;27;;2;5;;19;2;11;;20;;1;1;;2;;;22;;;;;;1;;;9;;;;;;;;;;;;;;;;;
Geleen;G0906;10048;Limburg;P31;4765;4568;69;111;4388;2874;508;96;101;10;24;127;15;11;3;57;28;1;16;9;189;10;9;2;1;116;3;;;;;;;;168;;;;;;;;;;10;;;;;;;;;;;;;;
Gemert;G0782;10277;Noord-Brabant;P30;2906;2785;17;16;2752;2545;34;10;24;5;2;;2;1;9;12;;1;1;;7;1;11;1;6;;3;1;1;7;2;;16;;;;;;2;;;48;;;;;;;;;;;;;;;;;
Gendringen;G0237;10260;Gelderland;P25;4626;4485;31;46;4408;3272;148;206;297;69;74;13;13;2;176;23;12;24;7;2;12;19;6;1;;;3;;;;9;;14;;;;;;;;6;;;;;;;;;;;;;;;;;;
Gendt;G0238;10440;Gelderland;P25;1613;1557;6;18;1533;1399;10;9;58;6;4;9;10;1;6;7;1;;2;;1;;6;;;;;;;;1;;1;;;;;;;;2;;;;;;;;;;;;;;;;;;
Genemuiden;G0154;10746;Overijssel;P23;1720;1413;12;38;1363;;162;682;162;5;30;1;258;3;5;;19;5;3;3;3;;5;1;4;;;;;;2;;;10;;;;;;;;;;;;;;;;;;;;;;;;;
Gennep;G0907;10542;Limburg;P31;1566;1504;23;37;1444;776;107;17;33;14;6;6;4;;3;441;1;4;5;;12;5;1;1;2;1;2;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
Geulle;G0908;10530;Limburg;P31;711;655;15;15;625;464;12;1;5;1;;1;10;;1;2;;1;10;;34;1;3;;;75;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;
Giessen;G0783;10193;Noord-Brabant;P30;265;207;0;2;205;;8;71;71;13;4;;15;;2;;;13;;1;;5;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Giessendam;G1063;10606;Zuid-Holland;P28;2041;1715;35;91;1589;2;146;675;41;160;34;5;338;1;72;;1;49;2;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Giessen-Nieuwkerk;G1062;10255;Zuid-Holland;P28;544;506;7;7;492;;36;262;51;54;5;;64;1;6;;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gieten;G0116;10506;Drenthe;P22;1728;1647;17;45;1585;5;514;128;213;259;199;26;3;2;146;2;20;1;4;10;;10;12;2;;;6;7;10;;5;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
Giethoorn;G0155;10708;Overijssel;P23;1281;1251;14;30;1207;13;524;110;142;54;129;78;;2;98;2;9;5;2;9;1;;20;;;;1;;1;;2;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
Gilze en Rijen;G0784;11375;Noord-Brabant;P30;3574;3473;36;24;3413;3198;65;10;16;4;2;4;35;;;27;;;3;;22;1;2;2;;;2;6;;4;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;
Ginneken en Bavel;G1064;10406;Noord-Brabant;P30;6633;6298;117;121;6060;4124;646;152;242;227;136;17;68;3;5;51;29;12;129;2;52;36;4;3;2;;2;63;1;13;;;;;;41;;;;;;;;;;;;;;;;;;;;;;;
Goedereede;G0511;10981;Zuid-Holland;P28;644;533;8;41;484;1;93;147;12;88;13;6;87;1;9;;4;4;2;2;1;4;;2;2;;;2;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Goes;G0664;10674;Zeeland;P29;5112;4878;72;111;4695;717;809;720;1314;644;180;33;117;5;3;19;25;12;14;22;11;10;10;9;;;5;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Goirle;G0785;10971;Noord-Brabant;P30;2318;2263;51;32;2180;1856;50;18;11;6;6;5;33;2;2;106;5;1;1;1;34;7;7;4;1;;2;1;2;7;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;
Goor;G0156;10076;Overijssel;P23;2315;2245;18;42;2185;470;921;113;113;85;166;48;3;30;29;5;52;3;2;123;2;;3;4;1;;3;;;;3;;;6;;;;;;;;;;;;;;;;;;;;;;;;;
Gorinchem;G0512;10942;Zuid-Holland;P28;7572;7080;73;268;6739;822;1729;1628;307;1138;340;206;191;5;33;9;13;35;41;51;5;110;19;25;5;;;4;4;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gorssel;G0239;10085;Gelderland;P25;4576;4290;59;91;4140;202;892;805;860;747;317;32;16;9;119;6;21;5;20;30;5;3;8;7;7;;;7;12;;6;;1;;;;;;2;;;;;;;;;;;1;;;;;;;;;
Gouda;G0513;10302;Zuid-Holland;P28;15904;15205;241;492;14472;3399;3575;2123;939;1205;580;369;680;13;44;44;276;107;46;814;61;51;25;46;2;;13;18;9;;5;;;;;;;;24;;;;4;;;;;;;;;;;;;;;;
Gouderak;G0514;11258;Zuid-Holland;P28;983;874;20;21;833;15;170;206;26;93;29;16;166;1;70;;3;5;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Goudriaan;G0515;10450;Zuid-Holland;P28;322;288;2;6;280;1;5;135;10;18;7;;59;1;16;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Goudswaard;G0516;10914;Zuid-Holland;P28;747;653;5;11;637;1;67;76;82;100;1;2;270;1;23;;;4;7;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Graauw en Langendam;G0665;10312;Zeeland;P29;992;879;14;37;828;655;27;8;1;3;2;4;16;;1;4;;1;1;3;4;;2;1;;;95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grafhorst;G1065;10224;Overijssel;P23;367;339;5;7;327;7;56;32;11;3;4;;198;;10;;1;1;2;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Graft;G0389;10484;Noord-Holland;P27;673;634;6;9;619;145;204;10;26;31;86;17;;16;64;2;6;;;2;1;;1;;;;;;2;;;;1;;;;;;;4;;;;;;1;;;;;;;;;;;;;
Gramsbergen;G0157;11339;Overijssel;P23;2024;1941;14;21;1906;58;245;638;703;97;66;1;7;3;44;3;7;3;10;4;;;3;;2;;3;;6;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;
Grathem;G0909;11008;Limburg;P31;707;677;2;3;672;648;4;;;;;1;4;;1;1;;;1;;6;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grave;G0786;10165;Noord-Brabant;P30;1052;893;9;25;859;675;33;6;10;8;10;4;4;;4;61;;1;3;;4;1;11;1;4;;5;;;3;;;5;;;;;;2;;;4;;;;;;;;;;;;;;;;;
Grevenbicht;G0910;10624;Limburg;P31;772;711;19;14;678;442;43;9;48;;9;8;4;;6;33;7;;;;9;2;;;1;20;;;1;;;;;;36;;;;;;;;;;;;;;;;;;;;;;;;
Grijpskerk;G0016;10244;Groningen;P20;1844;1745;6;13;1726;3;157;994;129;147;172;3;;;31;1;29;2;20;2;;6;22;;2;;4;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grijpskerke;G1067;10801;Zeeland;P29;471;447;2;3;442;2;3;290;85;3;1;;53;;1;1;;1;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groede;G0667;11312;Zeeland;P29;1284;1203;49;0;1154;144;321;146;78;291;86;5;16;2;22;5;2;1;4;12;3;1;1;;;;5;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groenlo;G0240;11094;Gelderland;P25;2021;1911;22;23;1866;1401;164;12;79;64;44;3;2;4;2;53;;;3;1;5;1;7;;4;;;1;2;;;;7;;;;;;;;;;;;;;1;;;6;;;;;;;;;
Groesbeek;G0241;10616;Gelderland;P25;3364;3222;54;70;3098;2475;198;29;109;17;7;21;1;3;7;156;1;4;5;7;8;26;8;2;;;2;;;;1;;2;;;;;;;;9;;;;;;;;;;;;;;;;;;
Groningen;G0014;10426;Groningen;P20;59347;55377;656;1665;53056;4120;15790;8768;4842;2538;6247;3131;68;1204;86;128;593;747;813;337;46;584;1575;169;241;;103;;908;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;
Gronsveld;G0911;10323;Limburg;P31;812;775;4;17;754;464;20;3;;1;3;;2;1;1;7;;;;;2;;4;;1;243;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
Groot-Ammers;G0520;11205;Zuid-Holland;P28;857;775;3;14;758;3;24;310;13;72;34;1;184;;16;;4;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grootebroek;G0391;11337;Noord-Holland;P27;1805;1755;1;4;1750;1418;142;8;1;34;72;1;6;3;4;40;;;;4;17;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grootegast;G0015;11080;Groningen;P20;3675;3470;37;39;3394;6;392;1996;368;96;269;50;3;9;54;4;39;30;2;15;1;10;19;2;4;;21;;2;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;
Grubbenvorst;G0912;10176;Limburg;P31;1090;1054;2;10;1042;996;11;1;;;;1;1;;4;6;;;;;6;;;1;;10;;;;;;;;;4;;;;;;;;;;1;;;;;;;;;;;;;;
Gulpen;G0913;11032;Limburg;P31;1414;1355;6;71;1278;849;91;10;7;5;8;2;3;3;2;5;1;;3;1;53;5;5;;1;217;1;;;;;;;;4;;;;;;;;;;2;;;;;;;;;;;;;;
Haaften;G0242;10125;Gelderland;P25;1364;1231;25;40;1166;6;369;236;139;13;11;;136;1;167;2;55;4;2;3;1;9;2;;;;3;;;;1;;1;;;;;;;;5;;;;;;;;;;;;;;;;;;
Haaksbergen;G0158;11435;Overijssel;P23;4047;3909;37;39;3833;2363;640;100;33;73;274;5;11;5;102;179;4;5;3;4;5;;10;2;4;;3;;2;;1;;;5;;;;;;;;;;;;;;;;;;;;;;;;;
Haamstede;G1068;10701;Zeeland;P29;825;755;5;22;728;3;118;190;152;149;14;3;49;;16;2;7;1;1;3;1;4;5;2;;;1;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Haaren;G0788;11155;Noord-Brabant;P30;1040;980;0;5;975;937;3;2;;;;1;8;;;15;2;;1;;1;;;;;;1;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;
Haarlem;G0392;10357;Noord-Holland;P27;69856;66286;1308;2558;62420;15502;18278;5684;3922;3891;6382;3204;220;586;54;1174;562;256;677;617;130;;186;593;41;;118;;;;;125;40;65;;;;;;;;;32;;;22;;;;;;;;;;;;;
Haarlemmerliede en Spaarnwoude;G0393;10508;Noord-Holland;P27;1520;1449;12;23;1414;730;175;154;74;105;36;28;17;6;10;10;28;6;;3;;;8;5;;;4;;;;;3;1;;;;;;;7;;;1;;;2;;;;;;;;;;1;;;
Haarlemmermeer;G0394;11387;Noord-Holland;P27;12963;12314;148;252;11914;2601;2061;2823;1940;447;269;423;326;81;180;92;339;76;24;41;23;;20;15;20;;2;;;;2;32;8;14;;;;;;27;;;18;;;6;;;;;;;;;;4;;;
Haarzuilens;G1069;10737;Utrecht;P26;234;224;2;1;221;178;1;6;22;1;2;;6;;1;;2;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Haastrecht;G0521;11049;Zuid-Holland;P28;1114;1073;12;10;1051;397;147;185;38;98;51;3;33;1;59;9;2;6;2;5;3;5;;1;;;;;1;;1;;;;;;;;2;;;;2;;;;;;;;;;;;;;;;
Haelen;G0914;10321;Limburg;P31;555;532;0;24;508;481;9;;1;;;;1;;2;4;1;;2;;3;;;;;2;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;
Hagestein;G0522;10297;Zuid-Holland;P28;454;420;4;7;409;151;21;32;45;9;;;76;1;18;;5;38;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Halsteren;G0789;10387;Noord-Brabant;P30;2917;2778;105;106;2567;1931;164;83;42;40;33;5;69;1;16;97;6;;15;4;9;2;6;2;7;;5;9;4;5;2;;;;;10;;;;;;;;;;;;;;;;;;;;;;;
Haps;G0790;11283;Noord-Brabant;P30;671;645;5;1;639;608;1;;2;;;;;;1;5;;;;;2;12;;;4;;;;;;;;2;;;;;;;;;2;;;;;;;;;;;;;;;;;
Harderwijk;G0243;10786;Gelderland;P25;4361;4099;42;110;3947;166;270;905;1694;180;76;23;474;8;18;3;10;13;41;6;;20;6;4;4;;;2;4;;1;;8;;;;;;2;;;;;;;;3;;;6;;;;;;;;;
Hardinxveld;G1070;10167;Zuid-Holland;P28;3432;2939;41;172;2726;12;817;514;76;234;56;7;696;2;37;1;16;20;10;57;2;148;6;1;1;;;8;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
