RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Staatkundig Gereformeerde Partij (SGP);Groep Staalman-ter Hall;Rooms-Katholieke Volkspartij (RKVP);Plattelandersbond (Braat);Communistische Partij van Nederland;HGSP;Middenstandspartij;Plattelandersbond (De Boer);Protestantsche Volkspartij;Christen-democraten;Vaderlandsch Verbond;Revolutionair arbeiderscomitT;Democratische Partij;Socialistische Partij (SOPA);Rapaille-partij;Sport-partij;Bezuinigingspartij;Vrijdenkers;Actualisten;Pensioenactie;Grondpartij;Landbouwpartij;Premievrij Staatspensioen;Nieuwe Nationale Partij;Wilde Partij;Rentetrekkers;Vrijzinnige Christenpartij
Tiel;G0281;10027;Gelderland;P25;6053;5645;233;;5412;1370;1774;239;314;1034;341;29;27;18;77;;11;23;9;85;6;8;;28;;;;12;;5;;;;;2;;;
Tienhoven (Ut);G1202;10035;Utrecht;P26;276;251;;;251;5;15;156;52;2;6;3;;2;3;2;;;1;;;3;;;;;;;;;;;;;1;;;
Tietjerksteradeel;G0094;11241;Fryslân;P21;8259;7605;218;;7387;14;1515;2430;1686;645;487;49;22;8;194;23;13;23;139;31;24;25;1;8;5;;26;8;;1;;9;;;1;;;
Tilburg;G0855;10792;Noord-Brabant;P30;31797;29041;;;29041;17844;3165;144;178;192;229;15;200;6783;11;;20;76;;33;28;38;;16;31;;;32;;6;;;;;;;;
Tubbergen;G0183;10694;Overijssel;P23;3781;3524;;;3524;3076;35;11;183;5;18;3;1;113;11;2;7;11;26;9;6;;2;3;2;;;;;;;;;;;;;
Tull en 't Waal;G1205;11022;Utrecht;P26;231;209;;;209;112;16;11;46;1;1;6;3;;10;;2;;;;;;;;;;;;1;;;;;;;;;
Twisk;G0449;10371;Noord-Holland;P27;449;429;4;2;423;;109;8;10;144;139;;;;8;;;2;;1;;;1;;;;;;;1;;;;;;;;
Ubach over Worms;G0978;10146;Limburg;P31;1305;1198;;;1198;770;280;2;3;1;6;1;4;93;7;7;1;;;1;2;;1;10;;;;3;;1;;;5;;;;;
Ubbergen;G0282;10408;Gelderland;P25;2232;2065;;;2065;1790;74;14;43;35;19;1;14;57;6;;4;1;2;1;;2;;;;;;;;2;;;;;;;;
Uden;G0856;11141;Noord-Brabant;P30;3184;2987;76;;2911;2761;13;1;1;6;25;1;17;49;2;5;;12;;;2;2;;2;;6;;;;3;;;;3;;;;
Udenhout;G0857;11268;Noord-Brabant;P30;1689;1608;;;1608;1529;22;1;8;;7;1;1;31;;;1;2;;;1;3;;1;;;;;;;;;;;;;;
Uitgeest;G0450;11238;Noord-Holland;P27;1804;1736;;;1736;778;407;18;29;30;269;;;2;50;60;;63;11;4;2;2;9;;;;;;;;;2;;;;;;
Uithuizen;G0043;11137;Groningen;P20;2169;2069;16;12;2041;290;534;521;275;109;214;;11;31;27;1;1;3;5;2;3;1;;2;3;;6;;;1;;;;;1;;;
Ulestraten;G0979;11220;Limburg;P31;451;416;;;416;394;8;;;;;;;6;2;;;;;;;1;2;;;;;;;1;;;2;;;;;
Ulrum;G0045;10180;Groningen;P20;1978;1708;;;1708;1;368;921;186;156;55;;;;28;8;;;;;;;;;;;;;;;;;;;;;;
Urmond;G0980;10700;Limburg;P31;771;0;;;;680;15;;;;;;;22;;;;;;;;;;;;;;;;;;;;;;;;
Ursem;G0452;10696;Noord-Holland;P27;;591;4;;587;409;51;6;4;31;70;;2;1;4;;;;1;;1;;4;1;1;;;;1;;;;;;;;;
Usquert;G0046;11035;Groningen;P20;939;885;12;11;862;25;571;43;48;89;26;;12;;18;3;;2;18;;2;1;2;;;;1;1;;;;;;;;;;
Utingeradeel;G0095;10140;Fryslân;P21;2789;2537;98;;2439;23;987;188;353;142;331;15;18;5;182;17;6;11;84;41;4;3;1;4;6;;13;1;;1;;1;;;2;;;
