RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Staatkundig Gereformeerde Partij (SGP);Groep Staalman-ter Hall;Rooms-Katholieke Volkspartij (RKVP);Plattelandersbond (Braat);Communistische Partij van Nederland;HGSP;Middenstandspartij;Plattelandersbond (De Boer);Protestantsche Volkspartij;Christen-democraten;Vaderlandsch Verbond;Revolutionair arbeiderscomitT;Democratische Partij;Socialistische Partij (SOPA);Rapaille-partij;Sport-partij;Bezuinigingspartij;Vrijdenkers;Actualisten;Pensioenactie;Grondpartij;Landbouwpartij;Premievrij Staatspensioen;Nieuwe Nationale Partij;Wilde Partij;Rentetrekkers;Vrijzinnige Christenpartij
Aagtekerke;G1000;10531;Zeeland;P29;363;334;3;1;330;;3;132;11;24;5;141;1;;8;;1;;;;;1;;;;;;1;1;1;;;;;;;;
Aalsmeer;G0358;11264;Noord-Holland;P27;3422;3149;;;3149;496;603;507;368;821;125;80;35;5;23;18;5;6;4;15;13;;8;10;3;;;1;;3;;;;;;;;
Aalten;G0197;11046;Gelderland;P25;4840;4646;123;;4523;673;427;1833;704;204;402;2;;18;9;;11;5;3;197;3;20;;9;;;;3;;;;;;;;;;
Aardenburg;G0648;11020;Zeeland;P29;1097;1045;25;;1020;503;91;59;22;163;54;8;;12;16;3;1;;4;;1;2;;78;;;;;1;2;;;;;;;;
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;1034;1016;21;;995;930;12;3;2;6;5;;5;19;;;;2;;;1;1;;;;;;1;;;;;;8;;;;
Abcoude-Baambrugge;G1003;11184;Utrecht;P26;779;718;11;;707;167;27;187;206;32;35;16;6;;11;1;2;;9;6;;1;;1;;;;;;;;;;;;;;
Abcoude-Proostdij;G1004;10712;Utrecht;P26;827;780;8;;772;395;31;80;187;13;31;7;6;1;10;;5;1;;3;;;;1;1;;;;;;;;;;;;;
Achtkarspelen;G0059;10199;Fryslân;P21;6769;6343;202;;6141;12;1078;2782;998;232;621;31;3;8;79;18;21;8;43;76;10;56;1;18;4;;30;3;;3;;5;;;1;;;
Achttienhoven;G1005;10524;Utrecht;P26;336;303;;;303;57;2;66;113;4;;28;;;14;1;10;2;;;2;3;;;;;;;;1;;;;;;;;
Aengwirden;G1006;10157;Fryslân;P21;2310;2079;73;;2006;108;938;178;188;53;256;4;10;9;138;20;8;8;20;27;9;11;;;9;;9;2;;;;1;;;;;;
Akersloot;G0360;10346;Noord-Holland;P27;877;778;;;778;453;42;;11;10;197;;3;3;3;2;;;42;;;;2;1;8;;;;1;;;;;;;;;
Alem, Maren en Kessel;G1007;10495;Noord-Brabant;P30;614;573;8;;565;522;12;;4;3;3;;2;11;1;;;5;;;;;;;;;;;;;;;;2;;;;
Alkemade;G0483;10349;Zuid-Holland;P28;2368;2245;22;;2223;1768;25;190;148;18;25;3;2;10;5;;6;8;2;3;2;1;3;1;3;;;;;;;;;;;;;
Alkmaar;G0361;10527;Noord-Holland;P27;14537;13441;439;;13002;3852;3677;544;890;955;1797;39;444;322;54;39;7;35;42;15;32;17;85;37;11;;;58;41;4;;2;;;3;;;
Almelo;G0141;11053;Overijssel;P23;13473;11911;;;11911;2009;3698;1009;1204;650;645;100;186;287;78;1105;21;56;213;431;27;38;13;28;113;;;;;;;;;;;;;
Almkerk;G0740;10788;Noord-Brabant;P30;1747;1567;30;;1537;9;42;1020;323;34;13;20;2;2;25;2;10;2;;;1;22;;1;;1;;;;;;;;8;;;;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;7272;6778;126;;6652;1406;518;1599;1963;431;123;340;67;12;56;6;22;8;25;9;12;14;12;10;11;;;6;;;2;;;;;;;
Alphen en Riel;G0741;10710;Noord-Brabant;P30;1030;1000;;;1000;982;4;;;2;;;;11;;;;1;;;;;;;;;;;;;;;;;;;;
Ambt Delden;G0142;11400;Overijssel;P23;1695;1605;;;1605;905;113;30;197;24;129;3;;29;128;1;1;4;20;4;1;9;3;3;1;;;;;;;;;;;;;
Ambt Hardenberg;G1011;10174;Overijssel;P23;5336;1041;;;1041;3;80;439;180;160;134;1;5;;2;;10;4;5;7;1;5;;2;3;;;;;;;;;;;;;
Ambt Vollenhove;G1013;11088;Overijssel;P23;1184;1094;;;1094;2;30;519;318;159;15;6;6;;13;;1;5;5;;2;6;3;3;1;;;;;;;;;;;;;
Amby;G0883;10922;Limburg;P31;720;0;;;;632;53;;;;;;;29;;;;;;;;;;;;;;;;;;;;;;;;
Ameland;G0060;11153;Fryslân;P21;1047;941;21;;920;210;97;110;195;155;52;3;47;2;15;;5;3;6;3;2;1;;;2;;3;2;;3;;2;;;2;;;
Amerongen;G0306;11372;Utrecht;P26;1364;1136;;;1136;10;129;273;407;68;33;121;11;3;35;1;1;4;7;12;2;5;5;3;2;;;;3;1;;;;;;;;
Amersfoort;G0307;10948;Utrecht;P26;16384;14441;;;14441;3367;3929;1824;1701;1027;1031;126;242;383;26;140;53;99;19;40;47;127;48;111;8;;;15;15;59;;;;;4;;;
Ammerzoden;G0198;10151;Gelderland;P25;1372;1267;;;1267;858;5;82;244;5;3;37;1;19;3;;1;3;4;;;1;;1;;;;;;;;;;;;;;
Amstenrade;G0884;10062;Limburg;P31;462;0;;;;394;26;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;
Amsterdam;G0363;11150;Noord-Holland;P27;378091;305278;;;305278;46539;113505;21928;18297;25158;23066;752;5718;1890;545;13997;4287;11013;142;845;2289;990;5829;916;946;;2179;521;1807;;1050;188;;556;119;;206;
Andel;G0742;10871;Noord-Brabant;P30;549;451;19;;432;;21;204;145;14;4;9;3;;12;;6;2;;;1;8;;;;1;;1;;1;;;;;;;;
Angerlo;G0199;11131;Gelderland;P25;1202;1112;;;1112;578;59;60;162;153;26;2;3;7;18;;14;2;2;21;;5;;;;;;;;;;;;;;;;
Ankeveen;G1014;10936;Noord-Holland;P27;324;0;;;;137;28;23;70;6;4;1;1;1;3;4;;;2;1;;;2;;;;;;;;;;;;;;;
Anloo;G0105;10787;Drenthe;P22;2381;2155;;;2155;;829;86;17;108;143;2;21;1;450;2;3;13;444;2;4;6;4;18;;;;;;;;2;;;;;;
Anna Paulowna;G0366;10344;Noord-Holland;P27;;2007;;;2007;359;730;100;91;24;548;7;18;3;55;2;1;9;13;1;20;3;8;5;;;;1;4;;;2;;;3;;;
Apeldoorn;G0200;11075;Gelderland;P25;26193;24468;1067;;23401;2407;5732;3209;5442;1546;2322;407;768;85;182;49;79;56;325;291;74;135;65;68;36;;;20;;85;;18;;;;;;
Appeltern;G0201;11296;Gelderland;P25;1598;1413;;;1413;1228;;9;124;18;5;;2;15;3;;1;1;1;;1;2;;;;;;2;;1;;;;;;;;
Appingedam;G0003;10886;Groningen;P20;3174;2769;;;2769;61;560;600;448;198;470;1;25;16;18;237;6;11;63;;4;16;9;6;5;;9;1;;3;;2;;;;;;
Arcen en Velden;G0885;10202;Limburg;P31;1316;1218;;;1218;1096;24;1;2;3;8;;1;69;3;;;;;;5;;;1;;;;2;;1;;;2;;;;;
Arnemuiden;G0649;11419;Zeeland;P29;1006;884;55;;829;3;45;283;90;22;16;303;8;1;7;3;;;3;1;27;6;1;3;1;;;2;2;2;;;;;;;;
Arnhem;G0202;10795;Gelderland;P25;38756;35558;2289;;33269;8473;10768;2316;2014;3565;2142;135;569;263;85;190;1107;126;72;148;102;304;158;538;104;;;26;;22;;42;;;;;;
Assen;G0106;10522;Drenthe;P22;8895;8191;230;;7961;287;2638;1356;587;389;1584;18;140;12;173;99;15;194;219;6;164;35;6;32;;;;;;;;4;;;3;;;
Assendelft;G0367;11373;Noord-Holland;P27;2193;2078;29;26;2023;772;556;34;22;12;414;18;11;10;17;99;;1;20;;13;1;15;1;3;;;1;3;;;;;;;;;
Asten;G0743;10478;Noord-Brabant;P30;2235;2101;17;;2084;1985;12;;15;3;10;2;5;32;3;;2;5;;;;6;;1;;1;;;;;;;;2;;;;
Avenhorn;G0368;11147;Noord-Holland;P27;722;679;2;8;669;223;107;6;5;102;183;;7;3;19;1;;;6;;;2;2;1;1;;;;;1;;;;;;;;
Avereest;G0143;11190;Overijssel;P23;4314;3785;;;3785;333;567;883;1180;351;177;17;27;16;72;3;9;14;88;9;7;11;4;14;3;;;;;;;;;;;;;
Axel;G0650;11289;Zeeland;P29;2692;2518;68;;2450;341;197;774;580;245;29;188;8;15;20;4;1;;6;;5;15;1;;1;;;18;1;1;;;;;;;;
Baarderadeel;G0061;10422;Fryslân;P21;3006;2788;67;;2721;88;1012;403;299;591;111;2;7;5;81;3;11;7;31;16;2;15;;5;1;;12;;;;;19;;;;;;
Baarland;G0651;10634;Zeeland;P29;;375;14;;361;76;24;93;59;37;11;26;;1;18;2;;;2;1;3;1;;;;;;3;3;1;;;;;;;;
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;1063;994;;;994;930;27;1;6;2;12;2;4;8;;;1;;;1;;;;;;;;;;;;;;;;;;
Baarn;G0308;11411;Utrecht;P26;6179;5516;;;5516;886;896;1143;966;727;561;114;43;20;14;6;17;16;10;5;11;40;18;12;5;;;1;1;4;;;;;;;;
Baexem;G0886;11255;Limburg;P31;407;383;;;383;379;;;;;2;;;;1;;;;;;;;;1;;;;;;;;;;;;;;
Bakel en Milheeze;G0745;10749;Noord-Brabant;P30;1089;1063;20;;1043;991;6;2;5;;2;;3;25;1;;;4;;;;1;;;1;1;;;;1;;;;;;;;
Barendrecht;G0489;10943;Zuid-Holland;P28;1811;1631;;;1631;15;131;793;233;158;20;111;11;;99;3;12;4;6;5;4;13;2;2;3;;;2;;;;4;;;;;;
Barneveld;G0203;10906;Gelderland;P25;5856;5023;112;;4911;329;378;1407;1684;175;71;685;11;5;11;6;30;6;66;9;3;13;5;9;4;;;1;;1;;2;;;;;;
Barradeel;G0062;10156;Fryslân;P21;4212;3952;108;;3844;48;999;1061;1113;152;119;1;11;14;66;15;25;7;49;26;11;18;1;3;11;;16;3;;1;;71;;;3;;;
Barsingerhorn;G0369;10973;Noord-Holland;P27;1047;903;;;903;21;223;15;7;48;440;4;5;6;14;;;2;5;;3;1;7;95;;;;2;;3;;2;;;;;;
Barwoutswaarder;G1017;10447;Zuid-Holland;P28;410;379;10;;369;67;9;127;126;6;2;21;1;2;;;;1;1;;;3;3;;;;;;;;;;;;;;;
Batenburg;G0204;10921;Gelderland;P25;257;244;;;244;190;;5;26;20;1;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
Bathmen;G0144;11030;Overijssel;P23;902;847;5;10;832;19;213;16;161;171;219;1;3;;19;1;;4;3;;;;;2;;;;;;;;;;;;;;
Bedum;G0005;10425;Groningen;P20;2811;2674;;;2674;180;430;1357;43;273;274;;24;3;35;6;4;3;20;;3;4;3;10;1;;1;;;;;;;;;;;
Beegden;G0887;11089;Limburg;P31;362;346;;;346;323;9;2;;;2;;;5;;;;;;;;1;;;;;;1;;;;;3;;;;;
Beek;G0888;11374;Limburg;P31;1860;0;;;;1607;60;;;;;;;21;;;;;;;;;;;;;;;;;;;;;;;;
Beek en Donk;G0746;10173;Noord-Brabant;P30;1226;1155;25;;1130;1088;11;1;;2;1;;4;13;;2;;1;;;;3;;;;3;;;;1;;;;;;;;
Beemster;G0370;10816;Noord-Holland;P27;;2644;44;;2600;693;295;115;42;399;640;2;5;7;239;10;;3;58;7;4;9;1;12;;;;2;2;;;1;;;;;;
Beers;G0747;11410;Noord-Brabant;P30;419;408;1;3;404;386;;;;;2;;;13;;;;1;;;;;;;;2;;;;;;;;;;;;
Beerta;G0006;11043;Groningen;P20;1922;1470;;;1470;7;424;54;69;217;294;4;4;1;51;293;3;5;10;;5;1;1;12;6;;;2;;3;;4;;;;;;
Beesd;G0205;10259;Gelderland;P25;1324;1217;;;1217;525;53;48;335;42;15;38;4;9;101;;34;1;5;1;1;;;;;;;4;;;;;;;1;;;
Beesel;G0889;10195;Limburg;P31;1476;1416;;;1416;1286;63;;1;1;3;;13;13;6;3;1;;;1;7;;;2;;;;2;;;;;14;;;;;
Beets;G0371;10536;Noord-Holland;P27;289;269;1;1;269;5;74;5;3;9;50;;1;4;112;1;;;3;;1;;1;;;;;;;;;;;;;;;
Beilen;G0107;10520;Drenthe;P22;3256;2901;;;2901;14;767;630;723;115;254;3;28;4;103;13;2;21;188;2;20;4;1;6;;;;;;;;3;;;;;;
Belfeld;G0890;10292;Limburg;P31;652;628;7;16;617;563;15;1;1;1;9;;3;9;1;1;;;;1;4;2;2;;;;;2;;;;;2;;;;;
Bellingwolde;G1019;10340;Groningen;P20;2953;2563;90;;2473;13;1296;167;193;237;288;6;3;4;56;122;4;7;38;6;1;5;3;6;5;;3;2;;3;;4;;;1;;;
Bemelen;G0891;10878;Limburg;P31;131;124;;;124;115;2;;;;1;;2;1;2;;;;;;;;;;;;;;;;;;1;;;;;
Bemmel;G0206;10744;Gelderland;P25;3017;2715;59;;2656;2250;50;29;203;28;14;4;4;43;12;;1;5;4;1;1;1;;1;;;;1;;3;;;;;1;;;
Bennebroek;G0372;10734;Noord-Holland;P27;779;735;11;7;717;360;60;45;55;57;34;2;5;1;4;;2;4;1;73;;4;3;3;;;;1;;2;;;;;1;;;
Benschop;G0309;11330;Utrecht;P26;945;868;;;868;274;24;204;98;16;5;114;3;4;22;;65;;1;;1;;3;27;1;;;;1;2;;;;;3;;;
Berg en Terblijt;G0892;10796;Limburg;P31;836;575;;;575;556;3;;1;;1;;;4;1;;;;;;;1;1;;;;;1;;;;;6;;;;;
Bergen;G0893;11281;Limburg;P31;2555;2475;;;2475;2401;25;3;2;1;10;1;3;20;2;2;;;;;;;;;;;;1;;1;;;3;;;;;
Bergen;G0373;11424;Noord-Holland;P27;2413;2344;30;38;2276;814;364;69;86;226;445;;128;39;29;4;1;3;3;1;6;9;10;14;9;;;10;3;2;;1;;;;;;
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;9135;7937;;;7937;5315;967;306;145;375;209;24;104;288;22;;18;26;;19;36;23;;23;17;;;15;;5;;;;;;;;
Bergeyk;G0749;11160;Noord-Brabant;P30;1117;1052;20;;1032;928;4;7;14;1;2;1;5;54;4;1;;2;;;;3;;1;;3;;1;;;;;;1;;;;
Bergh;G0207;10350;Gelderland;P25;4252;4041;190;;3851;3142;234;24;32;80;75;6;16;77;19;;7;9;6;99;6;4;;4;;;;1;;9;;;;;1;;;
Bergharen;G0208;10883;Gelderland;P25;823;786;;;786;664;;1;48;47;10;;1;5;7;;;1;1;;;;;;;;;1;;;;;;;;;;
Berghem;G0750;10733;Noord-Brabant;P30;1098;1023;28;;995;906;23;1;2;2;3;;2;43;1;1;;5;;;1;1;;;;1;;;;1;;;;2;;;;
Bergschenhoek;G0492;10445;Zuid-Holland;P28;779;728;8;15;705;189;21;142;253;41;2;2;1;5;35;1;3;1;5;;1;;1;1;;;;;;;;;;;1;;;
Berkel en Rodenrijs;G0493;10139;Zuid-Holland;P28;1515;1489;5;14;1470;735;8;291;259;14;7;8;1;5;37;;82;;5;9;;1;4;;;;;4;;;;;;;;;;
Berkel-Enschot;G0751;11132;Noord-Brabant;P30;888;828;;;828;783;3;;1;;1;;1;37;;;;;;;1;1;;;;;;;;;;;;;;;;
Berkenwoude;G0494;10797;Zuid-Holland;P28;362;314;2;1;311;;9;57;1;110;18;52;1;2;59;;;;;;1;;;;;;;;;;;;;;1;;;
Berlicum;G0752;10362;Noord-Brabant;P30;1583;1419;63;;1356;1180;23;7;4;7;16;4;15;73;4;1;1;9;;;;7;;;;;;2;;2;;;;1;;;;
Best;G0753;10442;Noord-Brabant;P30;1688;1611;24;;1587;1522;22;1;1;;5;1;2;25;1;1;;2;;;1;;;;;1;;1;;;;;;1;;;;
Beugen en Rijkevoort;G1021;10252;Noord-Brabant;P30;960;911;;;911;893;2;1;5;;1;;2;6;;;;1;;;;;;;;;;;;;;;;;;;;
Beuningen;G0209;10417;Gelderland;P25;1503;1370;;;1370;1140;17;8;8;59;8;;4;111;7;;2;3;;;;;;1;;;;2;;;;;;;;;;
Beusichem;G0210;11182;Gelderland;P25;856;800;33;;767;25;114;60;39;104;53;29;2;1;289;;;7;2;3;3;;;33;;;;;;3;;;;;;;;
Bierum;G0008;11294;Groningen;P20;2071;1866;;;1833;20;191;752;528;81;121;;;;35;19;;;22;;;;;;;;;;;;;;;;;;;
Biervliet;G0652;10257;Zeeland;P29;1132;1038;39;;999;292;224;30;147;193;21;16;12;7;36;1;2;;5;2;;3;2;2;1;;;1;1;1;;;;;;;;
Biggekerke;G1022;11364;Zeeland;P29;469;433;7;;426;;3;204;112;9;14;67;2;;5;1;;;;1;;1;;2;1;;;;4;;;;;;;;;
Bingelrade;G0894;10967;Limburg;P31;224;0;;;;203;2;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;
Bladel en Netersel;G0754;11006;Noord-Brabant;P30;929;904;;;904;842;2;2;34;2;5;;4;6;1;;1;1;;;;1;;;;1;;1;;;;;;1;;;;
Blankenham;G0145;10320;Overijssel;P23;282;247;;;247;12;11;2;93;71;34;1;;;19;;1;;1;;;;;2;;;;;;;;;;;;;;
Blaricum;G0376;10493;Noord-Holland;P27;1242;1105;38;37;1030;478;81;54;69;173;64;3;12;7;9;12;2;6;1;1;10;8;20;5;14;;;;;1;;;;;;;;
Bloemendaal;G0377;10850;Noord-Holland;P27;6003;5185;;;5185;1589;779;403;578;1091;332;14;71;23;10;6;22;53;22;50;13;44;36;29;6;;;12;;2;;;;;;;;
Blokker;G0378;10804;Noord-Holland;P27;1218;1129;15;;1114;780;44;3;3;194;30;2;4;3;11;;1;1;23;;2;1;3;1;;;;1;1;6;;;;;;;;
Blokzijl;G0146;10689;Overijssel;P23;;552;;;552;1;116;189;101;54;64;15;1;;1;;5;;1;;1;1;1;1;;;;;;;;;;;;;;
Bocholtz;G0895;10986;Limburg;P31;1088;1070;22;12;1036;854;116;2;2;1;;;5;36;4;;1;;;;2;3;;8;;;;2;;;;;;;;;;
Bodegraven;G0497;11091;Zuid-Holland;P28;2890;2685;63;;2622;526;135;941;445;210;46;175;8;12;62;2;12;6;6;13;2;12;4;3;;;;;;2;;;;;;;;
Boekel;G0755;10432;Noord-Brabant;P30;1224;1194;13;;1181;1149;2;1;1;;3;1;4;19;;;;;;;;;;;1;;;;;;;;;;;;;
Bolsward;G0064;10865;Fryslân;P21;3699;3446;97;;3349;1001;770;478;429;372;102;2;13;91;15;2;6;;24;14;9;4;1;6;1;;7;1;;1;;;;;;;;
Borculo;G0211;11307;Gelderland;P25;2632;2445;92;;2353;178;484;326;296;623;238;2;29;7;100;2;1;6;21;12;5;3;5;3;4;;;3;;2;;3;;;;;;
Borger;G0108;10448;Drenthe;P22;;3969;110;;3859;79;1308;631;465;254;482;8;32;6;351;10;3;20;160;4;24;3;5;10;;;;;;;;4;;;;;;
Borgharen;G0896;11334;Limburg;P31;425;395;;;395;312;56;;1;;4;;1;14;5;;1;;;;;;;1;;;;;;;;;;;;;;
Borkel en Schaft;G1026;11013;Noord-Brabant;P30;318;306;3;0;303;287;4;;;1;;;;10;1;;;;;;;;;;;;;;;;;;;;;;;
Born;G0897;10927;Limburg;P31;995;0;;;;914;17;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;
Borne;G0147;10326;Overijssel;P23;3578;3382;;;3382;1985;516;54;261;89;73;10;14;39;34;23;4;14;19;226;6;4;2;2;7;;;;;;;;;;;;;
Borssele;G1254;10043;Zeeland;P29;;562;7;2;553;88;34;83;109;40;73;106;;;7;1;1;;3;2;;1;;2;;;;3;;;;;;;;;;
Boschkapelle;G1027;10605;Zeeland;P29;595;543;15;;528;430;5;7;21;3;1;4;2;4;3;;1;;;3;;;2;;1;;;41;;;;;;;;;;
Boskoop;G0499;10419;Zuid-Holland;P28;3105;2955;;;2955;573;196;768;410;641;79;192;7;1;31;1;10;5;1;4;5;10;8;6;3;;;2;;1;;;;;1;;;
Bovenkarspel;G0379;10945;Noord-Holland;P27;1236;1161;5;9;1147;792;106;21;8;91;96;3;1;4;9;;;;9;;;;2;3;1;;;;;1;;;;;;;;
Boxmeer;G0756;11227;Noord-Brabant;P30;;1611;;;1611;1345;116;12;20;27;15;1;9;47;3;3;7;1;;;;1;;;;1;;2;;1;;;;;;;;
Boxtel;G0757;10083;Noord-Brabant;P30;4456;3979;;;3979;3153;413;12;38;17;26;4;32;193;18;;7;17;;16;7;8;;3;3;;;6;;6;;;;;;;;
Brakel;G0212;11125;Gelderland;P25;867;716;;;716;3;80;43;154;113;3;274;1;1;27;;;3;5;;1;;;5;;;;;;2;;;;;1;;;
Brandwijk;G0500;10169;Zuid-Holland;P28;457;416;2;5;409;;3;231;51;24;7;59;6;;17;;3;1;;;2;1;;2;2;;;;;;;;;;;;;
Breda;G0758;10154;Noord-Brabant;P30;14964;13261;;;13261;7756;2843;178;340;489;476;21;443;378;26;;15;68;;54;48;45;;28;18;;;24;;11;;;;;;;;
Breskens;G0655;10233;Zeeland;P29;;1095;60;;1035;38;325;31;268;180;124;3;8;;18;2;6;;11;1;4;6;;;1;;;6;2;1;;;;;;;;
Breukelen-Nijenrode;G1028;10807;Utrecht;P26;1308;1179;;;1179;345;74;231;333;59;19;71;6;7;13;;8;1;2;2;2;2;2;1;1;;;;;;;;;;;;;
Breukelen-Sint Pieters;G1029;11149;Utrecht;P26;435;396;;;396;57;37;123;130;14;4;14;2;2;2;2;2;;1;;2;1;;1;1;;;;1;;;;;;;;;
Brielle;G0501;10232;Zuid-Holland;P28;1874;1691;80;;1611;122;324;163;258;414;175;5;23;2;61;4;33;6;4;3;3;4;;4;;;;;;1;;1;;;1;;;
Broek in Waterland;G0380;10289;Noord-Holland;P27;988;883;;;883;42;199;77;182;94;156;6;4;1;79;3;1;13;5;2;2;3;8;;;;;2;;1;;2;;;1;;;
Broek op Langendijk;G1031;10955;Noord-Holland;P27;1146;1073;22;;1051;6;74;459;264;11;178;17;3;1;2;;;;;;1;3;7;22;1;;;;;1;;1;;;;;;
Broekhuizen;G0898;10856;Limburg;P31;438;417;;;417;397;1;;;1;2;;;13;1;;;;;;;;;;;;;;;;;;2;;;;;
Broeksittard;G1032;10655;Limburg;P31;324;0;;;;286;12;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;
Brouwershaven;G0656;10030;Zeeland;P29;738;691;37;;654;1;194;149;20;202;34;14;3;;8;2;3;;13;1;;7;1;;1;;;;;1;;;;;;;;
Bruinisse;G0657;11291;Zeeland;P29;1425;1125;50;;1075;1;57;247;105;227;14;255;3;;47;1;16;;63;1;22;9;2;1;;;;2;2;;;;;;;;;
Brummen;G0213;10798;Gelderland;P25;4726;4138;143;;3995;259;1225;401;717;782;318;6;11;5;61;11;25;11;49;54;6;16;17;5;9;;;4;;1;;2;;;;;;
Brunssum;G0899;10533;Limburg;P31;3675;0;;;;1746;63;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;
Budel;G0759;10219;Noord-Brabant;P30;1691;1612;41;;1571;1473;18;;6;2;6;1;5;41;1;;1;8;;;1;5;;;;;;2;;;;;;1;;;;
Buggenum;G1033;10857;Limburg;P31;366;334;;;334;301;2;2;;;1;;1;25;;;;;;;;1;;;;;;;;;;;1;;;;;
Bunde;G0900;10831;Limburg;P31;534;494;;;494;454;13;1;1;;7;;1;2;6;1;;;;4;;;1;;;;;1;;1;;;1;;;;;
Bunnik;G0312;10820;Utrecht;P26;796;738;29;;709;331;77;54;25;20;4;19;2;27;11;;118;5;2;;3;3;;2;2;;;2;1;;;;;;1;;;
Bunschoten;G0313;11343;Utrecht;P26;;1766;;;1766;5;4;1652;32;16;1;12;3;;1;;;;;2;27;3;2;4;;;;;;2;;;;;;;;
Buren;G0214;11286;Gelderland;P25;978;856;;;856;56;115;19;142;292;32;57;3;2;115;;4;1;10;;;;;6;;;;2;;;;;;;;;;
Burgh;G1035;11000;Zeeland;P29;322;300;6;;294;2;56;25;82;82;11;10;3;;6;;1;;10;;;1;;1;;;;3;1;;;;;;;;;
Bussum;G0381;10281;Noord-Holland;P27;10881;9856;519;;9337;2745;1422;1031;1155;1388;842;60;158;56;18;46;27;34;21;22;53;44;48;91;6;;;30;;37;;;;;3;;;
Buurmalsen;G0215;10460;Gelderland;P25;1015;928;27;31;870;41;176;61;251;130;31;74;8;;69;;1;1;11;2;;3;;9;;;;;;1;;;;;1;;;
Cadier en Keer;G0901;11447;Limburg;P31;444;395;;;395;372;9;;2;;2;;1;3;2;;;;;;;1;;;;;;;;;;;3;;;;;
Cadzand;G0658;11002;Zeeland;P29;;491;20;;471;8;31;68;86;215;22;2;5;1;18;;;;;3;4;5;;2;;;;;1;;;;;;;;;
Callantsoog;G0382;10559;Noord-Holland;P27;483;427;;;427;48;161;3;11;4;171;;8;;8;3;;2;;;;1;4;1;;;;;2;;;;;;;;;
Castricum;G0383;11287;Noord-Holland;P27;1910;1800;42;;1758;1129;325;39;39;24;86;2;9;47;5;1;9;1;1;12;;2;11;1;10;;;;3;1;;;;;1;;;
Chaam;G0760;11433;Noord-Brabant;P30;759;741;;;741;662;4;10;20;;13;4;1;4;12;;6;1;;;;1;;;1;;;1;;1;;;;;;;;
Clinge;G0659;10965;Zeeland;P29;1207;1088;53;;1035;676;24;3;2;7;15;2;4;15;2;2;16;;1;4;4;6;2;;;;;241;7;2;;;;;;;;
Coevorden;G0109;10383;Drenthe;P22;3106;2849;66;;2783;482;741;375;421;296;311;;40;3;32;5;5;8;18;25;5;3;4;5;;;;;;;;2;;;2;;;
Colijnsplaat;G1038;10121;Zeeland;P29;;932;53;;879;3;21;373;58;303;43;28;4;;11;;;;16;1;;6;;2;1;;;3;3;3;;;;;;;;
Cothen;G0314;11316;Utrecht;P26;426;408;;;408;286;1;20;18;16;;43;3;3;5;;;2;5;;;1;4;;;;;;;1;;;;;;;;
Cromvoirt;G1039;10053;Noord-Brabant;P30;301;262;;;262;228;6;;1;1;1;;1;22;;;;1;;;;1;;;;;;;;;;;;;;;;
Cuijk en Sint Agatha;G0761;10023;Noord-Brabant;P30;1737;1653;39;;1614;1372;60;24;11;13;7;2;8;113;;;;3;;;;;;;;;;;;1;;;;;;;;
Culemborg;G0216;10342;Gelderland;P25;4387;4226;159;;4067;1668;903;249;129;726;253;31;13;25;29;;9;5;2;3;1;3;;17;;;;;;;;;;;1;;;
Dalen;G0110;11004;Drenthe;P22;1775;1653;18;13;1622;130;487;81;96;502;145;5;22;2;60;4;2;11;60;3;;2;2;7;;;;;;;;1;;;;;;
Dalfsen;G0148;11007;Overijssel;P23;3378;3125;;;3125;926;204;411;1202;73;135;4;5;19;34;1;28;8;31;25;5;8;1;4;1;;;;;;;;;;;;;
Dantumadeel;G0065;10650;Fryslân;P21;6356;5924;216;;5708;53;933;1969;1521;519;75;338;9;4;63;5;20;4;90;14;11;37;3;8;4;;16;3;;1;;8;;;;;;
De Bilt;G0310;10168;Utrecht;P26;4335;3956;174;;3782;405;649;647;647;532;327;292;34;21;39;4;14;23;15;5;38;42;11;15;1;;;7;2;12;;;;;;;;
De Lier;G0552;10241;Zuid-Holland;P28;826;13;13;;;70;14;289;284;76;;9;;;15;;;;15;;;;;;;;;;;;;;;;;;;
De Rijp;G0440;11417;Noord-Holland;P27;;719;9;15;695;241;232;4;12;55;86;4;10;1;14;8;;6;2;17;1;;1;;;;;;;1;;;;;;;;
