RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;CHU 2;Vrijheidsbond 1;Vrijzinnig-Democratische Bond (VDB);Vrijheidsbond 2;Communistische Partij van Nederland;CHU 1;Plattelandersbond (links);Vrijheidsbond 3;HGSP;Staatkundig Gereformeerde Partij (SGP);Christen-Democratische Partij;Christelijk-Sociale Partij;Lijsten Arts;Liberale Groep;Onafhankelijke Partij;Nieuwe Katholieke Partij;Socialistische Partij (SOPA);Nederlandse Bond van Belastingbetalers;Volkswelvaartspartij;Plattelandspartij;Rapaille-partij;Plattelandersbond (rechts);Democratische Partij;Neutraal Blok Middenstanders;Bezuinigingsbond;Lijsten Van der Zwaag;Algemene Nederlandse Vrouwenorganisatie;Kunstenaarspartij;Patricidrsbond;Christelijke Volkspartij;Lijst Groenendaal;Grondpartij;Plattelandersbond (rk);Vrijdenkers;Huiseigenarenpartij;Kiesvereniging Aller Belang;Vrije Middenstandspartij;Partij voor Pensioenbelangen;Lijst Bleeker;Kleine Middenstandspartij;Lijst Van der Werf;Vaderlandsche partij;Lijst Verweij;Lijst De Ruyter Gz.;Lijst Brinkman;Revolutionaire partij;Lijsten Braam;Lijst Busch
Ridderkerk;G0597;10646;Zuid-Holland;P28;5270;4783;116;0;4667;10;691;1838;715;431;49;16;18;43;71;2;2;330;21;353;;16;5;2;5;3;5;2;;18;3;2;;1;2;2;;4;;;6;;;;;;;;;;;1;;;;
Riethoven;G0837;10455;Noord-Brabant;P30;279;273;;;273;270;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rietveld;G1160;10828;Zuid-Holland;P28;332;298;;;298;51;5;99;117;;1;2;;2;4;1;;4;1;1;;;;1;1;;;2;;6;;;;;;;;;;;;;;;;;;;;;;;;;;
Rijckholt;G1165;10824;Limburg;P31;138;131;;;131;130;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rijnsburg;G0602;11118;Zuid-Holland;P28;1656;1636;;;1636;64;36;714;677;1;7;;;13;81;;8;4;11;1;;;1;;2;;;2;;11;3;;;;;;;;;;;;;;;;;;;;;;;;;
Rijsbergen;G0841;10866;Noord-Brabant;P30;891;867;11;2;854;805;8;2;10;1;7;1;;4;1;;1;;;;1;3;3;;;;;;;1;;;4;;2;;;;;;;;;;;;;;;;;;;;;
Rijsenburg;G1166;10613;Utrecht;P26;560;508;4;;;220;17;93;78;55;10;2;7;2;;2;1;3;;2;;5;1;5;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
Rijssen;G0178;10358;Overijssel;P23;3385;3124;61;;3063;414;220;1294;214;2;34;94;34;18;6;6;1;655;7;11;;7;5;4;4;5;;1;;1;9;1;2;;2;2;8;;;;;;2;;;;;;;;;;;;;
Rijswijk;G0603;11133;Zuid-Holland;P28;4851;4207;;;4207;1246;431;581;496;545;63;33;17;8;34;534;24;18;14;12;;33;33;14;10;3;15;;;8;18;4;;5;2;2;;1;;;2;;;;;;;;;;;1;;;;
Rijswijk (NB);G0842;11016;Noord-Brabant;P30;339;291;;;291;3;29;104;135;;1;1;2;2;3;;;1;;;;;;;;1;;;;2;;;;;;7;;;;;;;;;;;;;;;;;;;;
Rockanje;G0598;10464;Zuid-Holland;P28;1161;1014;;;1014;13;211;145;28;109;12;14;33;3;372;13;2;7;1;;;7;10;;5;2;2;1;;6;3;;;1;1;4;;2;;;2;;;;;;;;;;;5;;;;
Roden;G0125;10699;Drenthe;P22;1973;1792;;;1792;19;433;266;206;5;375;57;3;13;284;2;;1;6;1;;8;4;2;;13;3;49;;23;7;;;;;;8;;;;2;;2;;;;;;;;;;;;;
Roermond;G0957;11313;Limburg;P31;7475;6627;;;6627;4767;909;68;68;102;152;165;23;11;;15;;;18;1;2;13;13;139;6;11;11;;;4;7;;14;;1;;8;;95;;4;;;;;;;;;;;;;;;
Roggel;G0958;10505;Limburg;P31;832;793;;;793;768;1;1;1;;;;;;;;;;;1;;;1;;1;1;;;;;1;;;;1;;;;16;;;;;;;;;;;;;;;;;
Rolde;G0126;10470;Drenthe;P22;1231;1119;;;1119;12;266;20;16;6;92;93;1;4;551;4;;;7;;;4;1;;;5;2;1;;27;;;;;;;1;;;;6;;;;;;;;;;;;;;;
Roosteren;G0959;10954;Limburg;P31;467;424;8;10;406;308;8;7;5;;;1;3;;;;;;;1;1;;;53;1;1;;;;;3;;;;;;3;;11;;;;;;;;;;;;;;;;;
Rosmalen;G0839;10970;Noord-Brabant;P30;1699;1564;;;1564;1470;26;3;2;;4;6;1;;1;1;;2;1;;4;2;1;25;2;4;;2;;;2;;2;;;1;2;;;;;;;;;;;;;;;;;;;
Rossum;G0276;10860;Gelderland;P25;695;625;6;5;614;205;43;71;28;128;14;3;4;;1;;111;;;;;;;;1;;;1;;1;;;1;;;;;;;;1;;;;;;;;;;1;;;;;
Rotterdam;G0599;10345;Zuid-Holland;P28;251357;207313;;;207313;35151;69705;33518;17234;17826;5540;1926;6325;373;138;2012;4066;1622;688;642;69;1274;744;586;212;1689;369;107;2631;99;463;702;234;;174;266;308;505;;;;;;;;115;;;;;;;;;;
Rozenburg;G0600;11314;Zuid-Holland;P28;1162;1085;;;1085;;31;406;442;48;9;2;2;12;47;1;8;30;1;;;12;2;1;1;;1;15;;8;;1;;;;3;;1;;;;;;;;;;;;;;1;;;;
Rucphen;G0840;11152;Noord-Brabant;P30;2525;2326;;;2326;2255;31;4;2;;6;;4;1;2;;;;4;1;11;;1;;;;;;;;;;3;;1;;;;;;;;;;;;;;;;;;;;;
Ruinen;G0127;10629;Drenthe;P22;1907;1638;;;1638;13;299;285;53;17;34;200;8;12;591;6;;5;3;12;;9;13;1;1;11;12;3;;43;1;;;;;;3;;;;2;;1;;;;;;;;;;;;;
Ruinerwold;G0128;10944;Drenthe;P22;1344;1257;16;1;1240;5;99;271;84;10;94;354;3;12;254;8;;1;4;2;;2;7;;2;7;;1;;12;5;;;;;;1;;;;;;2;;;;;;;;;;;;;
Ruurlo;G0278;10879;Gelderland;P25;1814;1713;72;;1641;335;227;105;25;665;77;39;23;5;7;12;2;2;4;11;;12;7;4;8;7;6;10;2;5;3;;19;3;2;1;11;;;;;;;;;2;;;;;;;;;;
Ruwiel;G1164;10526;Utrecht;P26;262;0;;;;51;;103;;;;;;;;;29;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sambeek;G1167;10339;Noord-Brabant;P30;1000;941;;;941;918;2;2;5;;3;3;1;;;;;1;;;;3;;;;;;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;;
Sassenheim;G0604;10612;Zuid-Holland;P28;1650;1575;;;1575;739;19;380;322;12;;;1;2;;;;3;2;2;;12;;1;51;;;;;18;;;1;;;;;10;;;;;;;;;;;;;;;;;;
Schaesberg;G0960;11335;Limburg;P31;2060;1956;58;30;1868;1312;367;19;33;4;15;2;44;7;;3;;;20;2;;3;3;4;3;1;1;;;3;5;;10;;1;;2;;4;;;;;;;;;;;;;;;;;
Schagen;G0441;10511;Noord-Holland;P27;2032;1872;36;;1836;414;404;19;25;92;726;29;6;;10;7;3;;18;4;;13;2;1;;2;1;16;3;9;9;1;3;1;1;8;3;1;;;1;;1;;;;;;;;;;;;3;
Schaijk;G0843;10276;Noord-Brabant;P30;815;767;;;767;761;;2;;;;;;;;;;1;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Schalkwijk;G1169;10378;Utrecht;P26;651;0;;;;517;;6;;;;;3;;;;1;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scheemda;G0039;10711;Groningen;P20;3146;2765;;;2765;8;807;566;584;7;367;187;70;29;40;7;1;1;4;2;;5;16;;8;12;2;18;;11;2;1;3;;1;;6;;;;;;;;;;;;;;;;;;;
Schelluinen;G0605;11399;Zuid-Holland;P28;213;149;;;149;;20;32;8;29;8;1;;;17;1;;26;2;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;
Scherpenzeel;G0279;11146;Gelderland;P25;752;0;;;;;3;180;;;70;;9;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Schiedam;G0606;11260;Zuid-Holland;P28;18707;17148;511;;16637;5308;4465;2145;2170;937;375;82;163;61;12;63;30;137;14;5;;51;48;81;315;11;23;7;;10;26;16;;12;31;18;;7;;;9;;;;;;;;;;;5;;;;
Schiermonnikoog;G0088;10355;Fryslân;P21;414;394;9;;385;22;1;114;;4;43;41;2;16;1;9;;;;4;;1;2;2;;1;;118;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;
Schijndel;G0844;11178;Noord-Brabant;P30;3264;3017;;;3017;2805;5;24;4;;;3;3;;1;1;;1;;;1;1;2;161;1;1;;1;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;
Schimmert;G0961;11076;Limburg;P31;736;678;;;678;669;4;;1;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Schin op Geul;G1171;10780;Limburg;P31;555;526;5;7;514;479;16;5;2;;;;1;;;;;;;1;;;;3;;;;;;;2;;1;;;;;;4;;;;;;;;;;;;;;;;;
Schinnen;G0962;10132;Limburg;P31;1324;1244;;;1244;1178;36;1;1;1;4;4;8;1;;1;;;;2;;;;4;1;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;
Schinveld;G0963;10492;Limburg;P31;702;661;;;661;624;21;3;1;;;;2;;;;;;1;1;;;;;;;;;;;2;;1;;;;;;5;;;;;;;;;;;;;;;;;
Schipluiden;G0607;10130;Zuid-Holland;P28;1193;519;;;519;271;5;132;100;1;;1;;2;;;4;;;;;1;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
