RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;CHU 2;Vrijheidsbond 1;Vrijzinnig-Democratische Bond (VDB);Vrijheidsbond 2;Communistische Partij van Nederland;CHU 1;Plattelandersbond (links);Vrijheidsbond 3;HGSP;Staatkundig Gereformeerde Partij (SGP);Christen-Democratische Partij;Christelijk-Sociale Partij;Lijsten Arts;Liberale Groep;Onafhankelijke Partij;Nieuwe Katholieke Partij;Socialistische Partij (SOPA);Nederlandse Bond van Belastingbetalers;Volkswelvaartspartij;Plattelandspartij;Rapaille-partij;Plattelandersbond (rechts);Democratische Partij;Neutraal Blok Middenstanders;Bezuinigingsbond;Lijsten Van der Zwaag;Algemene Nederlandse Vrouwenorganisatie;Kunstenaarspartij;Patricidrsbond;Christelijke Volkspartij;Lijst Groenendaal;Grondpartij;Plattelandersbond (rk);Vrijdenkers;Huiseigenarenpartij;Kiesvereniging Aller Belang;Vrije Middenstandspartij;Partij voor Pensioenbelangen;Lijst Bleeker;Kleine Middenstandspartij;Lijst Van der Werf;Vaderlandsche partij;Lijst Verweij;Lijst De Ruyter Gz.;Lijst Brinkman;Revolutionaire partij;Lijsten Braam;Lijst Busch
Waspik;G0869;10402;Noord-Brabant;P30;1606;1292;;;1292;980;2;23;210;3;7;3;1;5;;;;8;1;1;9;;;19;4;;;2;;2;4;;;;;6;1;;;;;;1;;;;;;;;;;;;;
Wassenaar;G0629;10164;Zuid-Holland;P28;3380;3129;;;3129;1529;164;335;415;5;4;62;1;21;16;7;45;8;3;22;;85;36;12;50;;23;11;;242;11;5;1;;;;;16;;;;;;;;;;;;;;;;;;
Wateringen;G0630;11329;Zuid-Holland;P28;1354;1433;;;1433;1095;19;46;206;1;2;21;3;5;9;;3;;1;2;;2;5;4;3;;;2;;3;;;;1;;;;;;;;;;;;;;;;;;;;;;
Wedde;G1220;10247;Groningen;P20;4933;4194;;;4194;120;1525;727;400;20;689;195;22;11;212;6;3;6;11;10;;22;94;3;65;4;4;15;;12;;;4;;3;;11;;;;;;;;;;;;;;;;;;;
Weerselo;G0188;10893;Overijssel;P23;;2501;13;;2488;2315;43;6;15;3;10;23;5;1;24;3;4;1;1;5;;;2;;;2;;;;3;1;4;;1;4;1;1;;;;10;;;;;;;;;;;;;;;
Weert;G0988;11081;Limburg;P31;5311;4966;68;;4898;4714;46;10;11;3;11;3;11;7;;;;;1;2;8;;;24;1;6;;;;1;1;;1;;;;2;;30;;5;;;;;;;;;;;;;;;
Wehl;G0292;11116;Gelderland;P25;;1121;;;1121;996;6;4;60;8;6;;2;1;1;4;1;;1;20;;1;1;3;;1;;4;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
Werkendam;G0870;10078;Noord-Brabant;P30;1565;1156;;;1156;12;112;374;247;6;52;128;5;5;2;8;1;192;;2;1;2;;;1;;;;;;1;;3;;;1;;;;;;;1;;;;;;;;;;;;;
Werkhoven;G1223;11299;Utrecht;P26;425;0;;;;267;9;47;;;;;;;;;;30;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wervershoof;G0459;11270;Noord-Holland;P27;1290;1212;13;;1199;1093;9;4;4;15;43;5;8;3;;;;;;1;;2;;;1;1;;4;;1;;;;;;4;;1;;;;;;;;;;;;;;;;;;
Wessem;G0989;10127;Limburg;P31;499;480;;;480;475;;;;;;;1;1;;;;;;1;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;
Westbroek;G1224;10145;Utrecht;P26;521;0;;;;66;8;138;;;6;;1;;;;;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Westdongeradeel;G0097;10129;Fryslân;P21;4172;3980;54;;3926;15;674;1360;9;11;46;560;10;1080;49;13;2;3;8;35;;1;2;3;1;5;3;7;5;10;1;1;;6;;;;;;5;1;;;;;;;;;;;;;;;
Westerbork;G0134;11095;Drenthe;P22;1601;1470;29;;1441;15;323;368;38;11;30;91;7;2;457;13;;1;7;2;;2;3;4;2;3;1;4;;49;;;;;;;2;;;;2;;4;;;;;;;;;;;;;
Westerhoven;G0871;11041;Noord-Brabant;P30;319;306;;;306;302;1;;;;;;;;;;;;;;1;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Westervoort;G0293;11085;Gelderland;P25;852;758;;;758;527;26;78;95;15;4;;1;;;2;2;;;2;;4;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;
Westmaas;G0631;10695;Zuid-Holland;P28;438;394;;;394;1;22;139;126;34;;6;;6;26;9;;12;2;;;2;;;;;1;;;5;;;;;;1;;2;;;;;;;;;;;;;;;;;;
Weststellingwerf;G0098;11322;Fryslân;P21;8778;7957;298;;7659;743;2351;669;31;95;924;218;35;1170;110;22;15;6;21;169;;23;20;15;526;31;9;48;28;24;21;12;;298;;;;;;17;8;;;;;;;;;;;;;;;
Westzaan;G0461;11381;Noord-Holland;P27;1420;1216;10;29;1177;39;288;127;21;53;100;14;63;4;38;4;;20;16;6;;6;5;2;21;13;;23;23;1;11;5;4;4;256;3;;1;;;1;;1;;;;;;;;;;;;1;3
Wierden;G0189;10676;Overijssel;P23;4199;4010;51;;3959;1000;312;905;1077;15;47;45;34;25;4;5;1;80;22;71;;5;3;1;7;12;;1;;2;5;2;;;7;255;11;;;;1;;4;;;;;;;;;;;;;
Wieringen;G0462;11277;Noord-Holland;P27;;1566;;;1566;120;327;82;7;7;822;14;2;4;14;5;;2;48;;;6;5;3;2;5;1;7;3;43;16;;9;1;1;2;;;;;1;;4;;;;;;;;;;;;3;
Wieringerwaard;G0464;11164;Noord-Holland;P27;667;595;6;;589;10;138;3;9;70;159;8;1;;;3;;;1;;;2;1;;2;1;;163;;6;8;;1;1;;;;;;;1;;;;;;;;;;;;;;;1
Wijchen;G0296;10723;Gelderland;P25;2305;2142;;;2142;2002;29;7;16;24;5;3;;2;;5;10;1;3;10;;3;1;14;2;1;;;;;;;3;;;;1;;;;;;;;;;;;;;;;;;;
Wijdewormer;G0470;10434;Noord-Holland;P27;392;231;;;231;118;20;11;;62;;;;6;;;;;;;;;;1;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wijhe;G0190;10888;Overijssel;P23;1117;2232;43;;2189;599;293;209;359;9;281;226;5;11;47;9;1;1;3;23;;31;3;4;14;9;;1;;7;2;3;3;1;3;17;7;;;;2;;6;;;;;;;;;;;;;
Wijk bij Duurstede;G0352;10760;Utrecht;P26;1561;0;;;;777;97;30;343;85;10;;1;;;;;7;5;;;14;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wijk en Aalburg;G0876;11084;Noord-Brabant;P30;1151;901;;;901;;15;451;8;2;9;133;21;1;11;3;45;160;4;;2;4;;1;1;7;;6;;7;1;;2;1;;;4;;;;;;2;;;;;;;;;;;;;
Wijlre;G0991;10131;Limburg;P31;937;875;;;875;818;22;;2;;1;;8;1;;;;;1;1;;;3;10;1;1;;;;;2;;1;;;;;;3;;;;;;;;;;;;;;;;;
Wijnandsrade;G0992;10992;Limburg;P31;266;256;;;256;226;20;;1;;1;;;;;;;;;;;;1;;1;;;;;;1;;;;;;;;5;;;;;;;;;;;;;;;;;
Wijngaarden;G0634;10263;Zuid-Holland;P28;191;180;0;0;180;;;150;4;;;;;;;;;25;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Willeskop;G0349;10758;Utrecht;P26;;0;;;;199;;45;;;1;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Willige Langerak;G1226;10368;Utrecht;P26;480;0;;;;141;19;148;;;7;;;;;;1;7;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wilnis;G0350;10365;Utrecht;P26;1142;0;;;;407;6;503;;;5;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wilsum;G1227;10194;Overijssel;P23;330;304;10;;294;;;131;74;1;17;1;1;9;40;;;2;;;;3;;1;;3;;;;5;;;;;;3;1;;;;1;;1;;;;;;;;;;;;;
Winkel;G0465;10923;Noord-Holland;P27;;899;;;899;7;260;13;4;73;410;8;;2;17;1;2;3;4;;;3;2;;8;4;1;14;17;21;10;;7;;1;1;2;;;;1;;2;;;;;;;;;;;;;1
Winsum;G0053;11135;Groningen;P20;1611;0;;;;4;374;433;;;188;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Winterswijk;G0294;11119;Gelderland;P25;;7087;;;7087;741;1698;533;219;1908;1459;37;23;31;47;21;1;1;12;244;4;9;11;5;2;14;1;23;;2;2;;18;4;;5;8;;;;2;;;;;;;;;;2;;;;;
Wisch;G0295;10318;Gelderland;P25;4394;4058;;;4058;1093;257;701;185;838;150;46;17;9;2;9;50;1;1;651;1;1;2;14;;5;1;7;;4;;;5;;;3;2;;;;1;;1;;;;;;;;1;;;;;
Wittem;G0990;11371;Limburg;P31;1962;1839;;;1839;1672;49;3;11;1;5;2;16;7;;;;;;1;;;1;13;17;3;1;;;2;6;;1;;;;1;;26;;1;;;;;;;;;;;;;;;
Woensdrecht;G0873;10602;Noord-Brabant;P30;1725;1497;;;1497;1284;99;3;10;4;3;7;4;4;14;6;2;;2;1;31;3;4;5;;;;;;1;2;;6;;;;;;;;2;;;;;;;;;;;;;;;
Woerden;G0632;10974;Zuid-Holland;P28;3290;3033;;;3033;953;238;320;1055;15;7;9;2;8;5;17;4;57;6;3;;7;9;14;40;;1;2;;232;11;3;3;;;;;12;;;;;;;;;;;;;;;;;;
Wognum;G0466;10818;Noord-Holland;P27;942;912;4;;908;619;20;2;1;107;135;2;;;2;2;;;1;;;;;2;;;;6;;2;2;;1;;;4;;;;;;;;;;;;;;;;;;;;
Wonseradeel;G0099;10454;Fryslân;P21;6798;6377;124;;6253;516;896;1670;21;23;55;847;26;1710;32;22;5;3;12;48;;7;13;6;9;11;8;27;182;19;3;9;;50;;;;;;20;3;;;;;;;;;;;;;;;
Workum;G0100;10768;Fryslân;P21;2113;2039;27;;2012;469;120;333;10;1;149;43;1;800;1;2;1;;5;27;;3;3;1;;35;;1;2;1;1;1;;2;;;;;;;;;;;;;;;;;;;;;;
Wormer;G0467;10648;Noord-Holland;P27;1773;0;;;;422;416;137;;;208;;76;;16;;8;;22;;;;;;;;;;;;12;2;1;;;;;;;;;;;;;;;;;;;;;;;
Wormerveer;G0468;10361;Noord-Holland;P27;4354;0;;;;448;1543;297;;;382;;295;;18;;7;2;30;;;;;;;;;;;;45;117;14;;;;;;;;;;;;;;;;;;;;;;;
Woubrugge;G0633;10461;Zuid-Holland;P28;1058;957;;;957;392;32;298;140;5;5;1;2;2;;1;;1;1;1;;1;;1;1;;2;1;;67;1;;1;;;;;1;;;;;;;;;;;;;;;;;;
Woudenberg;G0351;11398;Utrecht;P26;;0;;;;12;236;402;;;19;;;;;;2;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Woudrichem;G0874;10282;Noord-Brabant;P30;1009;814;;;814;11;167;229;136;6;99;38;9;57;12;1;;10;1;;;4;;1;2;1;;;;5;1;;16;;;7;1;;;;;;;;;;;;;;;;;;;
Wymbritseradeel;G0101;11427;Fryslân;P21;5914;5629;41;;5588;737;273;1539;14;13;15;283;8;2494;22;11;4;;22;64;;2;2;4;3;7;;14;4;31;6;1;;7;;;;;;7;1;;;;;;;;;;;;;;;
Zaandam;G0471;11044;Noord-Holland;P27;15333;0;;;;1770;4414;1951;;;838;;545;;56;;21;22;284;;;;;;;;;;;;35;120;38;;;;;;;;;;;;;;;;;;;;;;;
Zaandijk;G0472;11404;Noord-Holland;P27;1700;0;;;;56;625;175;;;80;;43;;2;;2;2;14;;;;;;;;;;;;6;16;3;;;;;;;;;;;;;;;;;;;;;;;
Zalk en Veecaten;G1232;10633;Overijssel;P23;467;434;;;434;37;15;193;69;3;38;22;4;1;5;1;;16;3;4;;5;1;4;;2;;;;3;;;;;;3;2;;;;1;;2;;;;;;;;;;;;;
Zaltbommel;G0297;10557;Gelderland;P25;2095;1893;74;;1819;359;512;148;203;316;126;9;4;9;21;10;1;8;14;;1;2;8;4;2;20;1;17;;;9;;2;1;;2;3;;;;;;2;;;;;;;;5;;;;;
Zeeland;G0877;10759;Noord-Brabant;P30;1016;965;;;965;962;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zegveld;G0354;10949;Utrecht;P26;554;517;3;6;;89;3;224;176;;3;;;1;3;;;3;1;;;;;;;;1;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Zegwaart;G1234;10185;Zuid-Holland;P28;947;858;;;858;253;33;152;104;1;3;3;;3;4;;94;66;1;6;;1;3;1;4;;2;2;;120;2;;;;;;;;;;;;;;;;;;;;;;;;;
Zeist;G0355;10324;Utrecht;P26;8973;0;;;;988;1535;2163;1059;877;387;80;34;111;11;34;9;159;35;34;;74;83;18;3;;28;16;11;7;18;5;3;;23;4;36;;;;;;;;;;;;;;;;;;;
Zelhem;G0298;11159;Gelderland;P25;2375;2129;;;2129;278;90;820;133;394;144;16;8;5;9;2;5;18;;160;1;2;2;4;1;7;4;5;;3;1;;;;;;12;;;;3;;2;;;;;;;;;;;;;
Zevenaar;G0299;10938;Gelderland;P25;2610;2352;;;2352;1999;104;29;15;61;40;7;6;;2;2;2;;7;51;;;1;8;1;2;2;1;;1;5;;4;;;;1;;;;1;;;;;;;;;;;;;;;
Zevenhoven;G0635;11317;Zuid-Holland;P28;525;490;;;490;259;5;73;86;5;1;1;1;1;3;;;1;1;;;2;;;2;;;;;49;;;;;;;;;;;;;;;;;;;;;;;;;;
Zijpe;G0476;10004;Noord-Holland;P27;2495;2288;36;;2252;572;396;25;12;27;1024;25;6;2;35;7;;;19;1;;2;3;;3;5;1;25;2;22;12;1;3;;;8;2;1;;;10;;1;;;;;;;;;;;;;
Zoelen;G0300;10897;Gelderland;P25;1230;1118;;;1118;4;111;8;87;780;11;34;2;3;17;3;1;6;15;1;;3;3;1;;3;3;1;;3;3;;3;1;;4;2;;;;1;;;;;;;;;;4;;;;;
Zoetermeer;G0637;10766;Zuid-Holland;P28;716;661;6;8;647;270;7;87;52;46;3;2;1;;11;;114;43;1;;;2;;1;;;;1;;3;;1;;;;;;2;;;;;;;;;;;;;;;;;;
Zoeterwoude;G0638;11074;Zuid-Holland;P28;1583;1469;;;1469;1095;18;88;193;2;9;1;;2;4;1;5;10;;;;2;1;1;3;;1;3;;9;4;;2;;;;;15;;;;;;;;;;;;;;;;;;
Zuid-Beijerland;G0639;10917;Zuid-Holland;P28;1145;1015;;;1015;2;43;318;297;80;3;14;2;19;87;17;5;67;3;;;2;1;1;;;1;2;;38;4;;;;1;2;;3;;;2;;;;;;;;;;;1;;;;
Zuidbroek;G1240;11282;Groningen;P20;1438;1113;;;1113;4;443;155;11;24;65;136;39;1;60;9;;4;1;;;;120;1;7;5;1;3;;4;5;;3;;2;;10;;;;;;;;;;;;;;;;;;;
Zuidhorn;G0056;10021;Groningen;P20;1705;1599;14;15;1570;17;405;485;57;7;84;146;8;4;134;2;1;1;5;8;;6;2;1;1;1;;150;;5;18;13;1;;;;3;;;;;;;;;;;;;;;;;;;
Zuidland;G0640;10316;Zuid-Holland;P28;918;860;5;3;852;;31;511;92;103;8;8;2;3;35;4;;27;1;1;;5;2;1;;;;4;;10;;;;;;;;1;;;1;;;;;;;;;;;2;;;;
Zuidlaren;G0136;10002;Drenthe;P22;1655;1572;17;;1555;8;432;267;23;11;306;300;3;5;116;6;;1;4;;;4;9;3;3;5;1;38;;7;;;;;;;3;;;;;;;;;;;;;;;;;;;
Zuid-Scharwoude;G1238;10159;Noord-Holland;P27;931;869;17;;852;298;139;26;9;87;147;11;1;;;7;;;1;;;1;;3;1;8;;15;2;1;87;1;2;;;4;;;;;1;;;;;;;;;;;;;;;
Zuidwolde;G0137;10262;Drenthe;P22;2180;1954;30;;1924;24;199;421;362;5;157;37;4;16;609;2;;4;4;3;;4;2;1;2;11;3;4;;41;1;;;;;;3;;;;2;;3;;;;;;;;;;;;;
Zuilen;G1242;10059;Utrecht;P26;1771;0;;;;294;549;355;;;30;;43;;;;12;8;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zuilichem;G1243;11036;Gelderland;P25;484;394;10;14;370;1;50;188;4;8;1;;3;4;11;;;93;1;1;1;;;;;;1;;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;
Zundert;G0879;11192;Noord-Brabant;P30;2540;2252;;;2252;1977;17;15;40;16;10;;11;13;6;10;7;;1;3;27;15;2;25;3;;;;;2;29;;14;;4;;;;;;5;;;;;;;;;;;;;;;
Zutphen;G0301;10254;Gelderland;P25;9757;8951;325;;8626;1019;2885;679;1014;1698;432;100;191;18;15;50;6;5;44;141;;22;41;19;22;18;13;3;7;8;32;6;88;3;;4;30;;;;;;;;;13;;;;;;;;;;
Zwammerdam;G1244;10675;Zuid-Holland;P28;991;917;7;3;907;182;6;218;249;59;6;5;2;8;32;4;2;26;4;;;;11;8;2;;1;11;;4;2;;59;;;;;1;;;;;;;;;;;;;;;;;;
Zwartewaal;G0641;10703;Zuid-Holland;P28;324;310;;;310;;58;94;11;71;12;3;8;2;22;8;;;1;;;12;1;;1;1;;1;;2;;;;1;1;;;;;;;;;;;;;;;;;;;;;
Zwartsluis;G0192;10303;Overijssel;P23;1847;1551;31;;1520;4;95;924;284;18;23;77;9;37;4;6;;9;7;;;4;;2;;6;;;;;;;1;;;5;4;;;;;;1;;;;;;;;;;;;;
Zweeloo;G0138;10872;Drenthe;P22;780;723;;;723;1;56;182;19;1;17;324;2;1;101;7;;;1;2;;2;;1;;2;1;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Zwijndrecht;G0642;10468;Zuid-Holland;P28;4363;3935;;;3935;138;689;1456;1081;160;54;13;16;41;75;19;3;109;6;6;;14;6;;3;7;6;2;;9;3;3;;;2;4;;4;;;3;;;;;;;;;;;3;;;;
Zwolle;G0193;10093;Overijssel;P23;18525;16652;;;16652;3447;5048;2312;2207;312;1074;920;140;78;11;225;11;34;47;174;;96;36;64;17;69;;7;;2;43;134;6;14;52;33;16;;;;5;;18;;;;;;;;;;;;;
Zwollerkerspel;G1245;10654;Overijssel;P23;3483;3217;0;;3217;502;363;838;982;21;68;205;13;43;16;16;9;18;5;18;;19;2;8;4;10;;3;;4;4;1;3;1;1;23;5;;;;6;;6;;;;;;;;;;;;;
