Year,OuderRegioNaam,Unnamed: 0,Kiesgerechtigden,Opkomst,OngeldigeStemmen,BlancoStemmen,GeldigeStemmen,VVD,PVV (Partij voor de Vrijheid),CDA,Democraten 66 (D66),GROENLINKS,SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),ChristenUnie,Partij voor de Dieren,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,Forum voor Democratie,Volt,JA21,BBB,BIJ1,Piratenpartij,Rooms-Katholieke Staatspartij (RKSP),Sociaal-Democratische Arbeiderspartij (SDAP),Anti-Revolutionaire Partij,Liberale Unie,CHU 1,Vrijzinnig-Democratische Bond (VDB),CHU 2,Vrijheidsbond 1,Vrijheidsbond 2,Communistische Partij van Nederland,HGSP,Christelijk-Historische Unie,Liberale Staatspartij (LSP),Rooms-Katholieke Volkspartij (RKVP),Plattelandersbond,Christelijk-Democratische Unie,Nationaal-Socialistische Beweging (NSB),Katholieke Volkspartij (KVP),Partij van de Vrijheid,Overig,Lijst Welter,Katholieke Nationale Partij,Gereformeerd Politiek Verbond (GPV),Pacifistisch-Socialistische Partij (PSP),Boeren Partij,Democratisch Socialisten '70,Politieke Partij Radikalen (PPR),Nederlandse Middenstands Partij,Rooms Katholieke Partij Nederland (RKPN),Reformatorische Politieke Federatie (RPF),Evangelische Volkspartij,CP,Centrumdemocraten,GL,De Groenen,Algemeen Ouderen Verbond (AOV),Ouderen Unie 55+,Lijst Pim Fortuyn,LN,Verenigde Senioren Partij,ETnNL,TROTS op Nederland Lijst Rita Verdonk,Rechts,Midden ,Links,One issue,Totaal,Man,Vrouw,-20,20-45,45-65,65-80,85,Ongehuwd,Gehuwd,Weduwe,gescheiden,%tov totaal
,Zuid-Holland,90523,1516592,1425609,30727,0,1394882,157888,0,0,0,0,0,527983,0,0,0,54071,0,0,0,0,0,0,0,0,0,171293,0,0,0,0,0,0,67441,0,130968,0,0,0,0,0,261397,0,0,0,0,6288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211959,398653,766717,0,2680801,1335426,1345375,1006666,746517,701569,193771,32278,1369177,1175804,115397,20422,25%
1959,Drenthe,16926,170529,163660,5159,0,158501,29108,0,0,0,0,0,67418,0,0,0,389,0,0,0,0,0,0,0,0,0,24216,0,0,0,0,0,0,3010,0,18284,0,0,0,0,0,10880,0,0,0,0,1836,1003,1609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29497,31000,95647,1609,299314,149114,150200,113336,81638,78038,22379,3924,150668,133417,12928,2301,3%
,Fryslân,21515,272590,260527,3933,0,256594,26656,0,0,0,0,0,99391,0,0,0,1689,0,0,0,0,0,0,0,0,0,56289,0,0,0,0,0,0,5162,0,41533,0,0,0,0,0,17697,0,0,0,0,2795,4421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28345,62025,165263,0,478453,238358,240095,181167,130497,124743,35773,6272,240842,213267,20666,3678,4%
,Gelderland,45465,697270,668694,12975,0,655719,72159,0,0,0,0,0,190802,0,0,0,23926,0,0,0,0,0,0,0,0,0,59537,0,0,0,0,0,0,4127,0,79755,0,0,0,0,0,209136,0,0,0,0,2289,4530,8092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96085,291180,258996,8092,1223855,609706,614149,463416,333805,319087,91504,16043,616061,545525,52861,9408,11%
,Groningen,29449,283531,268938,7362,0,261576,41804,0,0,0,0,0,106358,0,0,0,584,0,0,0,0,0,0,0,0,0,43863,0,0,0,0,0,0,12626,0,24356,0,0,0,0,0,15280,0,0,0,0,9099,4401,1315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42388,48735,167248,1315,497656,247925,249731,188439,135735,129750,37208,6523,250509,221827,21495,3825,4%
,Limburg,55153,446756,434371,14302,0,420069,10347,0,0,0,0,0,63114,0,0,0,268,0,0,0,0,0,0,0,0,0,4165,0,0,0,0,0,0,3124,0,2750,0,0,0,0,0,334072,0,0,0,0,425,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10615,337247,71282,0,784150,390652,393499,296921,213876,204446,58629,10279,394723,349530,33869,6028,7%
,Noord-Brabant,68425,757099,736630,17959,0,718671,30241,0,0,0,0,0,108893,0,0,0,4245,0,0,0,0,0,0,0,0,0,18828,0,0,0,0,0,0,3231,0,16189,0,0,0,0,0,532124,0,0,0,0,938,2433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34486,549251,133385,0,1328867,662021,666846,503179,362447,346466,99356,17419,668922,592334,57397,10215,12%
,Noord-Holland,59367,1226675,1167241,30615,0,1136626,190387,0,0,0,0,0,376567,0,0,0,6462,0,0,0,0,0,0,0,0,0,84688,0,0,0,0,0,0,69489,0,56191,0,0,0,0,0,266501,0,0,0,0,3259,52945,10216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196849,325951,583689,10216,2153071,1072627,1080444,815266,587248,561354,160979,28223,1083807,959718,92996,16550,19%
,Overijssel,25392,428400,413053,7182,0,405871,38935,0,0,0,0,0,121916,0,0,0,11147,0,0,0,0,0,0,0,0,0,40894,0,0,0,0,0,0,9927,0,52543,0,0,0,0,0,114170,0,0,0,0,7627,3743,3264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50082,174340,176480,3264,751932,374601,377331,284721,205089,196046,56220,9857,378505,335169,32478,5780,7%
,Total,998,6425458,6143409,143879,0,5999530,732758,0,0,0,0,0,1821285,0,0,0,129678,0,0,0,0,0,0,0,0,0,563091,0,0,0,0,0,0,144542,0,486429,0,0,0,0,0,1895914,0,0,0,0,39972,110499,37774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862436,2422315,2639417,37774,11278024,5618540,5659484,4270455,3076070,2940435,843228,147836,5677101,5027106,487125,86692,100%
,Utrecht,30263,379459,360990,7209,0,353781,48872,0,0,0,0,0,105147,0,0,0,11793,0,0,0,0,0,0,0,0,0,43464,0,0,0,0,0,0,3034,0,37471,0,0,0,0,0,90089,0,0,0,0,3496,5469,3135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60665,131056,157114,3135,666030,331806,334224,252194,181659,173649,49797,8731,335264,296879,28767,5120,6%
,Zeeland,54808,167882,159015,3253,0,155762,17225,0,0,0,0,0,45661,0,0,0,13779,0,0,0,0,0,0,0,0,0,19491,0,0,0,0,0,0,576,0,23274,0,0,0,0,0,32807,0,0,0,0,1299,647,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31004,57380,66375,1003,294668,146799,147869,111577,80370,76827,22032,3863,148329,131346,12727,2265,3%
,Zuid-Holland,89180,1582957,1497993,33856,0,1464137,225838,0,0,0,0,0,533002,0,0,0,55135,0,0,0,0,0,0,0,0,0,165216,0,0,0,0,0,0,30191,0,132196,0,0,0,0,0,270177,0,0,0,0,6639,29929,9116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280973,409012,758338,9116,2778421,1384167,1394254,1052057,757812,724397,207735,36420,1398594,1238463,120007,21357,25%
1963,Drenthe,16623,180280,173339,5779,0,167560,26013,0,0,0,0,0,67177,0,0,0,771,0,0,0,0,0,0,0,0,0,24577,0,0,0,0,0,0,3418,0,19520,0,0,0,0,0,12781,0,0,0,0,2197,2986,7005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26784,34498,98158,7005,317730,158299,159431,121111,83957,83069,24976,4618,158132,143230,14085,2283,3%
,Fryslân,21136,278338,265280,5305,0,259975,20944,0,0,0,0,0,91093,0,0,0,2170,0,0,0,0,0,0,0,0,0,56716,0,0,0,0,0,0,5562,0,42370,0,0,0,0,0,18858,0,0,0,0,3094,10153,7299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23114,64322,163524,7299,490550,244402,246148,186986,129623,128252,38560,7129,244143,221135,21747,3525,4%
,Gelderland,44709,744161,713147,15324,0,697823,64900,0,0,0,0,0,190876,0,0,0,25955,0,0,0,0,0,0,0,0,0,55310,0,0,0,0,0,0,5524,0,89227,0,0,0,0,0,222503,0,0,0,0,3150,9413,22105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90855,314880,261123,22105,1311528,653429,658099,499923,346557,342893,103095,19061,652739,591224,58142,9424,11%
,Groningen,28933,290473,274957,8356,0,266601,34877,0,0,0,0,0,101443,0,0,0,1176,0,0,0,0,0,0,0,0,0,43149,0,0,0,0,0,0,13452,0,27049,0,0,0,0,0,17268,0,0,0,0,9905,9709,5847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36053,54222,167753,5847,511937,255057,256880,195138,135274,133843,40242,7440,254788,230776,22695,3678,4%
,Limburg,53712,480812,463340,19365,0,443975,10168,0,0,0,0,0,57298,0,0,0,410,0,0,0,0,0,0,0,0,0,3789,0,0,0,0,0,0,5311,0,3736,0,0,0,0,0,343913,0,0,0,0,559,2320,10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10578,348208,68718,10035,847395,422189,425207,323006,223915,221547,66611,12316,421743,381998,37566,6089,7%
,Noord-Brabant,67214,823658,795973,23612,0,772361,31861,0,0,0,0,0,104380,0,0,0,4784,0,0,0,0,0,0,0,0,0,18229,0,0,0,0,0,0,3935,0,18511,0,0,0,0,0,555090,0,0,0,0,989,5765,16111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36645,574590,132309,16111,1451636,723233,728403,553328,383579,379523,114108,21097,722469,654383,64353,10430,12%
,Noord-Holland,57601,1268549,1195277,28320,0,1166957,160151,0,0,0,0,0,353238,0,0,0,7720,0,0,0,0,0,0,0,0,0,83321,0,0,0,0,0,0,84292,0,64145,0,0,0,0,0,282306,0,0,0,0,3605,74852,23352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167871,350056,595703,23352,2235723,1113881,1121842,852203,590766,584519,175743,32493,1112704,1007842,99113,16064,19%
,Overijssel,25516,462328,445197,7725,0,437472,34892,0,0,0,0,0,121498,0,0,0,12888,0,0,0,0,0,0,0,0,0,41387,0,0,0,0,0,0,10834,0,56965,0,0,0,0,0,122895,0,0,0,0,9164,8967,14126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47780,189024,182686,14126,814819,405959,408860,310589,215307,213030,64050,11842,405530,367312,36122,5855,7%
,Total,980,6746362,6419446,161441,0,6258005,643820,0,0,0,0,0,1753025,0,0,0,143549,0,0,0,0,0,0,0,0,0,545718,0,0,0,0,0,0,173322,0,536782,0,0,0,0,0,1995348,0,0,0,0,46324,189370,133210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787369,2578454,2661435,133210,11889962,5923811,5966151,4532162,3141795,3108573,934630,172802,5917551,5359878,527100,85433,100%
,Utrecht,28257,401629,382453,8039,0,374414,46200,0,0,0,0,0,102862,0,0,0,13317,0,0,0,0,0,0,0,0,0,41287,0,0,0,0,0,0,4402,0,43712,0,0,0,0,0,96450,0,0,0,0,4251,9789,6190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59517,144413,158340,6190,707841,352660,355181,269812,187039,185062,55641,10287,352288,319088,31380,5086,6%
,Zeeland,48510,169812,160322,4033,0,156289,14601,0,0,0,0,0,42973,0,0,0,14363,0,0,0,0,0,0,0,0,0,18373,0,0,0,0,0,0,869,0,24654,0,0,0,0,0,32436,0,0,0,0,1454,1607,3214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28964,58544,63822,3214,299281,149108,150173,114079,79082,78246,23525,4350,148950,134913,13268,2150,3%
,Zuid-Holland,86535,1645074,1548652,35571,0,1513081,199114,0,0,0,0,0,519734,0,0,0,59969,0,0,0,0,0,0,0,0,0,159342,0,0,0,0,0,0,35707,0,146643,0,0,0,0,0,290528,0,0,0,0,7914,53777,17911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259083,445085,768560,17911,2899321,1444498,1454823,1105150,766114,758013,227906,42137,1442972,1306985,128531,20833,24%
1967,Drenthe,16084,204560,195328,6671,0,188657,26475,0,0,3982,0,0,67055,0,0,0,672,0,0,0,0,0,0,0,0,0,28412,0,0,0,0,0,0,5395,0,21458,0,0,0,0,0,13224,0,0,0,0,2936,3193,12356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27147,41600,104055,12356,344160,171926,172234,127929,93278,89489,27970,5493,166944,158776,15790,2649,3%
,Fryslân,20476,304047,289640,6327,0,283313,22935,0,0,6806,0,0,89798,0,0,0,1888,0,0,0,0,0,0,0,0,0,64697,0,0,0,0,0,0,7920,0,43255,0,0,0,0,0,18475,0,0,0,0,3936,10062,9326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24823,72472,172477,9326,511540,255542,255999,190147,138644,133011,41574,8164,248137,235997,23469,3938,4%
,Gelderland,43146,837015,801993,18558,0,783435,75961,0,0,26534,0,0,179181,0,0,0,25308,0,0,0,0,0,0,0,0,0,74771,0,0,0,0,0,0,9316,0,92072,0,0,0,0,0,213160,0,0,0,0,4808,11642,55054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101269,336574,274910,55054,1408226,703484,704742,523458,381675,366169,114449,22475,683100,649678,64608,10840,11%
,Groningen,27114,317885,301651,8564,0,293087,35236,0,0,7942,0,0,97441,0,0,0,677,0,0,0,0,0,0,0,0,0,48799,0,0,0,0,0,0,18655,0,28288,0,0,0,0,0,16108,0,0,0,0,11029,10330,13383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35913,63367,175225,13383,534822,267172,267650,198801,144954,139065,43466,8536,259431,246737,24537,4117,4%
,Limburg,51291,543653,520834,27291,0,493543,24935,0,0,15229,0,0,58287,0,0,0,404,0,0,0,0,0,0,0,0,0,9232,0,0,0,0,0,0,10622,0,5063,0,0,0,0,0,314247,0,0,0,0,616,6499,29107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25339,335155,84640,29107,914662,456923,457740,339993,247903,237832,74336,14598,443683,421975,41964,7041,7%
,Noord-Brabant,65099,947559,912863,32503,0,880360,66085,0,0,42447,0,0,92381,0,0,0,4845,0,0,0,0,0,0,0,0,0,35848,0,0,0,0,0,0,11627,0,21614,0,0,0,0,0,498568,0,0,0,0,1946,12442,59143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70930,564575,152298,59143,1594209,796392,797817,592591,432083,414529,129564,25443,773317,735481,73140,12271,13%
,Noord-Holland,53981,1366604,1286269,30032,0,1256237,164585,0,0,87111,0,0,310322,0,0,0,6371,0,0,0,0,0,0,0,0,0,105369,0,0,0,0,0,0,109399,0,64899,0,0,0,0,0,248950,0,0,0,0,5119,63388,52998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170956,406079,588478,52998,2299226,1148586,1150641,854656,623166,597848,186862,36695,1115306,1060737,105486,17698,18%
,Overijssel,24711,513327,493517,9343,0,484174,39181,0,0,13216,0,0,111715,0,0,0,12993,0,0,0,0,0,0,0,0,0,51063,0,0,0,0,0,0,13885,0,61495,0,0,0,0,0,123544,0,0,0,0,10689,11065,27911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52174,208944,187728,27911,863641,431434,432206,321028,234075,224565,70190,13783,418934,398437,39623,6648,7%
,Total,942,7450680,7077798,198298,0,6879500,738229,0,0,307859,0,0,1620447,0,0,0,138119,0,0,0,0,0,0,0,0,0,681203,0,0,0,0,0,0,248330,0,560467,0,0,0,0,0,1822939,0,0,0,0,59218,197217,328186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876348,2750483,2747197,328186,12535307,6262052,6273255,4659556,3397478,3259448,1018765,200060,6080609,5783104,575104,96490,100%
,Utrecht,24013,446928,426344,10677,0,415667,54459,0,0,18640,0,0,94562,0,0,0,12651,0,0,0,0,0,0,0,0,0,50676,0,0,0,0,0,0,7374,0,45893,0,0,0,0,0,89169,0,0,0,0,5545,10425,16284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67110,159247,163037,16284,751929,375628,376300,279503,203797,195518,61110,12001,364744,346899,34498,5788,6%
,Zeeland,41432,183653,173362,5502,0,167860,17475,0,0,3627,0,0,40795,0,0,0,14413,0,0,0,0,0,0,0,0,0,21188,0,0,0,0,0,0,1396,0,25218,0,0,0,0,0,29501,0,0,0,0,1878,2322,6771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31888,60224,65701,6771,308985,154354,154630,114854,83745,80343,25112,4931,149882,142549,14176,2378,2%
,Zuid-Holland,74937,1781204,1671744,42783,0,1628961,210467,0,0,82176,0,0,477984,0,0,0,57848,0,0,0,0,0,0,0,0,0,190275,0,0,0,0,0,0,52702,0,150618,0,0,0,0,0,257215,0,0,0,0,10606,55765,45734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268315,500615,776726,45734,2996765,1497044,1499722,1113941,812221,779223,243552,47828,1453667,1382543,137488,23067,24%
1971,Drenthe,15009,225148,186233,1471,0,184762,24896,0,0,7915,0,0,65806,0,0,0,652,0,0,0,0,0,0,0,0,0,26453,0,0,0,0,0,0,7330,0,16279,0,0,0,0,0,10894,0,0,0,0,5103,1260,2799,7298,1500,3492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25548,45183,108147,2799,367072,183255,183816,130910,104375,94301,31099,6386,171065,174958,17659,3390,3%
,Fryslân,19106,320886,269193,1858,0,267335,20814,0,0,10844,0,0,84299,0,0,0,2751,0,0,0,0,0,0,0,0,0,57434,0,0,0,0,0,0,9317,0,33455,0,0,0,0,0,13798,0,0,0,0,7916,3700,2323,8279,3237,5644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23565,74894,163029,2323,523159,261180,261979,186576,148758,134400,44323,9102,243806,249354,25167,4832,4%
,Gelderland,40328,922446,742923,4332,0,738591,73995,0,0,40379,0,0,178918,0,0,0,29410,0,0,0,0,0,0,0,0,0,62411,0,0,0,0,0,0,8781,0,69945,0,0,0,0,0,163357,0,0,0,0,10590,8232,12318,35233,11485,13043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103405,308799,293575,12318,1503916,750810,753107,536347,427631,386359,127415,26164,700865,716813,72348,13890,11%
,Groningen,22977,334198,277524,2083,0,275441,29621,0,0,11270,0,0,87588,0,0,0,745,0,0,0,0,0,0,0,0,0,42289,0,0,0,0,0,0,30404,0,18530,0,0,0,0,0,11375,0,0,0,0,14398,4061,2298,11355,3595,4042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30366,63210,175697,2298,544862,272015,272847,194316,154929,139976,46162,9479,253920,259698,26211,5032,4%
,Limburg,46342,588824,432021,8158,0,423863,22095,0,0,30934,0,0,61925,0,0,0,276,0,0,0,0,0,0,0,0,0,6784,0,0,0,0,0,0,10134,0,2980,0,0,0,0,0,229571,0,0,0,0,686,4505,6174,18085,10030,4701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22371,278902,101433,6174,959993,479263,480730,342366,272969,246624,81333,16701,447383,457563,46182,8866,7%
,Noord-Brabant,59522,1053869,794922,7267,0,787655,56307,0,0,54615,0,0,111904,0,0,0,4466,0,0,0,0,0,0,0,0,0,26885,0,0,0,0,0,0,11876,0,15024,0,0,0,0,0,388359,0,0,0,0,3129,10364,15472,31939,21270,11888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60773,494285,192968,15472,1718182,857779,860403,612762,488557,441404,145568,29892,800719,818939,82656,15868,13%
,Noord-Holland,43754,1447690,1143768,6274,0,1137494,139315,0,0,96119,0,0,286945,0,0,0,6334,0,0,0,0,0,0,0,0,0,72648,0,0,0,0,0,0,102543,0,40939,0,0,0,0,0,182039,0,0,0,0,10759,27352,8027,88095,26142,17142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145649,373140,577583,8027,2360251,1178323,1181928,841745,671126,606353,199965,41062,1099940,1124969,113543,21798,18%
,Overijssel,22214,553494,464076,2162,0,461914,36785,0,0,21955,0,0,110016,0,0,0,14937,0,0,0,0,0,0,0,0,0,44957,0,0,0,0,0,0,13405,0,49265,0,0,0,0,0,106203,0,0,0,0,13816,4154,7167,18627,5723,7660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51722,204622,191159,7167,902393,450507,451885,321824,256591,231826,76452,15699,420539,430108,43411,8334,7%
,Total,871,8046969,6366579,46567,0,6320012,653606,0,0,428150,0,0,1554733,0,0,0,148221,0,0,0,0,0,0,0,0,0,542874,0,0,0,0,0,0,246594,0,399164,0,0,0,0,0,1380365,0,0,0,0,101797,90752,69678,336788,116065,95653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801827,2521194,2771741,69678,13119430,6549696,6569734,4678829,3730445,3370407,1111504,228245,6114007,6253128,631129,121166,100%
,Utrecht,21930,497531,397934,2954,0,394980,52505,0,0,25307,0,0,84357,0,0,0,14790,0,0,0,0,0,0,0,0,0,39427,0,0,0,0,0,0,6930,0,33081,0,0,0,0,0,68350,0,0,0,0,9528,6270,3041,29994,7711,4850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67295,148827,166978,3041,811153,404957,406196,289284,230647,208387,68722,14112,378019,386621,39022,7491,6%
,Zeeland,17656,195790,155449,1447,0,154002,15199,0,0,6629,0,0,38477,0,0,0,14389,0,0,0,0,0,0,0,0,0,17341,0,0,0,0,0,0,1280,0,17690,0,0,0,0,0,20700,0,0,0,0,3604,812,2025,4908,4475,4092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29588,57190,62818,2025,319208,159360,159848,113840,90765,82005,27044,5553,148759,152144,15356,2948,2%
,Zuid-Holland,69189,1898317,1494763,8538,0,1486225,181099,0,0,121617,0,0,443007,0,0,0,59343,0,0,0,0,0,0,0,0,0,144802,0,0,0,0,0,0,44476,0,101164,0,0,0,0,0,184652,0,0,0,0,22024,19950,7995,82518,20680,19070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240442,469207,734753,7995,3094934,1545103,1549830,1103757,880029,795095,262209,53844,1442322,1475142,148886,28584,24%
1972,Drenthe,14935,253687,217871,857,491,216523,32932,0,0,6483,0,0,80643,0,0,0,656,0,0,0,0,0,0,0,0,0,31383,0,0,0,0,0,0,7003,0,15268,0,0,0,0,0,11416,0,0,0,0,6111,2153,5521,7391,6181,1350,466,0,0,0,0,0,0,0,0,0,0,0,0,0,33588,47275,128573,5521,377594,188496,189098,133592,108393,96684,32234,6691,174040,181489,18351,3714,3%
,Fryslân,19010,354137,308904,1548,774,306582,30523,0,0,8580,0,0,97779,0,0,0,3312,0,0,0,0,0,0,0,0,0,64438,0,0,0,0,0,0,11238,0,33346,0,0,0,0,0,14296,0,0,0,0,9621,4123,4673,10568,9939,1326,1065,0,0,0,0,0,0,0,0,0,0,0,0,0,33835,78173,188146,4673,527106,263133,263973,186489,151312,134967,44997,9341,242953,253351,25618,5185,4%
,Gelderland,40274,1035875,878877,2956,1365,874556,123200,0,0,28496,0,0,228559,0,0,0,33962,0,0,0,0,0,0,0,0,0,80158,0,0,0,0,0,0,15132,0,64339,0,0,0,0,0,159015,0,0,0,0,14661,10954,23741,31985,42814,3836,7187,0,0,0,0,0,0,0,0,0,0,0,0,0,157162,320348,366788,23741,1541821,769682,772139,545494,442597,394788,131620,27322,710653,741068,74934,15166,12%
,Groningen,22848,368412,316466,933,800,314733,37535,0,0,9708,0,0,109732,0,0,0,929,0,0,0,0,0,0,0,0,0,47673,0,0,0,0,0,0,26944,0,17018,0,0,0,0,0,10996,0,0,0,0,16329,5030,4721,11616,11058,1468,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,38464,67707,200995,4721,548353,273740,274613,194006,157411,140407,46811,9717,252746,263563,26650,5394,4%
,Limburg,46113,659514,509559,2885,3820,502854,61984,0,0,19943,0,0,101463,0,0,0,291,0,0,0,0,0,0,0,0,0,11302,0,0,0,0,0,0,14097,0,2098,0,0,0,0,0,220876,0,0,0,0,973,5964,12190,11270,23763,3582,10460,0,0,0,0,0,0,0,0,0,0,0,0,0,62275,281695,144096,12190,981636,490036,491600,347301,281790,251351,83799,17395,452454,471818,47708,9655,7%
,Noord-Brabant,59230,1196510,964449,4774,3238,956437,129266,0,0,38582,0,0,193902,0,0,0,4785,0,0,0,0,0,0,0,0,0,41827,0,0,0,0,0,0,21590,0,12497,0,0,0,0,0,360904,0,0,0,0,4511,13495,35195,25801,49399,6063,14508,0,0,0,0,0,0,0,0,0,0,0,0,0,134051,486464,296615,35195,1780914,889038,891876,630084,511231,456008,152031,31559,820856,855987,86554,17517,13%
,Noord-Holland,42581,1578056,1325973,5187,3144,1317642,218758,0,0,69906,0,0,364871,0,0,0,6855,0,0,0,0,0,0,0,0,0,85501,0,0,0,0,0,0,130557,0,33026,0,0,0,0,0,167688,0,0,0,0,14421,32440,15783,73308,77965,4978,13005,0,0,0,0,0,0,0,0,0,0,0,0,0,225613,380989,686677,15783,2348816,1172537,1176279,831007,674254,601421,200511,41623,1082612,1128946,114154,23103,18%
,Overijssel,22111,616129,538302,1472,906,535924,58109,0,0,16038,0,0,134398,0,0,0,16614,0,0,0,0,0,0,0,0,0,53645,0,0,0,0,0,0,17514,0,47000,0,0,0,0,0,106585,0,0,0,0,18026,4846,14683,17365,21394,1810,4156,0,0,0,0,0,0,0,0,0,0,0,0,0,74723,215009,227768,14683,917061,457800,459261,324455,263253,234816,78286,16251,422690,440781,44570,9020,7%
,Total,863,8915179,7445287,29855,21387,7394045,1068375,0,0,307048,0,0,2021454,0,0,0,163114,0,0,0,0,0,0,0,0,0,653609,0,0,0,0,0,0,330398,0,354463,0,0,0,0,0,1305401,0,0,0,0,131236,111262,143239,304714,354829,32970,67658,0,0,0,0,0,0,0,0,0,0,0,0,0,1231489,2553605,3421437,143239,13269563,6624210,6645353,4694750,3809177,3397711,1132778,235147,6116183,6377948,644911,130521,100%
,Utrecht,21172,556508,473494,2683,1243,469568,82823,0,0,19577,0,0,108401,0,0,0,15933,0,0,0,0,0,0,0,0,0,48777,0,0,0,0,0,0,11987,0,26904,0,0,0,0,0,64843,0,0,0,0,12947,8045,6041,28046,27625,1456,3725,0,0,0,0,0,0,0,0,0,0,0,0,0,98756,157077,205256,6041,828320,413500,414820,293058,237778,212094,70711,14678,381788,398128,40257,8147,6%
,Zeeland,13794,215469,178419,553,412,177454,25126,0,0,4943,0,0,48192,0,0,0,16257,0,0,0,0,0,0,0,0,0,20245,0,0,0,0,0,0,2035,0,16442,0,0,0,0,0,19634,0,0,0,0,4670,1308,3304,4896,7407,1082,1075,0,0,0,0,0,0,0,0,0,0,0,0,0,41383,55253,76676,3304,320709,160099,160610,113466,92063,82119,27378,5683,147821,154147,15587,3155,2%
,Zuid-Holland,68853,2068932,1722156,5988,5186,1710982,266367,0,0,84297,0,0,551061,0,0,0,63337,0,0,0,0,0,0,0,0,0,166774,0,0,0,0,0,0,72031,0,85692,0,0,0,0,0,168008,0,0,0,0,28597,22807,17274,82018,76589,6012,10862,0,0,0,0,0,0,0,0,0,0,0,0,0,329704,460057,894691,17274,3079447,1537270,1542177,1089503,883990,788502,262882,54570,1419373,1480121,149664,30290,23%
1977,Drenthe,14612,279586,254195,1282,0,252913,46148,0,68551,11239,0,422,105022,0,0,0,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3087,0,0,0,0,0,0,0,0,0,0,0,0,4622,1488,3263,1420,3468,0,373,1823,0,0,0,0,0,0,0,0,0,0,0,0,47121,90076,111439,3263,406648,202273,204375,134795,123564,103713,36393,8182,180154,198610,20860,7023,3%
