RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;VVD;Communistische Partij van Nederland;Katholieke Nationale Partij;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Middenstands Partij;Partij voor Recht, Vrijheid en Welvaart;Socialistische Unie;Jong Conservatief Verbond
Noordeloos;G0574;10296;Zuid-Holland;P28;747;696;0;;696;124;;316;38;119;2;;96;;;;1;
Noordgouwe;G1128;11107;Zeeland;P29;520;491;0;;491;198;3;90;73;84;2;2;26;;13;;;
Noordoostelijke Polder;G1404;10144;Niet-provinciaal ingedeeld;P99;5792;7085;0;;7085;2045;1693;1382;1003;362;297;23;138;108;2;8;21;3
Noordwelle;G1129;10055;Zeeland;P29;278;261;0;;261;101;3;34;34;61;1;1;13;;13;;;
Noordwijk;G0575;10769;Zuid-Holland;P28;8532;8060;0;;8060;1364;2955;1114;1060;639;149;549;59;29;21;25;32;64
Noordwijkerhout;G0576;11134;Zuid-Holland;P28;3908;3764;0;;3764;191;2919;95;253;30;9;247;4;1;3;3;;9
Nootdorp;G0577;10601;Zuid-Holland;P28;1211;1199;0;;1199;127;756;62;145;34;5;49;16;;4;1;;
Norg;G0120;10608;Drenthe;P22;2699;2658;0;;2658;1294;74;396;246;546;30;7;3;28;17;7;4;6
Nuenen, Gerwen en Nederwetten;G0820;10761;Noord-Brabant;P30;2768;2570;0;;2570;200;2072;17;69;20;21;156;1;2;;7;5;
Nuland;G0821;10118;Noord-Brabant;P30;965;911;0;;911;43;852;1;1;2;;10;;;2;;;
Numansdorp;G0578;11346;Zuid-Holland;P28;2677;2546;0;;2546;985;12;601;342;264;11;4;313;;10;2;2;
Nuth;G0951;10104;Limburg;P31;2609;2437;0;;2437;344;1888;18;20;8;40;109;1;6;;2;1;
Obbicht en Papenhoven;G0952;10388;Limburg;P31;859;771;0;;771;76;645;2;5;4;6;24;;1;;7;1;
Obdam;G0429;11338;Noord-Holland;P27;1157;1136;0;;1136;73;995;3;2;41;4;17;;;1;;;
Odijk;G1131;11003;Utrecht;P26;310;301;0;;301;41;157;15;58;2;1;3;22;;2;;;
Odoorn;G0122;11320;Drenthe;P22;7027;6229;0;;6229;2950;324;565;729;987;469;3;19;95;42;10;35;1
Oeffelt;G0822;10360;Noord-Brabant;P30;805;784;0;;784;24;744;3;;2;;9;;;;2;;
Oegstgeest;G0579;10287;Zuid-Holland;P28;6832;5898;0;;5898;975;1123;1129;1077;985;53;270;103;34;17;32;19;81
Ohé en Laak;G0953;10420;Limburg;P31;350;339;0;;339;6;318;;4;3;;8;;;;;;
Oirsbeek;G0954;10504;Limburg;P31;1350;1260;0;;1260;60;1142;4;7;2;5;38;1;;;;1;
Oirschot;G0823;10225;Noord-Brabant;P30;3365;4895;0;;4895;624;3396;227;153;165;69;176;34;17;11;17;6;
Oisterwijk;G0824;10103;Noord-Brabant;P30;4814;4709;0;;4709;1010;3021;70;44;112;41;352;5;3;12;35;4;
