RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;VVD;Communistische Partij van Nederland;Katholieke Nationale Partij;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Middenstands Partij;Partij voor Recht, Vrijheid en Welvaart;Socialistische Unie;Jong Conservatief Verbond
Willeskop;G0349;10758;Utrecht;P26;507;487;0;;487;57;277;35;73;8;4;8;24;1;;;;
Wilnis;G0350;10365;Utrecht;P26;1412;1367;0;;1367;38;525;377;257;12;5;19;123;6;1;4;;
Winkel;G0465;10923;Noord-Holland;P27;1276;1172;0;;1172;603;44;42;19;218;209;1;2;1;17;2;14;
Winschoten;G0052;10453;Groningen;P20;9423;8663;0;;8663;3857;307;1102;653;1298;1174;48;14;63;87;38;7;15
Winsum;G0053;11135;Groningen;P20;1850;1775;0;;1775;598;3;754;116;216;10;1;;46;23;;;8
Winterswijk;G0294;11119;Gelderland;P25;12877;12101;0;;12101;5993;1552;1071;753;2370;188;86;6;18;18;40;6;
Wisch;G0295;10318;Gelderland;P25;7329;6769;0;;6769;1678;2038;799;1129;905;49;140;6;1;6;14;4;
Wissenkerke;G0727;10243;Zeeland;P29;2137;1964;0;;1964;314;12;629;629;106;5;2;183;;75;7;2;
Wittem;G0990;11371;Limburg;P31;2820;2698;0;;2698;112;2388;22;14;35;17;98;;4;;8;;
Woensdrecht;G0873;10602;Noord-Brabant;P30;2608;2402;0;;2402;369;1744;58;42;71;12;87;2;;2;11;4;
Woerden;G0632;10974;Zuid-Holland;P28;6047;5658;0;;5658;1070;1351;951;1151;365;60;310;366;5;7;17;1;4
Wognum;G0466;10818;Noord-Holland;P27;1247;1224;0;;1224;151;924;12;7;90;23;14;;;;1;2;
Wolphaartsdijk;G0728;10543;Zeeland;P29;1554;1450;0;;1450;174;55;276;538;96;3;2;258;15;31;1;1;
Wonseradeel;G0099;10454;Fryslân;P21;7363;6946;0;;6946;1672;622;1839;1951;509;190;18;65;38;9;5;21;7
Workum;G0100;10768;Fryslân;P21;2263;2190;0;;2190;481;494;406;683;84;15;8;3;2;2;1;10;1
Wormer;G0467;10648;Noord-Holland;P27;3340;3182;0;;3182;952;925;297;77;229;566;10;18;73;8;6;20;1
Wormerveer;G0468;10361;Noord-Holland;P27;6870;6379;0;;6379;2188;938;617;115;587;1756;39;18;34;18;30;30;9
Woubrugge;G0633;10461;Zuid-Holland;P28;1430;1399;0;;1399;114;581;243;278;77;7;7;83;;2;1;5;1
Woudenberg;G0351;11398;Utrecht;P26;2291;2251;0;;2251;607;27;395;644;199;16;12;321;1;9;16;1;3
Woudrichem;G0874;10282;Noord-Brabant;P30;1252;1157;0;;1157;520;5;230;242;78;8;1;67;2;;;4;
Wouw;G0875;10808;Noord-Brabant;P30;3137;2886;0;;2886;232;2335;13;25;19;8;208;2;5;32;7;;
Wymbritseradeel;G0101;11427;Fryslân;P21;6494;6201;0;;6201;818;802;1584;2719;206;18;10;16;13;1;10;3;1
Yerseke;G0729;11247;Zeeland;P29;2939;2699;0;;2699;608;108;475;474;153;27;6;608;1;227;11;1;
Zaamslag;G0731;11173;Zeeland;P29;2167;2030;0;;2030;392;29;595;568;98;4;9;136;180;18;;1;
Zaandam;G0471;11044;Noord-Holland;P27;26596;24870;0;;24870;9289;3194;3165;1014;1995;5264;198;230;109;200;45;134;33
Zaandijk;G0472;11404;Noord-Holland;P27;2788;2546;0;;2546;1007;176;285;71;334;613;8;10;10;15;4;11;2
Zaltbommel;G0297;10557;Gelderland;P25;3102;2866;0;;2866;1362;394;226;312;324;16;105;87;25;7;1;7;
Zandvoort;G0473;10910;Noord-Holland;P27;6475;6525;0;;6525;2485;904;484;627;1025;361;298;11;10;30;75;23;192
Zeeland;G0877;10759;Noord-Brabant;P30;1736;1632;0;;1632;7;1608;;3;4;1;6;;;3;;;
Zegveld;G0354;10949;Utrecht;P26;701;673;0;;673;14;117;234;193;7;3;2;103;;;;;
Zeist;G0355;10324;Utrecht;P26;26294;23792;0;;23792;6443;2961;4756;3638;3529;470;542;760;77;80;209;103;224
Zelhem;G0298;11159;Gelderland;P25;4183;3783;0;;3783;1086;397;999;749;400;21;4;107;2;5;10;3;
Zevenaar;G0299;10938;Gelderland;P25;4515;4201;0;;4201;606;3155;56;123;95;14;126;5;;9;8;4;
Zevenbergen;G0878;10046;Noord-Brabant;P30;4901;4569;0;;4569;310;3086;160;550;72;24;307;4;45;8;3;;
Zevenhoven;G0635;11317;Zuid-Holland;P28;590;566;0;;566;49;307;78;84;15;3;15;15;;;;;
Zevenhuizen;G0636;11377;Zuid-Holland;P28;1863;1738;0;;1738;635;22;190;416;272;15;5;180;;1;2;;
Zierikzee;G0732;10843;Zeeland;P29;4180;3887;0;;3887;1383;416;842;419;499;7;23;149;3;136;7;3;
Zijpe;G0476;10004;Noord-Holland;P27;3501;3357;0;;3357;1326;963;90;48;685;190;20;6;;16;1;3;9
Zoelen;G0300;10897;Gelderland;P25;1575;1471;0;;1471;868;14;96;234;208;6;2;33;;9;1;;
Zoetermeer;G0637;10766;Zuid-Holland;P28;3356;3123;0;;3123;608;929;397;461;192;18;82;407;10;12;;2;5
Zoeterwoude;G0638;11074;Zuid-Holland;P28;2721;2597;0;;2597;145;1833;156;256;77;18;56;35;2;9;6;4;
Zonnemaire;G1236;10040;Zeeland;P29;518;489;0;;489;230;2;94;50;91;1;;6;4;11;;;
Zoutelande;G1237;10779;Zeeland;P29;749;676;0;;676;78;39;145;190;71;1;16;108;14;14;;;
Zuid- en Noord-Schermer;G0474;11311;Noord-Holland;P27;567;518;0;;518;270;57;29;17;77;40;2;17;;2;4;2;1
Zuid-Beijerland;G0639;10917;Zuid-Holland;P28;1502;1384;0;;1384;341;7;342;290;171;7;3;222;;1;;;
Zuidbroek;G1240;11282;Groningen;P20;1718;1535;0;;1535;731;23;147;49;212;247;13;5;56;33;12;4;3
Zuiddorpe;G0734;11087;Zeeland;P29;497;453;0;;453;67;356;3;5;6;3;10;1;1;1;;;
Zuidhorn;G0056;10021;Groningen;P20;2239;2135;0;;2135;687;37;403;179;392;43;6;1;347;26;;;14
Zuidland;G0640;10316;Zuid-Holland;P28;1210;1156;0;;1156;175;3;647;130;151;4;2;40;;3;;1;
Zuidlaren;G0136;10002;Drenthe;P22;3105;2936;0;;2936;1202;41;605;140;656;71;7;6;116;75;10;2;5
Zuidwolde;G0137;10262;Drenthe;P22;3663;3401;0;;3401;1166;54;815;678;570;30;1;9;66;6;5;1;
Zuidzande;G0735;10437;Zeeland;P29;561;518;0;;518;208;15;38;46;179;4;;8;;19;;1;
Zuilen;G1242;10059;Utrecht;P26;13683;12835;0;;12835;5521;3037;1308;1090;422;972;132;182;60;62;18;28;3
Zuilichem;G1243;11036;Gelderland;P25;664;589;0;;589;184;4;128;29;10;;3;229;;1;;1;
Zundert;G0879;11192;Noord-Brabant;P30;4708;4122;0;;4122;236;3384;55;65;42;21;267;6;10;13;22;1;
Zutphen;G0301;10254;Gelderland;P25;13983;12991;0;;12991;5953;1501;1051;1366;1676;1142;115;32;34;48;19;38;16
Zwaag;G0475;10218;Noord-Holland;P27;1170;1151;0;;1151;217;792;7;6;113;5;4;1;1;2;;3;
Zwammerdam;G1244;10675;Zuid-Holland;P28;1479;1379;0;;1379;224;362;283;268;103;8;17;106;1;2;;4;1
Zwartewaal;G0641;10703;Zuid-Holland;P28;346;349;0;;349;154;1;95;7;79;1;1;10;;;;1;
Zwartsluis;G0192;10303;Overijssel;P23;1998;1842;0;;1842;300;10;853;453;79;25;2;57;54;2;6;;1
Zweeloo;G0138;10872;Drenthe;P22;1330;1285;0;;1285;528;14;295;81;323;17;2;;3;19;2;1;
Zwijndrecht;G0642;10468;Zuid-Holland;P28;8821;8188;0;;8188;2510;336;2171;1620;492;252;16;586;178;17;2;8;
Zwolle;G0193;10093;Overijssel;P23;29645;27463;0;;27463;10300;4249;3571;2979;2687;1345;937;386;481;107;51;304;66
Zwollerkerspel;G1245;10654;Overijssel;P23;5708;5344;0;;5344;1032;758;971;1436;424;68;62;271;287;8;4;20;3
