RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Liberale Staatspartij (LSP);Vrijzinnig-Democratische Bond (VDB);Staatkundig Gereformeerde Partij (SGP);Middenpartij voor Stad en Land;CPN (De Visser);HGSP;Plattelandersbond;CPN (Wijnkoop);Rooms-Katholieke Volkspartij (RKVP);Revolutionair-Socialistische Partij;Federatief Verband;Christelijk-Democratische Unie;Democratische Partij;Kleine Winkeliers en Middenstanders;Nationale Boerenbond;Verbond van Nationalisten;Roomsch-Katholieke Boerenpartij (RKBP);Sociaal-Democratische Volkspartij;Algemene Welvaartspartij;Christelijke Arbeiderspartij;Lijst Van Nunen;Hoofd- en handarbeiders;Sociaal-Economische Volkspartij;Invalidenpartij;Lijst Verwey;Volkspartij;Anti-stemdwangpartij;Algemeen Belang;Neutrale Volkspartij;Lijst Siedenburg;Vrije Christelijke Partij;Internationale Volkspartij
Lith;G0808;11219;Noord-Brabant;P30;713;580;;;580;529;4;;2;11;1;1;12;;;1;2;13;3;1;;;;;;;;;;;;;;;;;;;;;
Lithoijen;G1104;10024;Noord-Brabant;P30;292;259;;;259;238;;1;3;10;1;;1;2;;1;;;1;;;;;;;1;;;;;;;;;;;;;;;
Lochem;G0262;11263;Gelderland;P25;3113;2965;122;;2843;111;1087;162;220;451;615;5;13;54;5;33;15;;10;11;21;6;1;5;9;;;5;4;;;;;;;;;;;;
Loenen;G0329;11202;Utrecht;P26;788;725;11;;714;128;88;103;229;62;28;49;6;3;2;7;;4;;;3;;;2;;;;;;;;;;;;;;;;;
Loenersloot;G1105;10208;Utrecht;P26;243;234;9;;225;79;10;48;39;4;;16;;;27;1;;;;;;;;1;;;;;;;;;;;;;;;;;
Lonneker;G1106;11045;Overijssel;P23;9923;11825;;;11825;2270;4723;782;1334;339;236;45;60;453;20;1063;65;99;133;30;59;16;;60;28;;;;;;;;;;;;;;;;
Loon op Zand;G0809;11259;Noord-Brabant;P30;4547;4252;;;4252;3867;41;33;42;1;16;155;30;2;5;14;3;11;22;2;;;3;;2;2;;;;1;;;;;;;;;;;
Loosdrecht;G0330;10639;Utrecht;P26;1739;1556;102;;1454;96;193;302;460;56;51;98;28;14;38;76;10;1;1;7;;1;2;4;4;;2;;10;;;;;;;;;;;;
Lopik;G0331;10333;Utrecht;P26;791;730;23;;707;265;34;185;55;20;11;96;1;2;2;30;4;;;;;;;1;1;;;;;;;;;;;;;;;;
Loppersum;G0024;10934;Groningen;P20;1839;1725;20;;1705;9;439;724;140;111;212;;3;10;2;34;2;1;3;4;3;4;;2;2;;;;;;;;;;;;;;;;
Losser;G0168;11166;Overijssel;P23;6111;5639;;;5639;3972;836;45;453;51;15;7;29;79;1;37;9;47;21;5;11;1;;16;4;;;;;;;;;;;;;;;;
Luyksgestel;G0810;10011;Noord-Brabant;P30;424;394;;;394;383;1;;1;;1;;2;;;1;;3;;;;;;;;1;;;;1;;;;;;;;;;;
Maarheeze;G0811;11143;Noord-Brabant;P30;1097;1032;;;1032;998;3;2;4;;;4;4;1;;;1;7;1;;;;;;;7;;;;;;;;;;;;;;;
Maarn;G0332;10392;Utrecht;P26;887;823;40;;783;55;209;169;155;45;37;52;14;6;4;10;1;1;;10;4;2;2;1;;;;;6;;;;;;;;;;;;
Maarssen;G0333;10191;Utrecht;P26;1639;1534;62;;1472;382;301;223;223;112;58;84;25;10;9;33;2;3;;5;1;;;1;;;;;;;;;;;;;;;;;
Maarsseveen;G1108;10874;Utrecht;P26;839;790;29;;761;174;92;94;244;24;22;59;7;3;2;27;;3;1;1;5;;1;2;;;;;;;;;;;;;;;;;
Maartensdijk;G0334;10691;Utrecht;P26;1936;1749;127;;1622;205;330;325;176;107;62;303;22;12;11;34;2;7;1;1;5;1;3;4;5;;2;;4;;;;;;;;;;;;
Maasbracht;G0933;10964;Limburg;P31;811;760;9;6;745;685;13;1;4;3;8;1;2;1;1;;1;2;;;1;;;;;22;;;;;;;;;;;;;;;
Maasbree;G0934;11352;Limburg;P31;5635;5330;;;5330;4769;315;30;40;21;17;5;20;1;1;3;5;19;10;;2;9;;1;7;53;2;;;;;;;;;;;;;;
Maasdam;G0554;11019;Zuid-Holland;P28;821;721;;;721;6;173;108;127;150;24;82;1;;12;22;1;2;3;7;;2;;;1;;;;;;;;;;;;;;;;
Maashees en Overloon;G1109;10532;Noord-Brabant;P30;916;871;;;871;837;4;5;1;2;;;5;;;1;;2;2;;;;2;;;10;;;;;;;;;;;;;;;
Maasland;G0555;10393;Zuid-Holland;P28;1550;1474;20;;1454;227;35;525;577;18;11;22;1;1;18;8;1;1;;1;;7;1;;;;;;;;;;;;;;;;;;
Maasniel;G1110;11261;Limburg;P31;1633;1441;;;1441;1164;80;3;1;3;6;1;13;;;7;1;2;12;;;;;;1;146;1;;;;;;;;;;;;;;
Maassluis;G0556;10880;Zuid-Holland;P28;4843;4330;89;;4241;274;679;1613;1079;185;151;124;17;1;9;4;6;2;24;17;;49;1;2;4;;;;;;;;;;;;;;;;
Maastricht;G0935;10182;Limburg;P31;27804;25237;;;25237;16235;6819;133;87;417;382;40;183;157;36;42;28;297;139;;17;15;;9;30;93;78;;;;;;;;;;;;;;
Made en Drimmelen;G0812;10258;Noord-Brabant;P30;2283;1942;;;1942;1631;11;75;82;17;50;9;29;;1;7;5;6;10;;;;4;1;2;2;;;;;;;;;;;;;;;
Margraten;G0936;11243;Limburg;P31;585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Markelo;G0169;11382;Overijssel;P23;;2362;;;2362;123;803;132;493;138;140;32;23;20;3;340;14;4;49;9;17;6;;10;6;;;;;;;;;;;;;;;;
Marken;G0419;10901;Noord-Holland;P27;740;664;;;664;2;6;239;380;;4;1;;1;28;;2;;;;;;;;;;;;;;;;;;;1;;;;;
Marum;G0025;11431;Groningen;P20;2926;2638;;;2638;3;764;777;89;321;490;3;3;4;5;136;15;1;7;1;10;7;;1;1;;;;;;;;;;;;;;;;
Maurik;G0264;10300;Gelderland;P25;2295;1964;;;1964;133;509;25;143;692;88;91;1;2;17;104;2;10;2;24;2;89;6;5;3;;;;;;;;;16;;;;;;;
Medemblik;G0420;11215;Noord-Holland;P27;1892;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meeden;G0026;10304;Groningen;P20;953;857;34;;823;;355;248;16;130;31;;1;6;1;12;5;2;6;1;5;2;;1;1;;;;;;;;;;;;;;;;
Meerkerk;G0557;10618;Zuid-Holland;P28;918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meerlo;G0937;11416;Limburg;P31;990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meerssen;G0938;10494;Limburg;P31;2304;2241;65;38;2139;1829;168;12;8;9;15;2;12;3;;4;6;20;21;;8;1;;1;3;10;7;;;;;;;;;;;;;;
Megen, Haren en Macharen;G0813;10988;Noord-Brabant;P30;872;817;;;817;804;2;;1;;;;2;;;1;;4;1;1;;;;;;1;;;;;;;;;;;;;;;
Meijel;G0941;10925;Limburg;P31;1010;964;;;964;947;3;1;;;;;3;;;;;;1;;;;;;;9;;;;;;;;;;;;;;;
Melick en Herkenbosch;G0939;10196;Limburg;P31;1278;1193;;;1193;938;46;2;3;;3;2;6;1;1;1;4;1;9;;1;3;;1;;170;1;;;;;;;;;;;;;;
Meliskerke;G1112;11221;Zeeland;P29;;287;8;;279;2;1;113;25;;1;127;;;2;4;2;;2;;;;;;;;;;;;;;;;;;;;;;
Melissant;G1113;10918;Zuid-Holland;P28;926;786;;;786;27;79;234;143;46;13;216;3;2;;9;4;1;4;1;;;;4;;;;;;;;;;;;;;;;;
Menaldumadeel;G0083;11144;Fryslân;P21;6048;5669;116;;5553;261;2150;1083;813;323;536;7;22;52;29;181;14;7;11;;32;23;;9;;;;;;;;;;;;;;;;;
Meppel;G0119;11204;Drenthe;P22;6358;5579;;;5579;104;1444;970;1407;442;834;36;37;10;9;31;13;15;9;33;140;10;;5;30;;;;;;;;;;;;;;;;
Merkelbeek;G0940;10763;Limburg;P31;510;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mesch;G1114;11070;Limburg;P31;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mheer;G0942;10538;Limburg;P31;458;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Middelburg;G0687;10122;Zeeland;P29;;9800;405;;9395;635;2426;1782;1713;823;1127;359;157;59;33;15;34;23;40;113;29;16;;11;;;;;;;;;;;;;;;;;
Middelharnis;G0559;11067;Zuid-Holland;P28;2312;1924;;;1924;83;249;614;89;225;117;425;10;5;7;62;4;1;14;6;;6;1;2;4;;;;;;;;;;;;;;;;
Middelie;G0421;10452;Noord-Holland;P27;;347;4;;343;;142;;2;32;100;;6;1;;51;4;;;4;;;;1;;;;;;;;;;;;;;;;;
Middelstum;G0027;11199;Groningen;P20;1350;1285;10;;1275;6;277;697;73;104;69;5;3;8;;17;4;1;10;;;1;;;;;;;;;;;;;;;;;;;
Midwolda;G0028;10356;Groningen;P20;2272;1920;52;;1868;5;405;508;403;118;172;3;3;6;168;36;10;;6;4;7;2;;7;5;;;;;;;;;;;;;;;;
Midwoud;G0422;10924;Noord-Holland;P27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mierlo;G0814;10215;Noord-Brabant;P30;2245;2131;20;22;2089;1984;48;3;5;4;10;;11;3;1;2;2;10;4;1;;;;;;1;;;;;;;;;;;;;;;
Mijdrecht;G0336;11379;Utrecht;P26;2101;1970;67;;1903;702;173;396;423;50;28;74;9;10;7;9;3;13;;2;;1;;2;;;;;1;;;;;;;;;;;;
Mijnsheerenland;G0564;11112;Zuid-Holland;P28;843;738;;;738;1;52;360;151;55;13;54;;2;7;37;1;;2;;;1;1;;1;;;;;;;;;;;;;;;;
Mill en Sint Hubert;G0815;10535;Noord-Brabant;P30;1621;1499;;;1499;1448;3;5;6;3;2;3;9;;;;1;2;5;3;;;2;1;1;4;;;;1;;;;;;;;;;;
Millingen;G1259;10072;Gelderland;P25;1661;1235;;;1235;1076;93;4;2;;7;1;14;2;;17;2;12;;1;1;;;1;1;;;;;;;;;1;;;;;;;
Moergestel;G0816;11191;Noord-Brabant;P30;1034;1014;;;1014;951;5;1;2;1;;1;8;;;;1;35;4;;;;;;;1;;;;4;;;;;;;;;;;
Moerkapelle;G0560;11383;Zuid-Holland;P28;349;315;5;3;307;2;16;102;53;50;8;58;3;;10;3;;1;;;;;;;;;;;;;;1;;;;;;;;;
Molenaarsgraaf;G0561;10166;Zuid-Holland;P28;296;269;6;8;255;;3;134;30;48;6;54;;;6;1;;;1;;;1;1;;;;;;;;;;;;;;;;;;
Monnickendam;G0423;10983;Noord-Holland;P27;1321;1223;;;1223;283;227;121;356;75;64;2;10;1;3;43;4;1;1;12;12;4;1;1;;;;;;;;;;;;2;;;;;
Monster;G0562;10019;Zuid-Holland;P28;4043;3926;65;;3861;1938;181;635;237;151;29;371;4;9;122;154;2;7;4;12;;;4;1;;;;;;;;;;;;;;;;;
Montfoort;G0335;10033;Utrecht;P26;1001;943;27;;916;652;15;100;71;12;16;39;;1;2;1;2;1;;2;;;;2;;;;;;;;;;;;;;;;;
Montfort;G0943;10266;Limburg;P31;536;524;6;6;512;494;3;;;;;;3;;;1;3;;1;;;;;;;7;;;;;;;;;;;;;;;
Mook en Middelaar;G0944;10271;Limburg;P31;834;797;8;6;783;686;25;10;17;21;6;;2;;;1;1;2;4;;2;2;;;;3;1;;;;;;;;;;;;;;
Moordrecht;G0563;10120;Zuid-Holland;P28;1294;1265;;;1265;186;271;290;31;182;46;155;5;1;14;49;3;;3;3;10;2;8;;2;;;;;;;4;;;;;;;;;
