RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Katholieke Volkspartij (KVP);Partij van de Arbeid (P.v.d.A.);Anti-Revolutionaire Partij;Christelijk-Historische Unie;VVD;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Overig;Lijst Welter
Jutphaas;G0322;10374;Utrecht;P26;5772;5313;0;;5313;1864;1574;737;456;131;228;157;93;73
Kamerik;G0323;10554;Utrecht;P26;1155;1064;0;;1064;356;40;205;241;8;;192;1;21
Kampen;G0166;10253;Overijssel;P23;13108;11921;0;;11921;1171;2820;3288;2596;443;138;1353;81;31
Kantens;G0020;10372;Groningen;P20;1354;1277;0;;1277;21;471;366;165;192;30;2;28;2
Kapelle;G0678;11223;Zeeland;P29;2395;2291;0;;2291;39;428;457;801;265;16;244;26;15
Kattendijke;G0679;11218;Zeeland;P29;707;669;0;;669;3;315;54;209;48;3;21;14;2
Katwijk;G0537;10707;Zuid-Holland;P28;10074;9480;0;;9480;543;1040;1566;5229;234;57;731;30;50
Katwoude;G0409;11136;Noord-Holland;P27;146;144;0;;144;18;33;25;42;19;3;;4;
Kedichem;G0538;10280;Zuid-Holland;P28;683;627;0;;627;11;233;140;25;185;11;16;6;
Kerkrade;G0928;10313;Limburg;P31;19516;17482;0;;17482;13382;1681;133;177;82;1487;16;73;451
Kerkwerve;G1095;10837;Zeeland;P29;449;428;0;;428;4;92;166;84;37;7;36;2;
Kerkwijk;G0257;10791;Gelderland;P25;791;723;0;;723;7;171;385;58;14;3;82;3;
Kessel;G0929;10890;Limburg;P31;1058;1002;0;;1002;975;6;;2;3;1;;2;13
Kesteren;G0258;10916;Gelderland;P25;2613;2439;0;;2439;27;621;742;86;98;31;823;11;
Klaaswaal;G0539;10284;Zuid-Holland;P28;1347;1218;0;;1218;10;393;254;203;174;19;143;22;
Klimmen;G0930;10977;Limburg;P31;1221;1140;0;;1140;1073;19;3;2;2;10;;3;28
Kloetinge;G0680;10155;Zeeland;P29;1142;1056;0;;1056;56;255;153;398;92;3;60;30;9
Kloosterburen;G0021;10628;Groningen;P20;1336;1251;0;;1251;498;274;306;11;97;7;3;38;17
Klundert;G0804;10656;Noord-Brabant;P30;2482;2426;0;;2426;765;100;841;489;36;51;117;12;15
Kockengen;G0324;10765;Utrecht;P26;747;724;0;;724;254;13;196;80;14;2;154;1;10
Koedijk;G0410;10510;Noord-Holland;P27;1205;1128;0;;1128;322;430;63;33;123;121;4;26;6
Koewacht;G0681;10892;Zeeland;P29;1293;1134;0;;1134;926;94;14;7;20;8;1;14;50
Kollumerland en Nieuwkruisland;G0079;10984;Fryslân;P21;5530;5094;0;;5094;17;655;2453;1500;258;61;131;15;4
Koog aan de Zaan;G0411;10776;Noord-Holland;P27;4397;3991;0;;3991;416;1522;404;99;363;1092;26;55;14
Kortenhoef;G1097;10467;Noord-Holland;P27;1250;1148;0;;1148;262;246;146;260;57;45;98;16;18
Kortgene;G0682;10250;Zeeland;P29;2503;2236;0;;2236;10;845;358;537;249;14;162;58;3
Koudekerk aan den Rijn;G0540;10029;Zuid-Holland;P28;951;869;0;;869;91;81;314;327;24;2;25;4;1
Koudekerke;G1098;11428;Zeeland;P29;1529;1538;0;;1538;51;289;513;439;49;70;83;33;11
Krabbendijke;G0684;11038;Zeeland;P29;1621;1432;0;;1432;6;212;230;349;61;4;549;19;2
Krimpen aan de Lek;G0541;10617;Zuid-Holland;P28;2046;1868;0;;1868;15;810;501;67;209;97;154;11;4
Krimpen aan den IJssel;G0542;10859;Zuid-Holland;P28;3606;3255;0;;3255;33;1358;400;365;238;177;673;10;1
Krommenie;G0413;10373;Noord-Holland;P27;3999;3750;0;;3750;930;991;314;72;178;1231;4;28;2
Kruiningen;G0685;10077;Zeeland;P29;2765;2548;0;;2548;389;655;294;448;368;18;328;35;13
Kuinre;G0167;11148;Overijssel;P23;483;448;0;;448;52;199;44;126;15;11;;1;
Kwadijk;G0414;10775;Noord-Holland;P27;287;271;0;;271;9;145;10;10;76;16;;3;2
Landsmeer;G0415;11225;Noord-Holland;P27;2398;2191;0;;2191;107;725;413;192;173;492;16;67;6
Langbroek;G0325;11413;Utrecht;P26;825;785;0;;785;141;100;218;132;11;8;173;;2
Lange Ruige Weide;G1101;10900;Zuid-Holland;P28;424;387;0;;387;15;10;165;100;10;1;86;;
Langedijk;G0416;10955;Noord-Holland;P27;4725;4411;0;;4411;1252;1300;819;324;333;333;22;22;6
Langerak;G0543;11127;Zuid-Holland;P28;546;499;0;;499;2;72;221;20;61;1;121;1;
Laren;G0417;10649;Noord-Holland;P27;6237;5628;0;;5628;2429;808;642;299;728;389;36;143;154
Laren (Gld.);G0259;10098;Gelderland;P25;3925;3639;0;;3639;77;915;401;685;1446;66;7;35;7
Leek;G0022;10604;Groningen;P20;4775;4331;0;;4331;31;1477;1545;414;621;142;8;86;7
Leende;G0805;11017;Noord-Brabant;P30;1206;1151;0;;1151;1081;25;11;6;4;5;;1;18
Leens;G0023;11050;Groningen;P20;2376;2211;0;;2211;215;581;883;60;328;44;2;90;8
Leerbroek;G0544;10465;Zuid-Holland;P28;530;440;0;;440;1;25;184;62;24;2;142;;
Leerdam;G0545;10685;Zuid-Holland;P28;5520;5180;0;;5180;221;1565;1660;601;325;169;593;38;8
Leersum;G0326;11142;Utrecht;P26;1667;1600;0;;1600;26;427;362;309;214;34;191;32;5
Leeuwarden;G0080;11228;Fryslân;P21;45732;40647;0;;40647;4155;16980;7168;3638;3544;2933;130;2005;94
Leeuwarderadeel;G0081;10851;Fryslân;P21;3018;2736;0;;2736;19;1362;694;174;320;84;;80;3
Leiden;G0546;10702;Zuid-Holland;P28;50931;46232;0;;46232;9620;16283;5117;6275;3223;3868;491;810;545
Leiderdorp;G0547;10058;Zuid-Holland;P28;2339;2156;0;;2156;332;350;754;521;94;27;65;8;5
Leidschendam;G0548;10742;Zuid-Holland;P28;5374;5070;0;;5070;3075;496;388;519;289;83;30;73;117
Leimuiden;G0549;11351;Zuid-Holland;P28;1160;1105;0;;1105;552;81;244;171;32;6;15;3;1
Lekkerkerk;G0550;10050;Zuid-Holland;P28;2931;2720;0;;2720;15;1152;387;79;644;73;342;28;
Lemsterland;G0082;10142;Fryslân;P21;4525;4231;0;;4231;288;1201;909;1031;121;533;76;65;7
Leusden;G0327;10978;Utrecht;P26;1687;1665;0;;1665;496;291;287;304;99;11;143;23;11
Lexmond;G0551;10930;Zuid-Holland;P28;1062;972;0;;972;3;225;358;163;75;7;139;1;1
Lichtenvoorde;G0260;10242;Gelderland;P25;4551;4383;0;;4383;3676;232;103;273;29;2;;2;66
Liempde;G0806;10390;Noord-Brabant;P30;1106;1064;0;;1064;1030;20;2;;;4;1;;7
Lienden;G0261;11093;Gelderland;P25;2833;2534;0;;2534;38;1028;453;356;216;21;392;27;3
Lieshout;G0807;10637;Noord-Brabant;P30;1471;1397;0;;1397;1334;44;4;8;2;1;;;4
Limbricht;G0931;11124;Limburg;P31;1309;1242;0;;1242;1174;29;1;;2;5;;;31
Limmen;G0418;11370;Noord-Holland;P27;1490;1438;0;;1438;1181;71;15;6;54;77;;4;30
Linne;G0932;10990;Limburg;P31;1069;1021;0;;1021;954;26;2;4;2;3;;5;25
Linschoten;G0328;11324;Utrecht;P26;1066;968;0;;968;258;40;191;187;44;14;217;7;10
Lisse;G0553;10197;Zuid-Holland;P28;5470;5192;0;;5192;2759;437;645;702;136;29;344;15;125
Lith;G0808;11219;Noord-Brabant;P30;1683;1569;0;;1569;1450;59;13;21;9;3;;2;12
Lochem;G0262;11263;Gelderland;P25;3982;3804;0;;3804;251;1397;265;334;844;573;9;99;32
Loenen;G0329;11202;Utrecht;P26;969;928;0;;928;202;118;196;208;79;17;80;15;13
Loenersloot;G1105;10208;Utrecht;P26;322;295;0;;295;80;20;75;72;5;3;37;3;
Loon op Zand;G0809;11259;Noord-Brabant;P30;6292;6027;0;;6027;5429;159;78;85;24;19;181;14;38
Loosdrecht;G0330;10639;Utrecht;P26;2393;2257;0;;2257;149;362;586;502;245;146;233;20;14
Lopik;G0331;10333;Utrecht;P26;2335;2169;0;;2169;518;347;548;308;45;25;358;15;5
Loppersum;G0024;10934;Groningen;P20;2233;2086;0;;2086;6;484;977;186;288;34;1;107;3
Losser;G0168;11166;Overijssel;P23;9492;9144;0;;9144;6684;830;125;650;201;591;2;22;39
Luyksgestel;G0810;10011;Noord-Brabant;P30;682;643;0;;643;623;7;5;5;2;1;;;
Maarheeze;G0811;11143;Noord-Brabant;P30;1747;1665;0;;1665;1592;26;7;5;3;4;2;3;23
Maarn;G0332;10392;Utrecht;P26;1318;1316;0;;1316;106;367;187;302;130;45;139;23;17
Maarssen;G0333;10191;Utrecht;P26;2624;2363;0;;2363;627;536;442;371;96;126;82;42;41
Maarsseveen;G1108;10874;Utrecht;P26;1306;1186;0;;1186;226;194;246;360;32;52;46;17;13
Maartensdijk;G0334;10691;Utrecht;P26;7023;6213;0;;6213;1034;1400;1306;730;801;189;400;120;233
Maasbracht;G0933;10964;Limburg;P31;1460;1260;0;;1260;1167;22;20;7;7;13;1;4;19
Maasbree;G0934;11352;Limburg;P31;2779;2634;0;;2634;2547;4;8;;1;3;;4;67
Maasdam;G0554;11019;Zuid-Holland;P28;1032;959;0;;959;3;306;224;161;165;10;86;4;
Maasdriel;G0263;10341;Gelderland;P25;2341;2214;0;;2214;1864;72;45;173;9;7;32;5;7
Maasland;G0555;10393;Zuid-Holland;P28;1777;1718;0;;1718;299;57;671;627;32;4;23;1;4
Maasniel;G1110;11261;Limburg;P31;2872;2651;0;;2651;2346;150;20;26;20;17;4;14;54
Maassluis;G0556;10880;Zuid-Holland;P28;5993;5512;0;;5512;374;1739;1880;1170;146;67;82;39;15
Maastricht;G0935;10182;Limburg;P31;40882;36508;0;;36508;22936;7670;345;161;568;1902;59;826;2041
Made en Drimmelen;G0812;10258;Noord-Brabant;P30;3131;2824;0;;2824;2341;164;95;110;56;15;2;23;18
Margraten;G0936;11243;Limburg;P31;774;734;0;;734;693;9;2;;2;3;;6;19
Markelo;G0169;11382;Overijssel;P23;3578;3262;0;;3262;190;1023;690;488;744;68;25;31;3
Marken;G0419;10901;Noord-Holland;P27;868;743;0;;743;1;39;257;423;12;2;2;7;
Marum;G0025;11431;Groningen;P20;3911;3569;0;;3569;23;1232;1181;194;522;275;7;129;6
Maurik;G0264;10300;Gelderland;P25;2645;2387;0;;2387;144;1016;421;359;304;40;87;10;6
Medemblik;G0420;11215;Noord-Holland;P27;2480;2315;0;;2315;983;527;287;171;113;188;15;21;10
Meeden;G0026;10304;Groningen;P20;1174;1073;0;;1073;8;414;301;39;141;120;3;47;
Meerkerk;G0557;10618;Zuid-Holland;P28;1158;1081;0;;1081;6;312;408;61;193;11;85;4;1
Meerlo;G0937;11416;Limburg;P31;1423;1392;0;;1392;1362;12;3;;2;1;;2;10
Meerssen;G0938;10494;Limburg;P31;3619;3427;0;;3427;2982;205;23;8;29;37;;9;134
Megen, Haren en Macharen;G0813;10988;Noord-Brabant;P30;1077;1024;0;;1024;994;14;4;;1;1;;2;8
Meijel;G0941;10925;Limburg;P31;1396;1371;0;;1371;1345;6;;;;2;1;;17
Melick en Herkenbosch;G0939;10196;Limburg;P31;1300;1196;0;;1196;1129;30;6;4;1;3;;2;21
Meliskerke;G1112;11221;Zeeland;P29;377;340;0;;340;1;6;123;23;;;185;2;
Melissant;G1113;10918;Zuid-Holland;P28;1162;1011;0;;1011;30;220;306;127;34;2;285;7;
Menaldumadeel;G0083;11144;Fryslân;P21;6585;6118;0;;6118;272;2583;1424;856;457;281;11;220;14
Meppel;G0119;11204;Drenthe;P22;8851;8036;0;;8036;249;3169;1449;1846;919;236;65;84;19
Merkelbeek;G0940;10763;Limburg;P31;813;765;0;;765;728;15;1;;;11;1;1;8
Mheer;G0942;10538;Limburg;P31;530;500;0;;500;466;9;1;4;7;2;;3;8
Middelburg;G0687;10122;Zeeland;P29;12913;12153;0;;12153;854;4521;2566;1652;936;356;763;446;59
Middelharnis;G0559;11067;Zuid-Holland;P28;3043;2724;0;;2724;111;678;780;138;363;22;597;23;12
Middelie;G0421;10452;Noord-Holland;P27;339;316;0;;316;3;218;5;5;62;16;;7;
Middelstum;G0027;11199;Groningen;P20;1592;1493;0;;1493;3;327;840;133;121;39;4;24;2
Midwolda;G0028;10356;Groningen;P20;2724;2520;0;;2520;15;626;753;688;214;171;12;38;3
Midwoud;G0422;10924;Noord-Holland;P27;722;674;0;;674;39;388;11;6;151;66;;11;2
Mierlo;G0814;10215;Noord-Brabant;P30;3371;3169;0;;3169;2895;174;12;8;17;43;2;9;9
Mijdrecht;G0336;11379;Utrecht;P26;2593;2452;0;;2452;986;269;511;486;54;21;79;12;34
Mijnsheerenland;G0564;11112;Zuid-Holland;P28;1134;1066;0;;1066;6;194;425;192;160;2;84;3;
Mill en Sint Hubert;G0815;10535;Noord-Brabant;P30;3063;2903;0;;2903;2808;43;11;4;4;8;;2;23
Millingen aan de Rijn;G0265;10072;Gelderland;P25;1929;1683;0;;1683;1448;153;4;7;10;23;2;6;30
Moergestel;G0816;11191;Noord-Brabant;P30;1488;1437;0;;1437;1371;38;1;;7;4;;4;12
Moerkapelle;G0560;11383;Zuid-Holland;P28;532;499;0;;499;;106;223;40;31;;96;3;
Molenaarsgraaf;G0561;10166;Zuid-Holland;P28;347;309;0;;309;;40;143;29;19;2;75;;1
Monnickendam;G0423;10983;Noord-Holland;P27;1610;1521;0;;1521;339;267;204;422;142;107;2;31;7
Monster;G0562;10019;Zuid-Holland;P28;6462;6202;0;;6202;2706;605;1029;567;148;34;620;26;467
Montfoort;G0335;10033;Utrecht;P26;1214;1140;0;;1140;763;48;97;97;9;1;70;4;51
Montfort;G0943;10266;Limburg;P31;845;815;0;;815;784;19;2;;1;5;;;4
Mook en Middelaar;G0944;10271;Limburg;P31;1059;1019;0;;1019;907;53;8;1;8;8;1;4;29
Moordrecht;G0563;10120;Zuid-Holland;P28;1698;1556;0;;1556;160;515;349;82;219;9;212;10;
Muiden;G0424;10958;Noord-Holland;P27;1864;1775;0;;1775;388;428;316;436;82;71;26;13;15
Munstergeleen;G0945;10273;Limburg;P31;860;798;0;;798;704;62;5;;3;8;;3;13
Muntendam;G0029;10550;Groningen;P20;2206;1986;0;;1986;29;1098;171;182;149;301;;52;4
Naaldwijk;G0565;11418;Zuid-Holland;P28;7884;7727;0;;7727;2388;1094;1802;1314;700;35;129;15;250
Naarden;G0425;10187;Noord-Holland;P27;6843;5932;0;;5932;1095;1449;925;431;1421;233;118;141;119
Nederhemert;G1115;10310;Gelderland;P25;651;590;0;;590;4;93;129;34;9;3;312;4;2
Nederhorst den Berg;G0426;10715;Noord-Holland;P27;1310;1222;0;;1222;401;136;256;277;14;115;6;6;11
Nederweert;G0946;10681;Limburg;P31;3954;3741;0;;3741;3669;13;1;2;1;3;2;7;43
Neede;G0266;10367;Gelderland;P25;4023;3796;0;;3796;682;1800;335;309;516;113;3;35;3
Neer;G0947;10682;Limburg;P31;1195;1170;0;;1170;1147;15;;1;;3;1;1;2
Nibbixwoud;G0427;10091;Noord-Holland;P27;866;836;0;;836;521;160;9;12;105;24;;4;1
Nieuw- en Sint Joosland;G1117;11340;Zeeland;P29;806;733;0;;733;5;172;132;239;41;1;108;34;1
Nieuw-Beijerland;G0566;10092;Zuid-Holland;P28;1043;922;0;;922;9;333;198;37;78;3;261;2;1
Nieuwe Niedorp;G0428;10073;Noord-Holland;P27;1171;1073;0;;1073;231;477;38;14;139;162;1;11;
Nieuwe Pekela;G0030;10950;Groningen;P20;3150;2781;0;;2781;209;769;610;469;209;432;17;59;7
Nieuwe Tonge;G1119;10502;Zuid-Holland;P28;1298;1156;0;;1156;15;386;333;26;60;3;328;5;
Nieuwenhagen;G0948;10088;Limburg;P31;2585;2317;0;;2317;1766;195;17;5;11;256;1;27;39
Nieuwenhoorn;G1121;10338;Zuid-Holland;P28;1056;986;0;;986;3;528;72;39;287;37;2;15;3
Nieuwer-Amstel;G1249;10799;Noord-Holland;P27;11920;10801;0;;10801;2990;2144;2061;1520;1262;442;91;133;158
Nieuwerkerk;G1122;10911;Zeeland;P29;1134;1021;0;;1021;3;258;264;106;140;2;228;15;5
Nieuwerkerk aan den IJssel;G0567;10855;Zuid-Holland;P28;2346;2197;0;;2197;184;694;325;434;208;26;311;12;3
Nieuweschans;G0031;10008;Groningen;P20;1178;1012;0;;1012;12;356;54;56;102;386;2;36;8
Nieuw-Ginneken;G0817;10406;Noord-Brabant;P30;2837;2699;0;;2699;2348;201;26;15;32;18;3;5;51
Nieuw-Helvoet;G1118;10264;Zuid-Holland;P28;1468;1394;0;;1394;12;752;128;76;327;22;13;62;2
Nieuwkoop;G0569;10728;Zuid-Holland;P28;1914;1847;0;;1847;935;156;163;310;145;10;75;11;42
Nieuwland;G0570;11213;Zuid-Holland;P28;379;344;0;;344;3;80;139;19;41;7;52;3;
Nieuw-Lekkerland;G0571;10547;Zuid-Holland;P28;2370;2169;0;;2169;9;517;540;254;123;40;664;20;2
Nieuwleusen;G0170;10384;Overijssel;P23;2383;2165;0;;2165;14;359;448;993;179;11;133;26;2
Nieuwolda;G0032;10126;Groningen;P20;1145;1023;0;;1023;5;388;195;190;173;51;4;17;
Nieuwpoort;G0572;10748;Zuid-Holland;P28;489;452;0;;452;;73;159;33;70;5;111;;1
Nieuwstadt;G0949;11140;Limburg;P31;736;707;0;;707;665;17;2;3;1;5;1;1;12
Nieuwveen;G0573;10487;Zuid-Holland;P28;1129;963;0;;963;417;90;182;171;45;6;17;10;25
Nieuwvliet;G0690;11165;Zeeland;P29;317;294;0;;294;8;82;35;42;115;1;2;9;
Nieuw-Vossemeer;G0818;10401;Noord-Brabant;P30;882;800;0;;800;705;27;16;27;10;4;1;5;5
Nigtevecht;G0337;10160;Utrecht;P26;439;467;0;;467;35;116;127;154;14;13;5;3;
Nijeveen;G0121;10774;Drenthe;P22;887;847;0;;847;3;224;212;258;139;3;1;7;
Nijkerk;G0267;10446;Gelderland;P25;6502;6182;0;;6182;415;1051;1627;2206;120;64;649;27;23
Nijmegen;G0268;11209;Gelderland;P25;58582;53184;0;;53184;32289;9725;1741;1851;2303;2108;108;730;2329
Nisse;G0691;11086;Zeeland;P29;424;390;0;;390;60;40;43;146;15;;66;11;9
Nistelrode;G0819;10094;Noord-Brabant;P30;1708;1753;0;;1753;1643;46;24;19;6;4;1;4;6
Noorbeek;G0950;10283;Limburg;P31;452;434;0;;434;382;15;3;7;2;1;1;2;21
Noordbroek;G1126;10814;Groningen;P20;1307;1137;0;;1137;16;479;66;84;237;187;3;59;6
Noorddijk;G1127;10979;Groningen;P20;1507;1298;0;;1298;21;504;205;139;235;88;2;93;11
Noordeloos;G0574;10296;Zuid-Holland;P28;741;696;0;;696;4;121;335;26;109;;97;4;
Noordgouwe;G1128;11107;Zeeland;P29;553;525;0;;525;1;198;117;89;82;2;31;5;
Noordoostelijke Polder;G1404;10144;Niet-provinciaal ingedeeld;P99;1268;3885;0;;3885;856;1024;712;419;123;657;72;14;8
Noordwelle;G1129;10055;Zeeland;P29;270;271;0;;271;6;117;35;38;48;9;13;5;
Noordwijk;G0575;10769;Zuid-Holland;P28;7923;7819;0;;7819;3089;1091;1274;1153;677;153;43;80;259
Noordwijkerhout;G0576;11134;Zuid-Holland;P28;4141;3517;0;;3517;3006;104;50;238;22;13;5;9;70
Nootdorp;G0577;10601;Zuid-Holland;P28;1105;1064;0;;1064;713;87;68;129;34;1;14;11;7
Norg;G0120;10608;Drenthe;P22;2528;2337;0;;2337;76;982;373;285;522;49;9;36;5
Nuenen, Gerwen en Nederwetten;G0820;10761;Noord-Brabant;P30;2637;2503;0;;2503;2211;130;21;70;32;23;;5;11
Nuland;G0821;10118;Noord-Brabant;P30;821;765;0;;765;744;10;2;4;2;;;;3
Numansdorp;G0578;11346;Zuid-Holland;P28;2587;2419;0;;2419;18;854;699;346;266;18;215;3;
Nuth;G0951;10104;Limburg;P31;2399;2265;0;;2265;1873;248;7;17;2;74;2;3;39
Obbicht en Papenhoven;G0952;10388;Limburg;P31;813;743;0;;743;655;55;2;3;4;8;2;2;12
Obdam;G0429;11338;Noord-Holland;P27;1077;1047;0;;1047;915;89;;6;20;10;;2;5
Odijk;G1131;11003;Utrecht;P26;293;287;0;;287;167;18;18;42;11;2;21;3;5
Odoorn;G0122;11320;Drenthe;P22;6818;5829;0;;5829;333;2336;692;724;1155;511;13;59;6
Oeffelt;G0822;10360;Noord-Brabant;P30;783;741;0;;741;721;15;1;2;;1;;1;
Oegstgeest;G0579;10287;Zuid-Holland;P28;5779;5221;0;;5221;1077;868;1103;1078;719;54;92;76;154
Ohé en Laak;G0953;10420;Limburg;P31;358;350;0;;350;333;6;;4;2;;1;1;3
Oirsbeek;G0954;10504;Limburg;P31;1260;1139;0;;1139;1068;23;5;2;4;9;;2;26
Oirschot;G0823;10225;Noord-Brabant;P30;3141;3079;0;;3079;2911;76;18;26;9;9;;4;26
Oisterwijk;G0824;10103;Noord-Brabant;P30;4355;4469;0;;4469;3266;758;84;36;102;68;7;17;131
Oldebroek;G0269;11106;Gelderland;P25;5921;5518;0;;5518;180;1107;1596;1319;141;32;1096;39;8
Oldehove;G0035;10298;Groningen;P20;1386;1312;0;;1312;3;328;667;112;163;2;;37;
Oldekerk;G0036;11332;Groningen;P20;1136;1058;0;;1058;7;212;573;124;123;5;2;9;3
Oldemarkt;G0172;10858;Overijssel;P23;1775;1658;0;;1658;214;495;136;732;55;13;3;9;1
Oldenzaal;G0173;11100;Overijssel;P23;6360;6098;0;;6098;4592;687;196;180;227;80;10;24;102
Olst;G0174;10409;Overijssel;P23;3866;3593;0;;3593;915;1257;200;222;705;241;26;17;10
Ommen;G0175;11069;Overijssel;P23;5683;5675;0;;5675;530;910;1701;1927;441;46;74;28;18
Onstwedde;G1250;10610;Groningen;P20;11056;10080;0;;10080;1212;2390;2335;2436;457;1008;64;165;13
Ooltgensplaat;G1133;11163;Zuid-Holland;P28;1765;1635;0;;1635;247;459;332;188;77;7;302;15;8
Oost- en West-Souburg;G1135;11396;Zeeland;P29;3077;2990;0;;2990;139;1168;663;662;105;105;95;45;8
Oost-, West- en Middelbeers;G0825;10220;Noord-Brabant;P30;944;916;0;;916;890;12;4;6;3;;;;1
Oostburg;G0692;10782;Zeeland;P29;1685;1742;0;;1742;504;464;191;108;277;54;37;75;32
Oostdongeradeel;G0084;11102;Fryslân;P21;4649;4339;0;;4339;13;390;2576;1161;153;15;18;11;2
Oosterhesselen;G0123;10490;Drenthe;P22;1846;1656;0;;1656;2;659;523;163;247;49;3;9;1
Oosterhout;G0826;11280;Noord-Brabant;P30;9761;9222;0;;9222;8454;447;86;47;24;27;7;33;97
Oosterland;G1136;11237;Zeeland;P29;1117;995;0;;995;9;263;137;146;92;8;328;12;
Oosthuizen;G0430;11121;Noord-Holland;P27;581;537;0;;537;37;303;14;23;91;58;;11;
Oostkapelle;G1137;10720;Zeeland;P29;1079;955;0;;955;8;128;343;215;60;8;177;13;3
Ooststellingwerf;G0085;10836;Fryslân;P21;9509;8521;0;;8521;114;3094;1680;1213;551;1223;10;619;17
Oostvoorne;G0581;10009;Zuid-Holland;P28;2626;2828;0;;2828;103;1228;255;141;761;257;8;67;8
Oostzaan;G0431;11303;Noord-Holland;P27;2747;2536;0;;2536;43;906;330;64;284;780;36;91;2
Ootmarsum;G0176;11079;Overijssel;P23;989;1096;0;;1096;840;125;29;38;39;13;2;5;5
Ophemert;G0270;10829;Gelderland;P25;809;714;0;;714;17;281;99;160;105;6;37;9;
Oploo, Sint Anthonis en Ledeacker;G0827;11415;Noord-Brabant;P30;2386;2292;0;;2292;2244;18;6;11;1;2;2;4;4
Opmeer;G0432;10609;Noord-Holland;P27;342;327;0;;327;208;84;4;;22;8;;;1
Opperdoes;G0433;10523;Noord-Holland;P27;707;676;0;;676;2;118;346;131;28;8;38;5;
Opsterland;G0086;10005;Fryslân;P21;12068;10572;0;;10572;81;3599;2299;896;958;2239;11;481;8
Oss;G0828;10834;Noord-Brabant;P30;11028;10174;0;;10174;7759;1653;135;58;251;169;11;35;103
Ossendrecht;G0829;10929;Noord-Brabant;P30;1878;1659;0;;1659;1275;271;46;20;20;8;2;11;6
Oterleek;G0434;10133;Noord-Holland;P27;510;455;0;;455;56;237;33;13;81;29;1;5;
Ottersum;G0955;10862;Limburg;P31;1359;1331;0;;1331;1283;28;4;1;2;8;;3;2
Ottoland;G0582;10097;Zuid-Holland;P28;368;348;0;;348;4;22;221;38;19;2;41;1;
Oud- en Nieuw-Gastel;G0831;11363;Noord-Brabant;P30;3760;3494;0;;3494;3149;214;18;54;6;18;1;13;21
Oud-Alblas;G0583;10826;Zuid-Holland;P28;743;677;0;;677;2;92;258;128;32;2;159;4;
Oud-Beijerland;G0584;11301;Zuid-Holland;P28;4036;3683;0;;3683;162;903;1305;249;364;15;666;17;2
Ouddorp;G1142;11126;Zuid-Holland;P28;2385;2169;0;;2169;19;157;777;138;137;10;922;8;1
Oude Niedorp;G0436;10896;Noord-Holland;P27;808;758;0;;758;554;101;17;6;46;29;1;2;2
Oude Pekela;G0038;10848;Groningen;P20;4176;3694;0;;3694;263;1479;430;272;303;873;9;62;3
Oude Tonge;G1143;10714;Zuid-Holland;P28;1779;1586;0;;1586;386;486;212;49;113;12;316;5;7
Oudelande;G0695;11139;Zeeland;P29;510;476;0;;476;52;83;89;165;43;2;24;15;3
Oudenbosch;G0830;10397;Noord-Brabant;P30;3292;3064;0;;3064;2739;200;35;36;18;11;2;5;18
Oudendijk;G0435;11090;Noord-Holland;P27;291;273;0;;273;11;145;9;6;49;47;;5;1
Oudenhoorn;G0586;10380;Zuid-Holland;P28;547;509;0;;509;3;222;63;38;131;39;10;3;
Oudenrijn;G1144;10114;Utrecht;P26;801;725;0;;725;242;75;172;118;61;3;16;6;32
Ouder-Amstel;G0437;10998;Noord-Holland;P27;3174;2924;0;;2924;1202;470;448;523;115;98;22;20;26
Ouderkerk aan den IJssel;G0587;10095;Zuid-Holland;P28;2128;1892;0;;1892;3;331;624;58;221;19;617;17;2
Oudewater;G0589;10188;Zuid-Holland;P28;1878;1771;0;;1771;858;167;286;260;61;6;65;14;54
Oudorp;G0438;10363;Noord-Holland;P27;1143;1076;0;;1076;553;294;52;31;73;54;2;12;5
Oud-Vossemeer;G0696;10134;Zeeland;P29;1274;1139;0;;1139;274;111;254;269;103;9;104;9;6
Ouwerkerk;G1148;10968;Zeeland;P29;372;339;0;;339;3;199;29;16;53;1;26;12;
Overasselt;G0271;10952;Gelderland;P25;1290;1234;0;;1234;1170;21;3;28;;1;3;4;4
Overslag;G0697;10730;Zeeland;P29;147;134;0;;134;85;22;4;12;4;;2;1;4
Ovezande;G0698;11422;Zeeland;P29;870;758;0;;758;562;12;18;110;5;1;2;1;47
Pannerden;G0272;10518;Gelderland;P25;761;687;0;;687;649;28;3;2;2;;;;3
Papekop;G1151;11244;Zuid-Holland;P28;234;225;0;;225;83;4;63;62;;1;12;;
Papendrecht;G0590;10427;Zuid-Holland;P28;3229;2868;0;;2868;43;916;1053;201;139;106;393;14;3
Peize;G0124;10501;Drenthe;P22;1610;1312;0;;1312;19;650;64;66;293;178;;39;3
Peursum;G1154;10391;Zuid-Holland;P28;252;230;0;;230;;35;98;17;51;;29;;
Philippine;G0699;10486;Zeeland;P29;632;588;0;;588;487;49;14;12;4;2;2;10;8
Piershil;G0591;10179;Zuid-Holland;P28;542;472;0;;472;1;121;136;35;72;3;102;2;
Pijnacker;G0594;10031;Zuid-Holland;P28;3990;3708;0;;3708;1161;508;520;990;176;40;238;17;58
