RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);Anti-Revolutionaire Partij;VVD;Christelijk-Historische Unie;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Nationale Unie (Algemeen Christelijk);Nederlandse Oppositie Unie
Nieuw-Ginneken;G0817;10406;Noord-Brabant;P30;3274;3209;39;;3170;280;2790;28;34;23;4;2;2;7;
Nieuw-Helvoet;G1118;10264;Zuid-Holland;P28;1444;1414;22;;1392;909;26;94;277;61;13;8;2;1;1
Nieuwkoop;G0569;10728;Zuid-Holland;P28;2071;2091;20;;2071;236;1105;156;178;299;4;86;1;1;5
Nieuwland;G0570;11213;Zuid-Holland;P28;367;342;5;;337;90;1;106;42;20;2;65;9;1;1
Nieuw-Lekkerland;G0571;10547;Zuid-Holland;P28;2704;2560;34;;2526;847;19;459;146;236;36;739;34;3;7
Nieuwleusen;G0170;10384;Overijssel;P23;2541;2400;52;;2348;540;16;367;257;986;5;130;39;4;4
Nieuwolda;G0032;10126;Groningen;P20;1131;1061;10;;1051;542;8;167;159;151;21;;;2;1
Nieuwpoort;G0572;10748;Zuid-Holland;P28;497;469;8;;461;144;1;137;58;14;;102;4;;1
Nieuwstadt;G0949;11140;Limburg;P31;841;839;12;;827;92;728;;;4;3;;;;
Nieuwveen;G0573;10487;Zuid-Holland;P28;1235;1197;28;;1169;147;497;237;37;215;2;31;1;2;
Nieuwvliet;G0690;11165;Zeeland;P29;316;302;9;;293;133;2;13;106;35;1;2;;;1
Nieuw-Vossemeer;G0818;10401;Noord-Brabant;P30;879;848;23;;825;61;705;7;15;21;3;;;;13
Nigtevecht;G0337;10160;Utrecht;P26;513;488;9;;479;140;41;89;22;158;11;7;8;3;
Nijeveen;G0121;10774;Drenthe;P22;950;906;13;;893;215;;243;157;273;2;;3;;
Nijkerk;G0267;10446;Gelderland;P25;7558;7344;80;;7264;1923;515;1660;164;2258;38;635;50;5;16
Nijmegen;G0268;11209;Gelderland;P25;66560;64053;1290;;62763;16943;38241;1402;2559;1682;1168;80;55;368;265
Nisse;G0691;11086;Zeeland;P29;399;374;6;;368;76;70;34;19;93;2;60;4;1;9
Nistelrode;G0819;10094;Noord-Brabant;P30;1938;1908;17;;1891;75;1810;;3;;1;;;;2
Noorbeek;G0950;10283;Limburg;P31;461;491;4;;487;27;440;11;2;2;1;;;3;1
Noordbroek;G1126;10814;Groningen;P20;1292;1205;53;;1152;666;23;28;235;50;131;2;4;5;8
Noorddijk;G1127;10979;Groningen;P20;1590;1526;59;;1467;751;25;115;358;84;50;4;55;6;19
Noordeloos;G0574;10296;Zuid-Holland;P28;725;701;9;;692;141;;298;106;34;;108;3;;2
Noordgouwe;G1128;11107;Zeeland;P29;546;535;9;;526;255;5;68;82;79;1;30;;4;2
Noordoostelijke Polder;G1404;10144;Niet-provinciaal ingedeeld;P99;9628;10292;70;;10222;2806;2585;2030;781;1490;110;243;166;5;6
Noordwelle;G1129;10055;Zeeland;P29;217;203;5;;198;75;2;15;61;32;1;8;1;;3
Noordwijk;G0575;10769;Zuid-Holland;P28;9181;8540;96;;8444;1764;3848;998;580;979;104;68;18;43;42
Noordwijkerhout;G0576;11134;Zuid-Holland;P28;4891;4350;34;;4316;253;3701;55;32;221;13;8;;28;5
Nootdorp;G0577;10601;Zuid-Holland;P28;1358;1332;4;;1328;125;910;77;45;147;1;13;4;1;5
Norg;G0120;10608;Drenthe;P22;2817;2772;72;;2700;1306;73;349;620;248;21;5;28;10;40
Nuenen, Gerwen en Nederwetten;G0820;10761;Noord-Brabant;P30;3057;3003;41;;2962;310;2503;24;31;72;13;;;3;6
Nuland;G0821;10118;Noord-Brabant;P30;1125;1103;14;;1089;24;1061;1;2;;;;1;;
Numansdorp;G0578;11346;Zuid-Holland;P28;2721;2608;25;;2583;1145;13;491;242;363;9;309;1;4;6
Nuth;G0951;10104;Limburg;P31;2922;2910;39;;2871;504;2315;10;8;10;14;;2;;8
Obbicht en Papenhoven;G0952;10388;Limburg;P31;966;945;21;;924;199;708;;5;5;3;;1;2;1
Obdam;G0429;11338;Noord-Holland;P27;1231;1213;5;;1208;67;1093;2;39;4;1;;;2;
Odijk;G1131;11003;Utrecht;P26;344;334;1;;333;42;190;8;6;63;1;23;;;
Odoorn;G0122;11320;Drenthe;P22;6917;6622;348;;6274;3224;340;521;1034;673;353;18;91;7;13
Oeffelt;G0822;10360;Noord-Brabant;P30;825;812;5;;807;26;776;2;;2;1;;;;
Oegstgeest;G0579;10287;Zuid-Holland;P28;7290;6423;55;;6368;1212;1468;1042;1326;1064;30;120;39;56;11
Ohé en Laak;G0953;10420;Limburg;P31;366;365;8;;357;18;334;1;;2;;;;;2
Oirsbeek;G0954;10504;Limburg;P31;1419;1412;33;;1379;77;1282;3;6;7;1;;;1;2
Oirschot;G0823;10225;Noord-Brabant;P30;3842;3744;28;;3716;180;3430;29;23;29;3;3;3;5;11
Oisterwijk;G0824;10103;Noord-Brabant;P30;5232;5385;77;;5308;1149;3857;123;83;43;20;10;1;13;9
Oldebroek;G0269;11106;Gelderland;P25;7207;7132;139;;6993;1805;306;1504;209;1613;64;1119;327;36;10
Oldehove;G0035;10298;Groningen;P20;1322;1288;11;;1277;366;5;480;173;110;4;1;133;2;3
Oldekerk;G0036;11332;Groningen;P20;1092;1071;13;;1058;228;4;511;154;112;5;2;42;;
Oldemarkt;G0172;10858;Overijssel;P23;1809;1745;15;;1730;620;220;129;53;700;3;;2;2;1
Oldenzaal;G0173;11100;Overijssel;P23;9990;9700;131;;9569;1158;7572;160;273;263;63;7;56;8;9
Olst;G0174;10409;Overijssel;P23;4214;4109;44;;4065;1706;1071;129;660;359;83;22;4;2;29
Ommen;G0175;11069;Overijssel;P23;6229;6198;55;;6143;1132;593;1504;363;2115;15;84;305;12;20
Onstwedde;G1250;10610;Groningen;P20;11815;11080;287;;10793;3550;1365;2007;533;2260;718;72;246;19;23
Ooltgensplaat;G1133;11163;Zuid-Holland;P28;1731;1660;32;;1628;502;279;271;71;253;8;240;2;;2
Oost- en West-Souburg;G1135;11396;Zeeland;P29;3804;3653;70;;3583;1643;147;697;158;705;29;164;12;14;14
Oost-, West- en Middelbeers;G0825;10220;Noord-Brabant;P30;1104;1090;3;;1087;24;1048;4;3;6;;2;;;
Oostburg;G0692;10782;Zeeland;P29;2182;2086;44;;2042;660;659;170;338;145;7;39;9;6;9
Oostdongeradeel;G0084;11102;Fryslân;P21;4457;4305;40;;4265;428;14;2517;161;1101;6;18;3;7;10
Oosterhesselen;G0123;10490;Drenthe;P22;1979;1918;75;;1843;758;2;473;306;184;40;3;60;3;14
Oosterhout;G0826;11280;Noord-Brabant;P30;11506;11344;192;;11152;1136;9741;75;80;53;21;8;4;8;26
Oosterland;G1136;11237;Zeeland;P29;1090;986;14;;972;294;11;64;100;148;6;347;;1;1
Oosthuizen;G0430;11121;Noord-Holland;P27;662;648;9;;639;386;55;12;136;23;25;1;;;1
Oostkapelle;G1137;10720;Zeeland;P29;1070;1029;14;;1015;201;11;311;83;236;;149;11;4;9
Ooststellingwerf;G0085;10836;Fryslân;P21;10192;9978;428;;9550;4869;116;1616;931;1184;666;14;105;24;25
Oostvoorne;G0581;10009;Zuid-Holland;P28;2620;2807;59;;2748;1465;86;183;675;169;137;16;;3;14
Oostzaan;G0431;11303;Noord-Holland;P27;2902;2752;83;;2669;1212;47;191;379;179;599;51;3;6;2
Ootmarsum;G0176;11079;Overijssel;P23;1193;1250;5;;1245;127;1027;10;30;45;3;1;;2;
Ophemert;G0270;10829;Gelderland;P25;811;741;23;;718;339;22;65;81;178;;31;;;2
Oploo, Sint Anthonis en Ledeacker;G0827;11415;Noord-Brabant;P30;2553;2488;11;;2477;23;2426;5;13;7;;1;;2;
Opmeer;G0432;10609;Noord-Holland;P27;386;372;2;;370;84;244;7;25;5;4;;;;1
Opperdoes;G0433;10523;Noord-Holland;P27;701;671;6;;665;96;4;342;34;124;2;62;1;;
Opsterland;G0086;10005;Fryslân;P21;12204;11490;349;;11141;5707;84;1980;1247;799;921;9;314;22;58
Oss;G0828;10834;Noord-Brabant;P30;13769;13350;266;;13084;3186;9199;198;275;89;46;7;7;63;14
Ossendrecht;G0829;10929;Noord-Brabant;P30;2402;2305;73;;2232;466;1547;78;66;45;7;9;;7;7
Oterleek;G0434;10133;Noord-Holland;P27;521;493;10;;483;285;54;22;89;16;12;1;;;4
Ottersum;G0955;10862;Limburg;P31;1562;1528;16;;1512;59;1423;8;5;7;2;;3;;5
Ottoland;G0582;10097;Zuid-Holland;P28;377;364;2;;362;38;1;197;21;52;;50;2;1;
Oud- en Nieuw-Gastel;G0831;11363;Noord-Brabant;P30;4010;3949;85;;3864;302;3464;14;12;43;11;;;9;9
Oud-Alblas;G0583;10826;Zuid-Holland;P28;760;723;11;;712;146;4;215;30;109;2;200;1;2;3
Oud-Beijerland;G0584;11301;Zuid-Holland;P28;4272;3988;48;;3940;1327;151;1073;374;318;21;665;3;4;4
Ouddorp;G1142;11126;Zuid-Holland;P28;2498;2228;12;;2216;346;14;458;137;136;6;1110;1;3;5
Oude Niedorp;G0436;10896;Noord-Holland;P27;796;770;4;;766;123;579;13;43;2;6;;;;
Oude Pekela;G0038;10848;Groningen;P20;4436;4165;111;;4054;1994;296;345;290;275;809;10;15;1;19
Oude Tonge;G1143;10714;Zuid-Holland;P28;1604;1480;7;;1473;517;344;142;149;54;2;264;1;;
Oudelande;G0695;11139;Zeeland;P29;498;497;7;;490;140;66;70;58;125;2;28;;;1
Oudenbosch;G0830;10397;Noord-Brabant;P30;3881;3782;64;;3718;365;3173;37;48;44;12;3;2;20;14
Oudendijk;G0435;11090;Noord-Holland;P27;293;288;2;;286;213;11;9;36;2;15;;;;
Oudenhoorn;G0586;10380;Zuid-Holland;P28;570;547;18;;529;295;;33;112;59;11;12;;1;6
Ouder-Amstel;G0437;10998;Noord-Holland;P27;3603;3462;45;;3417;767;1405;379;214;521;55;39;8;12;17
Ouderkerk aan den IJssel;G0587;10095;Zuid-Holland;P28;2341;2048;21;;2027;521;5;460;252;61;16;706;3;1;2
Oudewater;G0589;10188;Zuid-Holland;P28;2057;2008;14;;1994;289;1057;244;82;246;;69;1;5;1
Oudorp;G0438;10363;Noord-Holland;P27;1186;1139;14;;1125;332;582;51;100;25;30;;2;2;1
Oud-Vossemeer;G0696;10134;Zeeland;P29;1277;1211;17;;1194;214;306;189;87;252;2;132;1;3;8
Ouwerkerk;G1148;10968;Zeeland;P29;293;292;3;;289;183;2;17;45;15;4;22;;;1
Overasselt;G0271;10952;Gelderland;P25;1444;1435;7;;1428;29;1370;2;1;26;;;;;
Overslag;G0697;10730;Zeeland;P29;146;140;8;;132;24;93;;1;12;;2;;;
Ovezande;G0698;11422;Zeeland;P29;807;785;4;;781;31;644;11;4;87;;;;2;2
Pannerden;G0272;10518;Gelderland;P25;895;867;10;;857;38;805;2;1;5;3;1;;1;1
Papekop;G1151;11244;Zuid-Holland;P28;241;236;1;;235;11;91;48;6;55;;20;;4;
Papendrecht;G0590;10427;Zuid-Holland;P28;4088;3827;69;;3758;1611;96;1024;191;282;98;425;11;11;9
Peize;G0124;10501;Drenthe;P22;1692;1610;86;;1524;898;15;35;423;58;78;;1;2;14
Peursum;G1154;10391;Zuid-Holland;P28;273;259;5;;254;48;1;95;39;31;3;36;1;;
Philippine;G0699;10486;Zeeland;P29;628;616;21;;595;94;462;11;2;19;2;4;1;;
Piershil;G0591;10179;Zuid-Holland;P28;547;498;11;;487;177;1;80;53;52;4;120;;;
Pijnacker;G0594;10031;Zuid-Holland;P28;4569;4437;51;;4386;723;1564;410;245;1095;23;260;33;11;22
Polsbroek;G0338;10993;Utrecht;P26;535;517;8;;509;64;97;160;29;79;;78;;1;1
Poortugal;G0592;11395;Zuid-Holland;P28;2224;1757;42;;1715;703;153;330;192;255;14;57;7;;4
Poortvliet;G0700;11181;Zeeland;P29;969;893;15;;878;194;6;106;24;176;1;361;1;5;4
Posterholt;G0956;10456;Limburg;P31;1480;1464;17;;1447;104;1330;;5;;3;;1;3;1
Prinsenbeek;G0832;11354;Noord-Brabant;P30;2256;2221;33;;2188;152;2018;6;5;;3;;1;;3
Purmerend;G0439;11066;Noord-Holland;P27;4502;4340;52;;4288;1697;1262;199;562;127;406;9;3;12;11
Putte;G0833;10099;Noord-Brabant;P30;1035;1004;49;;955;193;682;26;13;10;11;5;2;5;8
Putten;G0273;11109;Gelderland;P25;6231;6382;144;;6238;1618;159;906;255;2460;112;661;13;7;47
Puttershoek;G0593;10222;Zuid-Holland;P28;1731;1604;29;;1575;757;53;252;177;194;6;133;;1;2
Raalte;G0177;10279;Overijssel;P23;7142;7025;35;;6990;757;5141;77;87;886;3;5;3;16;15
Raamsdonk;G0834;11391;Noord-Brabant;P30;4464;4123;77;;4046;333;2883;159;67;463;27;103;;4;7
Rauwerderhem;G0087;10330;Fryslân;P21;1550;1468;20;;1448;796;195;152;179;99;7;2;6;3;9
Ravenstein;G0835;10805;Noord-Brabant;P30;2854;2890;22;;2868;198;2612;26;9;17;3;;;2;1
Reeuwijk;G0595;10485;Zuid-Holland;P28;3005;2886;54;;2832;767;813;462;339;185;53;192;7;6;8
Renesse;G1159;10412;Zeeland;P29;622;660;13;;647;248;20;51;183;104;10;28;;1;2
Renkum;G0274;11325;Gelderland;P25;15973;15086;249;;14837;4380;3270;2375;1913;2035;191;372;57;94;150
Renswoude;G0339;10269;Utrecht;P26;1301;1230;26;;1204;282;35;197;47;438;2;189;1;9;4
Retranchement;G0701;10400;Zeeland;P29;390;383;9;;374;206;9;29;77;50;1;;;1;1
Reusel;G0836;10162;Noord-Brabant;P30;1801;1773;8;;1765;21;1739;;2;1;;;2;;
Rheden;G0275;11355;Gelderland;P25;21042;20549;322;;20227;8824;3506;1887;2307;3062;285;96;43;109;108
Rhenen;G0340;10309;Utrecht;P26;6589;6353;121;;6232;2769;251;487;387;1304;33;948;5;23;25
Rhoon;G0596;10903;Zuid-Holland;P28;2349;2228;36;;2192;511;306;386;253;638;13;74;2;2;7
Ridderkerk;G0597;10646;Zuid-Holland;P28;12630;12022;194;;11828;4261;209;2696;720;1837;104;1893;58;16;34
Riethoven;G0837;10455;Noord-Brabant;P30;512;507;1;;506;3;503;;;;;;;;
Rietveld;G1160;10828;Zuid-Holland;P28;362;340;5;;335;43;82;55;17;107;1;30;;;
Rijnsaterwoude;G0601;11129;Zuid-Holland;P28;411;392;4;;388;50;158;66;11;61;2;40;;;
Rijnsburg;G0602;11118;Zuid-Holland;P28;3114;3065;14;;3051;357;102;1406;24;935;3;120;102;1;1
Rijsbergen;G0841;10866;Noord-Brabant;P30;1822;1787;19;;1768;72;1659;15;4;12;2;;1;;3
Rijssen;G0178;10358;Overijssel;P23;7516;7088;59;;7029;1465;770;982;172;517;18;3080;10;6;9
Rijswijk;G0603;11133;Zuid-Holland;P28;16340;15430;228;;15202;4105;4526;1945;2533;1301;231;167;45;272;77
Rijswijk (NB);G0842;11016;Noord-Brabant;P30;460;439;2;;437;102;2;121;6;181;;25;;;
Rilland-Bath;G0702;10479;Zeeland;P29;1301;1250;19;;1231;366;129;106;110;327;;190;3;;
Ritthem;G1163;10652;Zeeland;P29;308;301;3;;298;60;2;47;9;149;;29;2;;
Rockanje;G0598;10464;Zuid-Holland;P28;2111;2117;86;;2031;863;47;304;534;97;155;9;1;3;18
Roden;G0125;10699;Drenthe;P22;3999;3854;146;;3708;1949;31;576;629;319;128;4;57;6;9
Roermond;G0957;11313;Limburg;P31;13214;12877;328;;12549;3096;8821;174;243;69;33;6;4;62;41
Roggel;G0958;10505;Limburg;P31;1396;1390;12;;1378;19;1353;1;;1;1;;2;;1
Rolde;G0126;10470;Drenthe;P22;2195;2103;71;;2032;1141;28;46;715;57;14;2;6;3;20
Roosendaal en Nispen;G0838;10407;Noord-Brabant;P30;19440;18855;604;;18251;3645;13216;315;205;225;67;19;7;115;437
Roosteren;G0959;10954;Limburg;P31;652;643;13;;630;28;593;5;1;1;1;;;;1
Rosmalen;G0839;10970;Noord-Brabant;P30;3949;3877;77;;3800;303;3425;15;25;18;5;;;3;6
Rossum;G0276;10860;Gelderland;P25;1279;1240;16;;1224;453;395;75;44;238;1;17;;;1
Rotterdam;G0599;10345;Zuid-Holland;P28;442286;411432;12248;;399184;188440;57675;37010;44450;25435;33575;8594;1788;1111;1106
Rozenburg;G0600;11314;Zuid-Holland;P28;1803;1743;19;;1724;304;3;510;152;673;2;28;48;4;
Rozendaal;G0277;10684;Gelderland;P25;405;380;7;;373;139;38;41;78;68;1;2;2;4;
Rucphen;G0840;11152;Noord-Brabant;P30;6665;6589;184;;6405;692;5585;50;19;9;21;8;1;3;17
Ruinen;G0127;10629;Drenthe;P22;3284;3136;122;;3014;1421;36;369;866;286;9;10;9;1;7
Ruinerwold;G0128;10944;Drenthe;P22;1759;1713;49;;1664;520;6;350;621;132;4;2;23;;6
Ruurlo;G0278;10879;Gelderland;P25;3064;2939;80;;2859;1142;681;159;666;185;7;2;;2;15
Ruwiel;G1164;10526;Utrecht;P26;339;327;1;;326;23;60;76;12;59;;94;2;;
Sas van Gent;G0704;11405;Zeeland;P29;2216;2135;64;;2071;776;1079;23;129;37;12;6;1;1;7
Sassenheim;G0604;10612;Zuid-Holland;P28;4578;4485;26;;4459;516;2096;974;210;550;22;53;6;28;4
Schaesberg;G0960;11335;Limburg;P31;6268;6138;154;;5984;1668;4006;83;15;62;124;5;2;7;12
Schagen;G0441;10511;Noord-Holland;P27;2824;2685;36;;2649;1095;693;94;557;90;110;2;1;3;4
Schaijk;G0843;10276;Noord-Brabant;P30;2044;2016;9;;2007;27;1965;1;6;;;;;4;4
Schalkwijk;G1169;10378;Utrecht;P26;906;898;8;;890;27;735;39;11;58;5;13;;2;
Scheemda;G0039;10711;Groningen;P20;4366;4221;120;;4101;1889;27;647;395;668;429;5;15;10;16
Schellinkhout;G0442;10772;Noord-Holland;P27;320;306;6;;300;175;14;6;89;9;7;;;;
Schelluinen;G0605;11399;Zuid-Holland;P28;274;260;3;;257;105;1;34;53;4;1;59;;;
Schermerhorn;G0443;10308;Noord-Holland;P27;643;627;12;;615;216;248;101;23;17;9;1;;;
Scherpenisse;G0705;10375;Zeeland;P29;844;752;9;;743;241;2;44;50;88;1;315;1;1;
Scherpenzeel;G0279;11146;Gelderland;P25;1475;1435;9;;1426;483;18;206;96;467;4;145;3;2;2
Schiedam;G0606;11260;Zuid-Holland;P28;44791;42807;742;;42065;17441;10804;3476;3087;3725;2168;684;400;169;111
Schiermonnikoog;G0088;10355;Fryslân;P21;455;618;10;;608;230;32;175;58;70;8;2;30;1;2
Schijndel;G0844;11178;Noord-Brabant;P30;6189;6074;53;;6021;413;5542;16;9;11;20;1;1;1;7
Schimmert;G0961;11076;Limburg;P31;1160;1145;10;;1135;36;1094;;;;1;;;;4
Schinnen;G0962;10132;Limburg;P31;2448;2415;47;;2368;207;2134;7;2;6;7;;2;1;2
Schinveld;G0963;10492;Limburg;P31;2015;1969;62;;1907;187;1668;14;3;10;13;1;1;4;6
Schipluiden;G0607;10130;Zuid-Holland;P28;2699;2642;15;;2627;123;1551;418;28;446;5;49;4;;3
Schoondijke;G0706;10189;Zeeland;P29;1253;1195;25;;1170;377;250;194;209;101;1;23;9;4;2
Schoonebeek;G0129;10064;Drenthe;P22;2977;2915;67;;2848;635;1031;420;141;597;13;4;6;;1
Schoonhoven;G0608;10980;Zuid-Holland;P28;3450;3322;52;;3270;1203;559;668;265;330;25;192;6;5;17
Schoonrewoerd;G0609;10214;Zuid-Holland;P28;645;597;5;;592;104;2;200;28;87;;167;3;1;
Schoorl;G0444;10627;Noord-Holland;P27;2046;2547;28;;2519;1147;633;119;362;69;152;1;1;16;19
Serooskerke (Schouwen);G1175;11014;Zeeland;P29;130;144;2;;142;84;2;10;13;25;1;5;1;1;
Serooskerke (Walcheren);G1176;11256;Zeeland;P29;945;897;13;;884;47;2;520;10;192;;92;20;1;
Sevenum;G0964;10045;Limburg;P31;2087;2056;12;;2044;16;2023;2;;;3;;;;
's-Graveland;G0390;10534;Noord-Holland;P27;1058;977;17;;960;211;168;158;97;226;17;64;6;7;6
's-Gravendeel;G0517;10052;Zuid-Holland;P28;3218;3075;41;;3034;1113;16;710;301;601;8;254;1;3;27
's-Gravenhage;G0518;11434;Zuid-Holland;P28;369524;345315;8091;;337224;127935;66688;36476;49774;22479;17878;4384;857;8614;2139
's-Gravenmoer;G0787;10469;Noord-Brabant;P30;836;799;9;;790;108;24;387;44;185;2;29;8;1;2
's-Gravenpolder;G0666;11059;Zeeland;P29;822;768;12;;756;90;66;97;13;191;3;294;1;1;
's-Gravenzande;G0519;10640;Zuid-Holland;P28;5045;4953;62;;4891;1280;347;1113;569;1229;10;326;7;6;4
's-Heer Abtskerke;G0669;10337;Zeeland;P29;262;244;2;;242;36;40;7;27;117;1;14;;;
's-Heer Arendskerke;G0670;10875;Zeeland;P29;2753;2594;37;;2557;453;529;567;128;720;2;143;6;6;3
's-Heerenhoek;G0671;10721;Zeeland;P29;794;770;10;;760;27;698;15;2;11;;;1;3;3
's-Hertogenbosch;G0796;10054;Noord-Brabant;P30;34480;33665;648;;33017;9043;21297;713;791;457;374;39;72;112;119
Sijbekarspel;G0447;11167;Noord-Holland;P27;776;761;4;;757;268;342;7;131;7;1;;;;1
Simpelveld;G0965;10515;Limburg;P31;2387;2368;80;;2288;240;2008;5;21;3;9;;;1;1
Sint Annaland;G0708;11200;Zeeland;P29;1689;1463;41;;1422;434;10;142;89;103;6;623;2;2;11
Sint Geertruid;G0966;10288;Limburg;P31;561;556;6;;550;11;538;;;;;;;1;
Sint Jansteen;G0709;10864;Zeeland;P29;2140;2079;91;;1988;403;1523;8;15;11;10;4;4;3;7
Sint Laurens;G1179;10106;Zeeland;P29;837;794;5;;789;120;8;297;48;216;2;94;4;;
Sint Maarten;G0445;10740;Noord-Holland;P27;756;726;13;;713;255;160;144;108;4;32;;9;;1
Sint Maartensdijk;G0711;10716;Zeeland;P29;1680;1494;35;;1459;698;7;101;104;141;5;390;;5;8
Sint Odiliënberg;G0967;10278;Limburg;P31;823;811;16;;795;67;719;2;2;;3;;;;2
Sint Pancras;G0446;10513;Noord-Holland;P27;965;918;6;;912;300;27;178;126;230;18;25;4;1;3
Sint Philipsland;G0712;10394;Zeeland;P29;1346;1219;8;;1211;176;3;154;30;186;4;657;;;1
Sint-Michielsgestel;G0845;10496;Noord-Brabant;P30;3733;3657;57;;3600;344;3189;8;10;26;17;2;1;;3
Sint-Oedenrode;G0846;10399;Noord-Brabant;P30;4813;4744;58;;4686;264;4331;12;27;18;28;1;1;3;1
Sittard;G0968;11230;Limburg;P31;13817;13516;348;;13168;3087;9548;160;158;87;55;8;6;36;23
Sleen;G0130;10489;Drenthe;P22;3716;3585;135;;3450;1624;24;475;693;358;260;3;4;3;6
Slenaken;G0969;11274;Limburg;P31;338;334;13;;321;46;251;8;2;11;1;;2;;
Sliedrecht;G0610;11331;Zuid-Holland;P28;9624;8861;170;;8691;3870;86;1149;740;982;189;1571;81;6;17
Slochteren;G0040;10747;Groningen;P20;8147;7774;401;;7373;3462;88;1099;1112;824;311;17;397;20;43
Sloten (F);G0089;10867;Fryslân;P21;427;440;6;;434;111;63;85;11;151;2;9;;1;1
Sluis;G0713;10895;Zeeland;P29;1427;1372;43;;1329;435;658;33;98;94;2;4;2;2;1
Smallingerland;G0090;10405;Fryslân;P21;11689;11362;172;;11190;5050;191;3322;682;928;555;45;368;8;41
Smilde;G0131;11033;Drenthe;P22;3764;3670;82;;3588;1387;15;988;253;817;37;5;77;2;7
Sneek;G0091;11421;Fryslân;P21;11245;10651;187;;10464;4021;1385;1983;867;1590;491;58;22;26;21
Snelrewaard;G0341;10802;Utrecht;P26;337;322;3;;319;16;177;34;15;39;;38;;;
Soest;G0342;11021;Utrecht;P26;14477;14001;352;;13649;3851;4219;1958;1788;1001;265;266;40;200;61
Someren;G0847;10203;Noord-Brabant;P30;4693;4624;35;;4589;156;4353;3;4;67;5;1;;;
Sommelsdijk;G1184;11097;Zuid-Holland;P28;2273;2103;27;;2076;677;25;554;226;72;5;506;6;1;4
Son en Breugel;G0848;10549;Noord-Brabant;P30;2247;2216;15;;2201;106;2050;14;13;8;2;1;;3;4
Spanbroek;G1186;10063;Noord-Holland;P27;1078;1069;5;;1064;126;891;7;33;2;5;;;;
Spaubeek;G0970;10552;Limburg;P31;985;974;21;;953;62;882;3;;1;3;;;1;1
Spijkenisse;G0612;10735;Zuid-Holland;P28;1832;1768;28;;1740;810;22;341;164;316;14;63;2;;8
Sprang-Capelle;G0849;11233;Noord-Brabant;P30;3466;3238;45;;3193;729;181;921;108;835;7;394;8;10;
Stad aan 't Haringvliet;G1188;11239;Zuid-Holland;P28;772;713;10;;703;184;6;231;81;71;1;127;1;1;
Stad Delden;G0179;10913;Overijssel;P23;2261;2175;18;;2157;459;1345;102;142;88;7;2;;4;8
Standdaarbuiten;G0850;11212;Noord-Brabant;P30;1195;1178;13;;1165;23;1109;6;2;21;;;;;4
Staphorst;G0180;11362;Overijssel;P23;5080;4891;67;;4824;812;14;1182;415;466;8;1632;276;10;9
Stavenisse;G0714;10619;Zeeland;P29;983;807;32;;775;221;5;54;47;71;2;365;1;3;6
Stavoren;G0092;10240;Fryslân;P21;613;554;3;;551;187;3;145;35;173;1;2;;2;3
Stedum;G0041;10771;Groningen;P20;1345;1302;14;;1288;356;3;472;115;260;18;4;48;8;4
Steenbergen;G0851;10731;Noord-Brabant;P30;6271;6108;195;;5913;824;4707;70;142;101;16;30;2;7;14
Steenderen;G0280;10497;Gelderland;P25;2295;2243;16;;2227;416;993;300;158;343;2;11;;1;3
Steenwijk;G0181;10546;Overijssel;P23;5773;5589;122;;5467;2650;313;750;513;960;127;41;73;34;6
Steenwijkerwold;G0182;11347;Overijssel;P23;4281;4202;67;;4135;1633;652;331;280;1079;71;23;60;3;3
Stein;G0971;11319;Limburg;P31;3653;3616;133;;3483;559;2828;22;9;28;22;2;3;4;6
Stellendam;G1195;10087;Zuid-Holland;P28;1072;984;25;;959;329;5;316;73;95;4;135;1;1;
Stevensweert;G0972;11203;Limburg;P31;757;760;13;;747;52;673;1;9;6;4;;;1;1
Stiphout;G1196;11386;Noord-Brabant;P30;875;864;7;;857;64;775;2;6;5;2;;;1;2
Stolwijk;G0615;11250;Zuid-Holland;P28;1811;1735;33;;1702;701;23;228;381;56;15;288;1;2;7
Stoutenburg;G0343;10438;Utrecht;P26;1028;998;8;;990;79;661;44;6;104;1;90;;3;2
Stramproy;G0973;11186;Limburg;P31;1050;1043;8;;1035;27;1004;3;1;;;;;;
Streefkerk;G0616;11105;Zuid-Holland;P28;1086;1002;14;;988;261;5;226;92;173;5;222;1;3;
Strijen;G0617;10558;Zuid-Holland;P28;3066;2932;58;;2874;1166;12;408;457;512;34;273;3;3;6
Susteren;G0974;10457;Limburg;P31;2974;2934;53;;2881;301;2540;12;5;3;6;1;4;4;5
Swalmen;G0975;10474;Limburg;P31;3419;3359;107;;3252;277;2914;10;19;13;5;;1;7;6
't Zandt;G0054;10956;Groningen;P20;1890;1828;20;;1808;795;8;469;272;225;12;2;18;;7
Tegelen;G0976;11333;Limburg;P31;7768;7588;174;;7414;553;6755;18;29;7;30;2;2;3;15
Ten Boer;G0009;10891;Groningen;P20;3205;3090;53;;3037;1024;13;969;401;210;127;;273;5;15
Ter Aar;G0480;11104;Zuid-Holland;P28;2380;2331;17;;2314;86;1432;289;52;368;2;77;3;4;1
