RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Partij van de Arbeid (P.v.d.A.);Katholieke Volkspartij (KVP);Anti-Revolutionaire Partij;VVD;Christelijk-Historische Unie;Communistische Partij van Nederland;Staatkundig Gereformeerde Partij (SGP);Gereformeerd Politiek Verbond (GPV);Nationale Unie (Algemeen Christelijk);Nederlandse Oppositie Unie
Dirksland;G0504;11344;Zuid-Holland;P28;1854;1743;38;;1705;491;25;492;226;70;6;393;2;;
Dodewaard;G0220;10647;Gelderland;P25;1517;1466;30;;1436;638;21;255;102;229;1;184;;2;4
Doesburg;G0221;10327;Gelderland;P25;3662;3585;35;;3550;1373;1382;213;168;335;46;14;4;7;8
Doetinchem;G0222;10396;Gelderland;P25;13189;12707;230;;12477;4798;4295;637;1064;1290;169;143;21;37;23
Dokkum;G0066;10198;Fryslân;P21;3545;3453;16;;3437;1095;154;1486;191;431;14;44;11;10;1
Domburg;G0660;10236;Zeeland;P29;914;988;8;;980;407;38;101;112;197;4;118;;2;1
Dongen;G0766;11412;Noord-Brabant;P30;6692;6569;66;;6503;386;5895;51;32;104;9;10;2;4;10
Doniawerstal;G0067;10086;Fryslân;P21;3399;3285;27;;3258;931;806;517;178;783;14;19;4;;6
Doorn;G0315;10213;Utrecht;P26;4546;4371;80;;4291;1411;331;738;783;744;30;190;20;34;10
Doornspijk;G0223;10069;Gelderland;P25;3625;3498;45;;3453;642;79;676;104;650;17;1249;5;8;23
Dordrecht;G0505;11157;Zuid-Holland;P28;46226;42864;951;;41913;20151;4877;5498;4412;3575;1856;1109;124;199;112
Dreischor;G1047;10885;Zeeland;P29;639;618;16;;602;323;11;35;145;65;1;13;1;5;3
Dreumel;G0224;11232;Gelderland;P25;1591;1507;12;;1495;185;1260;11;8;22;2;2;;4;1
Driebergen-Rijsenburg;G0316;10777;Utrecht;P26;7752;7497;113;;7384;2193;1117;1427;988;1075;47;382;59;71;25
Driewegen;G0661;11115;Zeeland;P29;397;386;5;;381;118;53;59;41;94;1;14;;;1
Drunen;G0767;10428;Noord-Brabant;P30;3214;3165;31;;3134;153;2868;18;31;33;7;9;1;10;4
Druten;G0225;10068;Gelderland;P25;4268;4176;41;;4135;284;3685;23;25;86;9;4;1;9;9
Dubbeldam;G0507;10781;Zuid-Holland;P28;3213;3040;60;;2980;1077;46;485;508;676;26;135;19;4;4
Duiven;G0226;11028;Gelderland;P25;2460;2428;24;;2404;98;2226;28;3;45;;2;;1;1
Duivendijke;G1050;10335;Zeeland;P29;231;224;4;;220;67;8;89;19;27;;10;;;
Dussen;G0769;10261;Noord-Brabant;P30;2337;2238;22;;2216;165;1407;278;23;221;2;116;2;1;1
Dwingeloo;G0112;10331;Drenthe;P22;1986;1906;37;;1869;1007;10;292;467;81;2;3;;3;4
Echt;G0902;10941;Limburg;P31;7043;6935;118;;6817;749;5984;17;12;8;26;3;1;5;12
Echteld;G0227;10832;Gelderland;P25;2277;2219;23;;2196;1179;42;241;155;289;6;281;;2;1
Edam-Volendam;G0385;10884;Noord-Holland;P27;6194;6117;37;;6080;910;4311;163;405;181;78;8;1;13;10
Ede;G0228;10743;Gelderland;P25;29369;28699;485;;28214;7509;2101;5205;2124;5999;206;4665;70;156;179
Eelde;G0113;10622;Drenthe;P22;3034;2932;94;;2838;1633;125;118;739;104;61;1;9;11;37
Eemnes;G0317;10248;Utrecht;P26;1336;1286;23;;1263;207;587;217;45;109;32;61;;4;1
Eenrum;G0011;10904;Groningen;P20;1595;1544;22;;1522;839;49;162;274;27;25;;139;2;5
Eersel;G0770;10741;Noord-Brabant;P30;2226;2208;8;;2200;17;2157;;6;20;;;;;
Eethen;G0771;10010;Noord-Brabant;P30;1660;1557;14;;1543;301;52;511;65;365;3;240;4;2;
Egmond aan Zee;G0386;10421;Noord-Holland;P27;2254;2785;44;;2741;1727;336;174;231;122;127;6;3;11;4
Egmond-Binnen;G0387;10989;Noord-Holland;P27;1685;1764;9;;1755;221;1392;22;70;22;23;;;4;1
Eibergen;G0229;10436;Gelderland;P25;6698;6441;54;;6387;1850;2869;449;380;803;10;1;15;8;2
Eijgelshoven;G0904;10960;Limburg;P31;2833;2752;98;;2654;735;1786;12;17;27;58;;2;7;10
Eijsden;G0905;10314;Limburg;P31;2610;2568;74;;2494;183;2255;8;11;13;5;4;2;4;9
Eindhoven;G0772;11298;Noord-Brabant;P30;82752;80314;1545;;78769;21458;48415;2597;3359;1483;846;123;132;182;174
Elburg;G0230;11113;Gelderland;P25;1781;1697;40;;1657;374;38;315;30;542;2;351;2;;3
Elkerzee;G1053;10184;Zeeland;P29;321;299;3;;296;91;5;94;29;55;;22;;;
Ellemeet;G1054;10102;Zeeland;P29;252;278;3;;275;136;15;32;31;48;3;8;;;2
Ellewoutsdijk;G0663;11300;Zeeland;P29;295;285;6;;279;150;5;18;28;69;1;8;;;
Elsloo;G0903;11187;Limburg;P31;2119;2114;68;;2046;223;1794;6;7;5;2;3;;2;4
Elst;G0231;11188;Gelderland;P25;6444;6245;54;;6191;1241;3692;284;261;611;12;59;2;15;14
Elten;G1055;10161;Gelderland;P25;568;545;29;;516;133;335;26;2;13;3;;;2;2
Emmen;G0114;11180;Drenthe;P22;32213;30821;1571;;29250;11602;5390;4066;2261;3596;2086;40;142;31;36
Empel en Meerwijk;G0773;10295;Noord-Brabant;P30;518;507;4;;503;21;480;2;;;;;;;
Engelen;G0774;10322;Noord-Brabant;P30;457;411;3;;408;58;340;1;;8;1;;;;
Enkhuizen;G0388;10729;Noord-Holland;P27;6274;6097;94;;6003;2459;842;1185;497;672;124;191;25;5;3
Enschede;G0153;10364;Overijssel;P23;68392;65917;1989;;63928;24890;15103;3905;6374;4552;7156;224;1454;124;146
Epe;G0232;10940;Gelderland;P25;11568;11527;187;;11340;5119;1208;1198;1355;1876;88;426;18;29;23
Ermelo;G0233;10732;Gelderland;P25;12804;13221;171;;13050;2473;509;3029;789;3733;95;2109;157;86;70
Erp;G0775;10385;Noord-Brabant;P30;1947;1927;7;;1920;30;1885;;2;1;2;;;;
Esch;G0776;10709;Noord-Brabant;P30;496;483;2;;481;24;452;;1;3;1;;;;
Est en Opijnen;G0234;11092;Gelderland;P25;654;625;18;;607;324;3;23;78;95;;83;;1;
Etten-Leur;G0777;10750;Noord-Brabant;P30;6511;6389;114;;6275;668;5357;42;34;139;13;4;;9;9
Everdingen;G0508;10638;Zuid-Holland;P28;655;626;6;;620;114;84;124;80;68;1;145;1;2;1
Ewijk;G0235;10471;Gelderland;P25;1824;1778;21;;1757;135;1575;;1;41;4;;;1;
Ezinge;G0012;10136;Groningen;P20;1135;1117;9;;1108;452;7;397;198;34;4;;11;2;3
Ferwerderadeel;G0068;11284;Fryslân;P21;4996;4837;41;;4796;1076;15;2301;313;877;20;2;178;4;10
Fijnaart en Heijningen;G0778;10206;Noord-Brabant;P30;2725;2633;27;;2606;325;1163;276;49;730;5;50;;1;7
Finsterwolde;G0013;10212;Groningen;P20;2052;1960;85;;1875;590;13;44;183;68;965;1;2;3;6
Franeker;G0069;11226;Fryslân;P21;5416;4616;66;;4550;1789;542;1105;440;449;174;20;12;4;15
Franekeradeel;G0070;10404;Fryslân;P21;2856;2733;29;;2704;1133;130;547;245;561;28;4;28;12;16
Gaasterland;G0071;10036;Fryslân;P21;3657;3550;26;;3524;550;762;709;122;1195;14;161;;;11
Gasselte;G0115;11099;Drenthe;P22;2211;2112;83;;2029;1041;24;262;297;215;183;;2;1;4
