RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Vrijzinnig-Democratische Bond (VDB);Nationaal-Socialistische Beweging (NSB);Liberale Staatspartij (LSP);Communistische Partij van Nederland;Christelijk-Democratische Unie;Staatkundig Gereformeerde Partij (SGP);Revolutionair Socialistische Arbeiderspartij;Katholiek Democratische Partij;HGSP;Actie-Bouwman;Christelijk Nationale Actie;Algemeen Belang;Zwart Front;Plattelandersbond;VNH;Nationaal Socialistische Arbeiderspartij
Strijen;G0617;10558;Zuid-Holland;P28;2613;2485;30;46;2409;2;519;510;383;226;66;443;2;4;125;7;;106;;1;8;;5;2;
Susteren;G0974;10457;Limburg;P31;1878;1792;39;36;1717;1492;50;14;6;6;113;2;7;;2;1;2;3;5;;3;1;5;5;
Swalmen;G0975;10474;Limburg;P31;2245;2151;33;52;2066;1872;17;14;;6;136;2;4;;;2;2;1;4;;1;1;1;3;
't Zandt;G0054;10956;Groningen;P20;1809;1725;16;11;1698;2;370;470;149;135;73;105;11;372;4;;1;1;;;4;;1;;
Tegelen;G0976;11333;Limburg;P31;4635;4544;51;73;4420;4025;61;22;7;15;128;10;111;3;;;12;1;8;;4;3;3;2;5
Ten Boer;G0009;10891;Groningen;P20;2967;2823;24;25;2774;5;662;1094;134;302;119;174;21;247;;;1;2;;;11;;2;;
Ter Aar;G0480;11104;Zuid-Holland;P28;1735;1643;17;14;1612;907;16;226;249;11;68;25;3;5;81;;2;2;;13;4;;;;
Terheijden;G0853;10905;Noord-Brabant;P30;2021;1962;13;42;1907;1801;37;27;16;4;10;3;2;;2;;2;;;1;;1;;;1
Termunten;G0042;11023;Groningen;P20;2062;1939;29;39;1871;9;499;500;71;187;76;67;223;218;5;2;1;;;2;9;1;1;;
Terneuzen;G0715;10704;Zeeland;P29;6214;5723;110;98;5515;970;1192;874;764;209;165;516;47;190;453;;;;;;;;;;
Terschelling;G0093;11210;Noord-Holland;P27;2157;1858;24;22;1812;19;468;331;294;553;32;72;7;23;;5;;;;1;1;;4;2;
Teteringen;G0854;10677;Noord-Brabant;P30;1476;1497;9;25;1463;1298;66;35;12;7;13;5;2;;1;1;12;;;;4;3;3;;1
Texel;G0448;10237;Noord-Holland;P27;4627;4351;26;54;4271;904;907;618;355;779;307;81;12;202;17;3;3;34;;4;2;1;33;9;
Tholen;G0716;10376;Zeeland;P29;1751;1543;45;13;1485;105;147;235;231;130;49;102;3;1;436;3;;34;;1;3;2;2;1;
Thorn;G0977;11195;Limburg;P31;795;754;3;4;747;716;10;4;2;3;6;;2;;;;;;3;;;;;1;
Tiel;G0281;10027;Gelderland;P25;7033;6677;112;193;6372;1464;2449;594;247;297;287;557;123;136;30;4;105;9;26;10;10;6;12;6;
Tienhoven (Ut);G1202;10035;Utrecht;P26;294;280;1;2;277;5;20;151;76;1;8;1;;8;7;;;;;;;;;;
Tienhoven (ZH);G0618;10706;Zuid-Holland;P28;200;186;2;3;181;1;20;98;11;6;12;8;1;;9;;;;;;;;;;
Tietjerksteradeel;G0094;11241;Fryslân;P21;9339;8781;103;62;8616;58;1514;2860;1550;705;72;439;109;1115;63;4;3;26;;11;44;4;37;2;
Tilburg;G0855;10792;Noord-Brabant;P30;44558;43204;607;1120;41477;31174;2437;654;209;324;651;126;883;23;35;137;2786;9;44;16;36;1868;24;11;30
Tubbergen;G0183;10694;Overijssel;P23;4609;4492;26;12;4454;3912;56;40;193;36;47;8;9;21;6;3;99;6;12;;1;;3;;2
Tull en 't Waal;G1205;11022;Utrecht;P26;224;208;3;3;202;128;4;19;29;;3;;;1;1;;;16;;1;;;;;
Twisk;G0449;10371;Noord-Holland;P27;426;394;3;4;387;1;132;14;5;94;23;89;2;19;;1;;;;;;;7;;
Ubach over Worms;G0978;10146;Limburg;P31;2145;2076;72;78;1926;1333;216;26;29;;158;2;104;2;;;2;1;;;3;;2;1;47
Ubbergen;G0282;10408;Gelderland;P25;2688;2588;30;25;2533;2168;46;68;23;23;91;27;5;3;;;6;;69;;3;;;1;
Uden;G0856;11141;Noord-Brabant;P30;3721;3593;17;30;3546;3177;29;3;;9;18;1;1;;1;;4;;293;;1;5;;4;
Udenhout;G0857;11268;Noord-Brabant;P30;1907;1837;4;9;1824;1744;17;2;1;;1;;1;;;;3;;25;;2;28;;;
Uitgeest;G0450;11238;Noord-Holland;P27;2068;1982;26;23;1933;909;373;66;12;207;58;14;232;27;1;3;21;1;;;3;1;3;2;
Uithoorn;G0451;11206;Noord-Holland;P27;1751;1680;18;22;1640;868;188;174;247;27;48;39;5;6;14;1;10;6;;3;2;1;1;;
Uithuizen;G0043;11137;Groningen;P20;2432;2319;25;19;2275;354;501;543;212;193;40;97;10;292;;2;3;;;;23;;3;2;
Uithuizermeeden;G0044;10246;Groningen;P20;2657;2546;18;18;2510;12;221;902;621;193;46;74;19;403;7;;1;2;;;9;;;;
Ulestraten;G0979;11220;Limburg;P31;546;530;16;5;509;501;;;;1;6;;;;;;;;;;;;;1;
Ulrum;G0045;10180;Groningen;P20;2185;2036;20;12;2004;5;222;1004;126;94;109;103;21;299;;;;1;;1;18;;;1;
Urk;G0184;10783;Noord-Holland;P27;1708;1620;15;7;1598;5;19;1281;126;6;41;3;3;14;95;;;;;;;;;;
Urmond;G0980;10700;Limburg;P31;1007;979;24;9;946;869;9;7;22;2;30;2;;;;1;;3;;;1;;;;
Ursem;G0452;10696;Noord-Holland;P27;641;613;5;7;601;444;55;12;2;76;7;;1;;;1;;1;;;2;;;;
Usquert;G0046;11035;Groningen;P20;1058;1002;5;5;992;29;517;61;29;74;38;92;3;140;;;;;;;9;;;;
Utingeradeel;G0095;10140;Fryslân;P21;2937;2755;21;61;2673;26;1004;364;321;596;44;84;42;138;23;3;2;7;;1;5;;12;1;
