RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;Rooms-Katholieke Staatspartij (RKSP);Sociaal-Democratische Arbeiderspartij (SDAP);Anti-Revolutionaire Partij;Christelijk-Historische Unie;Vrijzinnig-Democratische Bond (VDB);Nationaal-Socialistische Beweging (NSB);Liberale Staatspartij (LSP);Communistische Partij van Nederland;Christelijk-Democratische Unie;Staatkundig Gereformeerde Partij (SGP);Revolutionair Socialistische Arbeiderspartij;Katholiek Democratische Partij;HGSP;Actie-Bouwman;Christelijk Nationale Actie;Algemeen Belang;Zwart Front;Plattelandersbond;VNH;Nationaal Socialistische Arbeiderspartij
Aagtekerke;G1000;10531;Zeeland;P29;410;367;1;2;364;;;86;56;15;2;21;;;179;;;;;2;;;1;2;
Aalsmeer;G0358;11264;Noord-Holland;P27;5228;5047;54;25;4968;880;1083;1058;579;410;311;420;94;42;77;1;;3;;4;5;;;;1
Aalten;G0197;11046;Gelderland;P25;5754;5537;100;108;5329;774;465;2229;1082;283;294;70;11;81;2;;8;14;1;2;6;1;4;2;
Aardenburg;G0648;11020;Zeeland;P29;1189;1117;23;29;1065;535;122;112;11;197;24;35;5;3;8;1;;2;;2;2;;5;1;
Aarle-Rixtel;G0739;10757;Noord-Brabant;P30;1224;1179;14;5;1160;1072;8;10;7;3;20;10;;2;;;3;1;21;;2;;;1;
Abbekerk;G0359;10439;Noord-Holland;P27;406;383;3;1;379;129;69;9;11;90;5;39;4;8;;;;;;;;;;;
Abbenbroek;G0481;11026;Zuid-Holland;P28;404;382;7;7;368;;146;33;9;60;40;50;8;10;3;1;;;;1;;2;5;;
Abcoude-Baambrugge;G1003;11184;Utrecht;P26;843;792;3;11;778;173;37;210;230;30;49;10;4;16;11;;;1;;6;;;1;;
Abcoude-Proostdij;G1004;10712;Utrecht;P26;867;811;7;4;800;385;47;121;179;13;35;5;3;1;6;;2;2;;1;;;;;
Achtkarspelen;G0059;10199;Fryslân;P21;7713;7320;123;92;7105;25;1215;3108;912;511;27;184;133;902;28;6;2;18;;1;28;1;4;;
Achttienhoven;G1005;10524;Utrecht;P26;397;371;2;13;356;63;26;103;99;4;12;4;1;;39;2;;1;;2;;;;;
Adorp;G0001;10996;Groningen;P20;795;745;3;7;735;4;52;373;37;73;35;58;3;89;;;;4;;;5;1;;1;
Aduard;G0002;10999;Groningen;P20;1119;1061;12;8;1041;7;156;499;54;132;32;88;9;49;;;;3;;;8;3;1;;
Akersloot;G0360;10346;Noord-Holland;P27;982;938;0;13;925;551;88;26;15;144;29;23;6;7;2;9;3;5;;;3;;14;;
Alblasserdam;G0482;11327;Zuid-Holland;P28;3384;3107;19;72;3016;27;767;541;562;60;91;401;11;3;503;;;;;;;;;;
Alem, Maren en Kessel;G1007;10495;Noord-Brabant;P30;611;579;4;4;571;509;8;1;;;;;;;4;;2;;44;;;1;2;;
Alkemade;G0483;10349;Zuid-Holland;P28;2645;2561;11;7;2543;2102;13;233;117;17;24;6;3;8;5;2;;7;;;1;3;2;;
Alkmaar;G0361;10527;Noord-Holland;P27;17629;16723;158;264;16301;5100;3882;1571;722;2120;890;576;381;173;18;;;;;;;;;;
Almelo;G0141;11053;Overijssel;P23;18925;18119;362;536;17221;3205;4830;1972;873;1294;506;626;1050;1826;51;386;411;15;5;15;123;1;8;15;8
Almkerk;G0740;10788;Noord-Brabant;P30;1914;1734;22;24;1688;9;69;1075;396;29;39;22;7;;22;;;15;;1;3;;1;;
Alphen aan den Rijn;G0484;10517;Zuid-Holland;P28;9148;8650;46;118;8486;1638;819;2351;2163;251;379;278;30;52;352;2;10;28;;113;11;1;5;3;
Alphen en Riel;G0741;10710;Noord-Brabant;P30;1237;1209;4;7;1198;1148;1;7;;13;1;;;;;;6;;21;;;1;;;
Ambt Delden;G0142;11400;Overijssel;P23;2025;1953;22;21;1910;1162;158;166;166;170;15;25;8;13;2;2;5;;;1;9;1;7;;
Ambt Hardenberg;G1011;10174;Overijssel;P23;6366;6020;84;70;5866;723;551;2296;1296;247;232;260;11;167;32;7;3;15;1;3;10;2;8;2;
Ambt Vollenhove;G1013;11088;Overijssel;P23;1335;1247;14;13;1220;9;26;656;275;25;7;65;9;67;21;4;;;;53;;;12;;
Amby;G0883;10922;Limburg;P31;998;973;22;47;904;774;38;7;1;;75;;;2;;;6;;1;;;;;;
Ameide;G0485;11349;Zuid-Holland;P28;953;871;14;15;842;1;242;318;14;57;24;41;5;4;68;;;;;;;;;;
Ameland;G0060;11153;Fryslân;P21;1166;1115;11;11;1093;258;119;177;178;219;9;103;10;9;;2;;3;;;6;;;;
Amerongen;G0306;11372;Utrecht;P26;1542;1410;34;21;1355;14;277;333;346;39;95;32;3;6;199;;1;2;;2;3;;3;;
Amersfoort;G0307;10948;Utrecht;P26;24262;22734;298;512;21924;4848;5753;3758;2101;1226;891;1160;297;445;211;193;575;51;;323;49;3;4;36;
Ammerstol;G0486;10863;Zuid-Holland;P28;611;557;1;13;543;;364;28;3;79;11;15;1;14;23;;;2;;2;;1;;;
Ammerzoden;G0198;10151;Gelderland;P25;1469;1397;8;16;1373;969;42;138;152;11;4;1;1;;46;;2;2;4;;;;1;;
Amstenrade;G0884;10062;Limburg;P31;866;844;8;15;821;576;79;27;9;2;110;;8;3;;;1;2;1;;;;;1;2
Amsterdam;G0363;11150;Noord-Holland;P27;449009;425529;21279;2140;402110;60378;132719;61215;13222;17130;24756;20007;51350;7074;578;8173;1929;2085;46;288;285;204;129;542;
Andel;G0742;10871;Noord-Brabant;P30;590;520;4;13;503;2;26;251;174;6;7;6;1;;16;;;7;;1;;1;5;;
Andijk;G0364;10822;Noord-Holland;P27;2076;1947;8;31;1908;267;356;711;21;239;5;75;104;64;25;30;1;;;;3;;5;;
Angerlo;G0199;11131;Gelderland;P25;1355;1302;20;5;1277;651;65;165;157;63;42;26;2;17;5;1;10;1;34;;;;38;;
Ankeveen;G1014;10936;Noord-Holland;P27;374;354;3;5;346;143;39;39;94;10;3;;9;2;1;3;3;;;;;;;;
Anloo;G0105;10787;Drenthe;P22;2778;2593;34;71;2488;21;669;144;25;412;729;116;97;236;3;3;2;3;;2;11;;13;1;1
Anna Paulowna;G0366;10344;Noord-Holland;P27;3024;2900;19;36;2845;671;855;273;104;530;70;22;111;103;16;8;62;3;;1;13;;2;1;
Apeldoorn;G0200;11075;Gelderland;P25;36360;34510;627;842;33041;3362;8812;6714;5982;2939;1366;1240;401;806;575;88;274;115;8;18;63;27;95;124;32
Appeltern;G0201;11296;Gelderland;P25;1679;1620;11;11;1598;1232;17;12;103;6;26;1;;;6;1;;;188;;;;6;;
Appingedam;G0003;10886;Groningen;P20;3735;3521;32;82;3407;74;558;706;504;522;122;119;425;315;2;2;5;4;;1;45;;3;;
Arcen en Velden;G0885;10202;Limburg;P31;1558;1513;11;16;1486;1334;17;19;2;7;57;1;6;;;;2;1;39;;;;1;;
Arkel;G0487;10079;Zuid-Holland;P28;675;641;5;21;615;8;189;112;12;35;15;181;1;4;9;4;1;4;;6;25;;9;;
Arnemuiden;G0649;11419;Zeeland;P29;1232;1148;36;17;1095;7;87;304;194;47;53;26;13;1;298;3;;13;;44;;;5;;
Arnhem;G0202;10795;Gelderland;P25;48392;46414;654;1459;44301;11798;13464;7137;1713;2726;2091;2247;1044;260;79;462;202;632;178;16;40;70;28;101;13
Asperen;G0488;11369;Zuid-Holland;P28;921;866;7;22;837;2;91;261;33;20;72;47;5;6;134;;;;;;;;;;
Assen;G0106;10522;Drenthe;P22;10385;9755;137;184;9434;361;2605;2005;744;1909;484;410;532;228;23;43;4;4;5;7;16;;7;41;6
Assendelft;G0367;11373;Noord-Holland;P27;2831;2750;24;26;2700;1010;699;176;30;342;17;37;288;25;26;8;33;2;;1;1;2;2;1;
Asten;G0743;10478;Noord-Brabant;P30;2834;2766;12;13;2741;2581;16;12;26;6;18;4;1;;;;7;;53;1;1;1;;14;
Avenhorn;G0368;11147;Noord-Holland;P27;714;680;1;5;674;268;101;25;3;195;27;24;5;16;;6;1;1;;;3;;;;
Avereest;G0143;11190;Overijssel;P23;5177;4721;84;65;4572;414;638;1283;1339;396;129;232;15;66;31;3;6;3;4;3;1;2;6;1;
Axel;G0650;11289;Zeeland;P29;3343;3165;63;30;3072;475;397;1026;515;133;91;162;11;39;159;2;9;40;;;4;1;8;;
Baarderadeel;G0061;10422;Fryslân;P21;2883;2711;43;18;2650;108;821;463;242;615;62;174;27;97;3;3;;13;;1;9;1;11;;
Baarland;G0651;10634;Zeeland;P29;418;402;4;4;394;88;27;86;89;23;3;28;11;1;31;1;;2;;2;2;;;;
Baarle-Nassau;G0744;10060;Noord-Brabant;P30;1292;1249;4;8;1237;1164;11;22;4;3;13;4;;;;1;9;;2;;3;;1;;
Baarn;G0308;11411;Utrecht;P26;7566;7178;100;149;6929;1021;1385;1774;632;376;374;643;76;103;104;13;120;8;;267;14;3;3;13;
Baexem;G0886;11255;Limburg;P31;538;558;3;1;554;537;2;5;;;3;;;1;;;2;1;2;;1;;;;
Baflo;G0004;10539;Groningen;P20;1507;1421;10;11;1400;;241;603;25;107;54;94;7;260;1;;;4;;1;3;;;;
Bakel en Milheeze;G0745;10749;Noord-Brabant;P30;1486;1425;9;3;1413;1298;2;13;6;3;;;4;;;;1;;80;;2;4;;;
Barendrecht;G0489;10943;Zuid-Holland;P28;2810;2643;30;24;2589;23;327;1320;351;96;124;114;10;10;175;;;5;;10;18;;5;1;
Barneveld;G0203;10906;Gelderland;P25;7418;6805;46;67;6692;388;607;1692;1839;86;271;80;46;9;1155;7;2;42;2;447;10;;7;2;
Barradeel;G0062;10156;Fryslân;P21;4150;3942;53;40;3849;45;745;1124;1063;383;10;71;24;301;1;64;2;4;;;5;;6;1;
Barsingerhorn;G0369;10973;Noord-Holland;P27;1149;1085;17;13;1055;30;419;74;13;282;58;38;118;6;4;11;2;;;;;;;;
Barwoutswaarder;G1017;10447;Zuid-Holland;P28;359;335;6;2;327;64;15;97;100;;13;1;1;;32;;;;;;;;;;
Batenburg;G0204;10921;Gelderland;P25;255;242;2;3;237;154;;15;24;;3;3;;;;;;;36;;;;2;;
Bathmen;G0144;11030;Overijssel;P23;1095;1047;4;16;1027;26;219;152;227;290;44;46;5;;;;;;;;6;;12;;
Bedum;G0005;10425;Groningen;P20;3328;3199;11;19;3169;143;422;1675;44;334;93;158;10;263;1;5;1;5;;;10;;2;3;
Beegden;G0887;11089;Limburg;P31;442;437;1;3;433;421;4;1;;1;5;;;;;;;;;;;;;1;
Beek;G0888;11374;Limburg;P31;2740;2614;27;65;2522;2194;54;59;44;13;131;;1;3;1;1;8;1;4;;3;2;1;2;
Beek en Donk;G0746;10173;Noord-Brabant;P30;1462;1404;9;17;1378;1344;5;;2;;8;;4;;;;;;14;;;1;;;
Beemster;G0370;10816;Noord-Holland;P27;3059;2901;11;21;2869;665;456;353;37;735;246;183;73;29;5;48;13;;;;5;;19;2;
Beers;G0747;11410;Noord-Brabant;P30;448;435;0;4;431;401;;;;;;;;;;;;;20;;;8;;2;
Beerta;G0006;11043;Groningen;P20;2061;1893;36;89;1768;15;427;113;56;237;99;91;633;57;6;6;;8;;7;5;2;1;5;
Beesd;G0205;10259;Gelderland;P25;1390;1314;12;13;1289;546;170;147;232;36;14;37;3;9;50;;2;7;2;1;2;1;30;;
Beesel;G0889;10195;Limburg;P31;1990;1934;12;31;1891;1800;17;3;;2;55;;2;1;;1;2;;4;;3;;;1;
Beets;G0371;10536;Noord-Holland;P27;285;260;1;1;258;1;90;25;5;76;34;4;1;11;2;6;;;;;;;3;;
Beilen;G0107;10520;Drenthe;P22;4108;3927;32;45;3850;30;974;972;714;523;245;188;17;155;1;1;2;5;;9;5;;5;1;3
Belfeld;G0890;10292;Limburg;P31;875;855;11;14;830;791;4;2;;;21;;4;;;;2;1;1;;;1;3;;
Bellingwolde;G1019;10340;Groningen;P20;3285;3095;45;41;3009;35;1288;301;121;309;205;86;374;255;4;4;1;12;;1;5;2;2;4;
Bemelen;G0891;10878;Limburg;P31;133;130;1;5;124;112;2;;;;7;;;;;;;;2;;;1;;;
Bemmel;G0206;10744;Gelderland;P25;3597;3347;41;16;3290;2385;33;81;110;13;27;16;1;7;11;;3;1;580;;;1;19;2;
Bennebroek;G0372;10734;Noord-Holland;P27;1229;1164;16;14;1134;505;91;237;67;60;56;43;7;57;3;;;;;;;;;;
Benschop;G0309;11330;Utrecht;P26;997;958;3;16;939;299;23;183;23;32;33;24;9;;99;1;;3;;201;1;;8;;
Benthuizen;G0490;10398;Zuid-Holland;P28;517;457;3;3;451;7;26;92;50;10;42;13;;1;181;;;;;;;;;;
Berg en Terblijt;G0892;10796;Limburg;P31;992;964;8;23;933;860;9;2;;3;55;;3;;;;2;5;550;;1;5;3;5;1
Bergambacht;G0491;10962;Zuid-Holland;P28;2083;1884;17;40;1827;7;444;473;38;193;142;97;7;4;390;1;;4;;24;1;;2;;
Bergen;G0373;11424;Noord-Holland;P27;3578;3452;36;56;3360;1165;633;356;77;592;204;178;62;15;3;22;18;7;;1;18;;3;6;
Bergen;G0893;11281;Limburg;P31;3141;3029;38;25;2966;2184;22;10;3;13;158;1;;1;2;;;;;;1;;;;
Bergen op Zoom;G0748;11037;Noord-Brabant;P30;11753;11088;173;285;10630;7649;989;771;198;183;240;232;46;18;17;4;191;3;4;11;20;29;9;12;4
Bergeyk;G0749;11160;Noord-Brabant;P30;1436;1378;12;8;1358;1258;25;10;24;1;4;;5;;;1;2;;25;;1;2;;;
Bergh;G0207;10350;Gelderland;P25;5056;4887;58;85;4744;3446;227;54;21;76;313;11;5;2;8;4;20;5;574;;1;2;2;4;
Bergharen;G0208;10883;Gelderland;P25;891;867;3;3;861;713;4;14;90;;5;1;;;1;;;;12;;;5;15;1;
Berghem;G0750;10733;Noord-Brabant;P30;1172;1106;9;10;1087;771;8;7;;1;7;1;1;;1;;9;;278;;;;;3;
Bergschenhoek;G0492;10445;Zuid-Holland;P28;1357;1296;10;32;1254;287;121;223;394;21;54;17;9;3;49;;;;;;;;;;
Berkel en Rodenrijs;G0493;10139;Zuid-Holland;P28;2063;2010;11;13;1986;922;48;481;385;14;24;25;2;;22;;1;49;;6;3;1;3;;
Berkel-Enschot;G0751;11132;Noord-Brabant;P30;1120;1082;3;8;1071;986;6;10;;5;4;;1;;;;12;;6;;;39;;;2
Berkenwoude;G0494;10797;Zuid-Holland;P28;448;399;4;5;390;2;36;81;6;33;31;111;1;;75;;;;;;;;;;
Berkhout;G0374;10354;Noord-Holland;P27;1541;1500;15;10;1475;667;274;48;19;238;97;107;2;7;2;;;;;;;;;;
Berlicum;G0752;10362;Noord-Brabant;P30;1809;1716;4;16;1696;1350;20;9;23;2;8;4;1;;1;;11;;262;1;;;4;;
Best;G0753;10442;Noord-Brabant;P30;2303;2229;8;19;2202;2050;41;14;3;5;36;;4;2;;;10;;22;;7;6;1;1;
Beugen en Rijkevoort;G1021;10252;Noord-Brabant;P30;1071;1041;0;5;1036;961;8;1;1;;;;1;;;;1;1;60;;;2;;;
Beuningen;G0209;10417;Gelderland;P25;1599;1533;28;10;1495;1108;27;15;16;8;48;1;;;3;15;;2;241;;1;;3;9;
Beusichem;G0210;11182;Gelderland;P25;914;849;24;20;805;33;223;143;33;78;34;59;12;107;56;2;1;2;1;2;1;;18;;
Beverwijk;G0375;10272;Noord-Holland;P27;10403;10012;136;178;9698;4301;1964;941;313;735;358;102;560;203;16;43;119;7;;3;15;7;6;4;1
Bierum;G0008;11294;Groningen;P20;2350;2168;8;25;2135;3;128;853;377;90;59;78;36;420;2;;1;72;;3;9;3;;1;
Biervliet;G0652;10257;Zeeland;P29;1178;1089;44;43;1002;346;233;124;66;84;28;68;13;2;28;2;;2;;;4;1;1;;
Biggekerke;G1022;11364;Zeeland;P29;518;479;9;4;466;1;12;216;136;23;1;5;1;;67;1;1;;;;;;1;1;
Bingelrade;G0894;10967;Limburg;P31;270;267;1;6;260;253;;;2;;2;;;;;;;;;;;;;3;
Bladel en Netersel;G0754;11006;Noord-Brabant;P30;1204;1154;3;3;1148;1080;1;2;43;3;1;;;;2;;1;;10;;;3;2;;
Blankenham;G0145;10320;Overijssel;P23;283;249;5;4;240;11;26;25;53;58;3;34;2;28;;;;;;;;;;;
Blaricum;G0376;10493;Noord-Holland;P27;1954;1807;16;29;1762;691;172;243;88;157;96;185;70;25;6;5;13;3;;1;;;3;3;1
Bleiswijk;G0495;10994;Zuid-Holland;P28;1108;1050;4;7;1039;301;62;208;228;27;42;57;2;2;74;;;;;;;;;;
Bleskensgraaf en Hofwegen;G0496;10451;Zuid-Holland;P28;629;505;4;4;497;5;46;189;15;16;7;44;2;;136;;;;;;;;;;
Bloemendaal;G0377;10850;Noord-Holland;P27;8085;7499;48;72;7379;1789;964;1538;439;801;629;920;51;117;16;14;15;13;;2;8;2;2;57;2
Blokker;G0378;10804;Noord-Holland;P27;1256;1217;2;8;1207;793;76;26;7;196;43;29;3;6;;1;2;;;;15;;10;;
Blokzijl;G0146;10689;Overijssel;P23;533;526;5;8;513;;91;128;116;94;16;14;4;33;12;1;;4;;;;;;;
Bocholtz;G0895;10986;Limburg;P31;1394;1351;52;37;1262;1146;23;4;2;1;71;2;4;;;2;3;1;1;;;1;1;;
Bodegraven;G0497;11091;Zuid-Holland;P28;3395;3212;22;42;3148;605;200;1119;395;66;180;149;38;20;140;3;5;11;;194;6;;17;;
Boekel;G0755;10432;Noord-Brabant;P30;1738;1652;8;10;1634;1540;4;;;;;;;;1;;;;87;;;2;;;
Bolsward;G0064;10865;Fryslân;P21;3761;3528;32;76;3420;1171;587;537;447;399;28;98;37;68;1;4;16;18;;1;6;1;1;;
Borculo;G0211;11307;Gelderland;P25;3108;2926;42;54;2830;274;693;544;238;540;150;276;18;14;1;4;1;4;2;1;;1;64;;5
Borger;G0108;10448;Drenthe;P22;4981;4734;71;61;4602;85;1574;726;561;488;609;201;30;262;4;9;7;9;1;3;18;;14;;1
Borgharen;G0896;11334;Limburg;P31;505;481;9;19;453;372;15;4;;;52;1;;1;;1;3;;;;;3;1;;
Born;G0897;10927;Limburg;P31;1442;1385;19;40;1326;1196;37;11;4;5;56;1;4;;;2;5;;1;;3;;1;;
Borne;G0147;10326;Overijssel;P23;4902;4701;42;50;4609;2570;509;235;220;145;83;94;71;552;21;8;75;;;1;21;;;3;1
Borssele;G1254;10043;Zeeland;P29;766;679;8;4;667;99;51;76;137;69;17;33;2;;165;;;;;;11;;7;;
Boskoop;G0499;10419;Zuid-Holland;P28;4056;3830;40;63;3727;766;415;992;529;130;84;513;16;34;166;5;3;8;;41;20;2;;3;
Bovenkarspel;G0379;10945;Noord-Holland;P27;1421;1361;6;9;1346;1000;125;21;3;133;7;23;2;6;1;2;19;1;;2;;;;1;
Boxmeer;G0756;11227;Noord-Brabant;P30;1903;1821;20;31;1770;1528;52;22;17;9;19;9;16;3;1;;2;;87;;2;1;1;1;
Boxtel;G0757;10083;Noord-Brabant;P30;5110;4832;85;94;4653;3790;190;36;29;28;18;12;8;1;1;3;61;;188;1;4;276;1;4;2
Brakel;G0212;11125;Gelderland;P25;945;855;15;27;813;1;208;64;76;13;18;7;2;3;316;4;;1;1;3;;;96;;
Brandwijk;G0500;10169;Zuid-Holland;P28;487;421;0;5;416;;30;193;17;18;2;44;6;;68;;;1;;36;;;1;;
Breda;G0758;10154;Noord-Brabant;P30;25885;24920;356;757;23807;14930;4055;1534;482;497;711;479;173;36;39;18;520;17;9;6;27;177;15;35;47
Breskens;G0655;10233;Zeeland;P29;1874;1707;51;37;1619;98;551;390;200;184;41;111;10;1;18;;;5;;2;7;1;;;
Breukelen-Nijenrode;G1028;10807;Utrecht;P26;1653;1615;20;7;1588;426;108;353;406;41;82;39;1;2;97;;1;17;;14;1;;;;
Breukelen-Sint Pieters;G1029;11149;Utrecht;P26;493;453;14;6;433;83;46;119;115;6;18;18;1;;15;1;;9;;1;1;;;;
Brielle;G0501;10232;Zuid-Holland;P28;2029;1854;25;15;1814;133;415;310;335;277;53;218;29;5;11;3;1;6;;5;7;1;5;;
Broek in Waterland;G0380;10289;Noord-Holland;P27;938;888;4;17;867;16;167;181;150;230;32;37;5;16;3;;;;;;;;;;
Broek op Langendijk;G1031;10955;Noord-Holland;P27;1175;1111;6;12;1093;13;148;511;237;89;20;;8;20;6;7;;2;;14;18;;;;
Broekhuizen;G0898;10856;Limburg;P31;465;452;0;6;446;421;1;1;2;;7;;;;;;;;14;;;;;;
Broeksittard;G1032;10655;Limburg;P31;383;382;8;8;366;343;6;;;;15;;;;;;;;;;1;1;;;
Brouwershaven;G0656;10030;Zeeland;P29;753;696;10;11;675;2;240;168;11;84;9;135;1;5;17;;;;;3;;;;;
Bruinisse;G0657;11291;Zeeland;P29;1491;1310;29;21;1260;3;206;361;118;84;17;165;1;22;261;4;;1;;14;1;1;1;;
Brummen;G0213;10798;Gelderland;P25;5365;5031;72;138;4821;324;1750;1009;545;350;190;519;30;33;6;4;;6;2;1;;;44;5;3
Brunssum;G0899;10533;Limburg;P31;5586;5458;100;168;5190;3102;898;319;193;12;404;3;144;28;3;10;10;3;5;;;17;1;1;36
Budel;G0759;10219;Noord-Brabant;P30;2079;2007;8;19;1980;1768;16;3;10;11;19;;1;;4;;1;1;142;;2;;;2;
Buggenum;G1033;10857;Limburg;P31;404;404;3;10;391;376;1;;;;8;;;;;;3;;2;;;;;1;
Bunde;G0900;10831;Limburg;P31;695;671;17;27;627;551;4;2;1;;49;1;3;;;3;1;;;;3;2;;6;1
Bunnik;G0312;10820;Utrecht;P26;1019;964;17;13;934;457;111;108;83;30;26;31;3;4;41;;;25;;12;;2;1;;
Bunschoten;G0313;11343;Utrecht;P26;2440;2270;29;14;2227;6;10;2036;18;7;41;9;6;2;24;1;;;;66;1;;;;
Buren;G0214;11286;Gelderland;P25;1014;952;24;34;894;42;136;149;110;44;23;126;2;153;87;;2;7;1;1;1;1;7;2;
Burgh;G1035;11000;Zeeland;P29;375;362;7;8;347;4;68;53;81;38;5;78;;;16;;;;;2;;;2;;
Bussum;G0381;10281;Noord-Holland;P27;15214;14356;179;255;13922;3680;2136;2824;1098;769;923;1170;374;338;83;82;280;24;;26;6;34;5;80;1
Buurmalsen;G0215;10460;Gelderland;P25;1072;994;29;13;952;39;242;174;183;58;16;48;2;40;123;2;1;2;;1;1;;18;2;
Cadier en Keer;G0901;11447;Limburg;P31;623;523;9;43;471;428;8;;1;;25;;;;;1;2;1;3;;;1;;1;
Cadzand;G0658;11002;Zeeland;P29;584;540;10;10;520;9;149;123;47;77;11;79;9;3;6;;2;2;;;;1;1;1;
Callantsoog;G0382;10559;Noord-Holland;P27;564;539;6;9;524;54;234;19;3;161;15;7;8;4;;5;4;;;;8;;2;;
Capelle aan den IJssel;G0502;11248;Zuid-Holland;P28;4491;4087;110;143;3834;47;1134;833;359;105;168;240;30;7;680;9;5;50;;148;14;1;4;;
Castricum;G0383;11287;Noord-Holland;P27;3054;2972;16;41;2915;1680;535;232;47;178;70;25;49;56;2;14;8;5;;;1;;3;;
Chaam;G0760;11433;Noord-Brabant;P30;924;896;0;4;892;791;11;42;22;2;5;2;;;3;1;10;2;;1;;;;;
Clinge;G0659;10965;Zeeland;P29;1430;1302;53;47;1202;1008;56;11;4;21;54;6;16;2;2;2;1;2;;7;2;3;5;;
Coevorden;G0109;10383;Drenthe;P22;3465;3324;57;36;3231;592;803;447;313;262;232;268;6;242;1;13;34;;;2;11;;2;3;
Colijnsplaat;G1038;10121;Zeeland;P29;1130;1013;11;24;978;8;101;329;281;95;2;99;5;1;45;3;3;1;;;2;;3;;
Cothen;G0314;11316;Utrecht;P26;503;472;4;2;466;355;14;46;9;2;6;8;1;;23;;;2;;;;;;;
Cuijk en Sint Agatha;G0761;10023;Noord-Brabant;P30;2006;1907;12;23;1872;1467;29;18;8;16;22;2;1;;1;1;6;;169;1;2;128;;1;
Culemborg;G0216;10342;Gelderland;P25;5150;4933;69;100;4764;1849;1145;343;206;135;48;564;212;49;73;78;17;7;2;22;8;2;3;1;
Dalen;G0110;11004;Drenthe;P22;2051;1953;22;52;1879;151;357;131;117;300;310;360;6;84;1;5;12;2;34;2;;;6;;1
Dalfsen;G0148;11007;Overijssel;P23;3891;3741;41;24;3676;1059;270;610;1381;155;45;75;3;27;26;3;5;8;2;;3;1;3;;
Dantumadeel;G0065;10650;Fryslân;P21;7129;6734;111;98;6525;65;887;2340;1135;186;41;358;34;1043;245;49;2;25;;80;27;3;3;2;
De Bilt;G0310;10168;Utrecht;P26;7860;7521;54;88;7379;1137;1255;2013;520;589;537;665;52;156;305;16;17;27;;50;13;9;1;17;
De Lier;G0552;10241;Zuid-Holland;P28;1364;1336;5;6;1325;169;55;521;420;27;38;55;2;2;26;3;;4;;1;;2;;;
De Rijp;G0440;11417;Noord-Holland;P27;759;715;7;4;704;245;201;47;10;103;21;8;42;16;5;;3;;;;2;;1;;
De Werken en Sleeuwijk;G1222;10116;Noord-Brabant;P30;1918;1715;32;21;1662;5;164;919;300;18;69;34;2;;123;1;1;13;;7;;;6;;
De Wijk;G0135;10753;Drenthe;P22;1905;1794;22;38;1734;19;241;475;184;456;173;148;2;19;;2;1;1;3;2;;;7;1;
Deil;G0217;10057;Gelderland;P25;1241;1166;19;27;1120;229;172;144;200;92;16;41;2;31;64;;2;6;10;1;;;110;;
Delft;G0503;10928;Zuid-Holland;P28;27773;26466;292;595;25579;7388;6851;4198;1603;973;680;909;877;201;930;110;609;81;;104;37;3;13;12;
Delfzijl;G0010;10976;Groningen;P20;5447;4960;78;138;4744;138;1164;978;461;797;129;142;486;288;7;91;3;5;;6;43;1;;5;
Den Bommel;G1024;10293;Zuid-Holland;P28;978;877;5;19;853;211;85;234;28;15;12;88;11;1;119;1;;2;;31;12;5;;;
Den Dungen;G0768;10491;Noord-Brabant;P30;950;936;1;3;932;777;2;5;;;;;;;;;;;146;;;1;;1;
Den Ham;G0159;10395;Overijssel;P23;3517;3321;66;73;3182;221;320;1095;986;128;51;55;12;170;22;8;5;18;;14;71;1;3;;2
Den Helder;G0400;10285;Noord-Holland;P27;19421;17574;303;508;16763;2078;4257;4928;610;3208;450;244;203;93;64;30;44;17;;12;13;9;9;494;
Denekamp;G0149;10245;Overijssel;P23;2982;2886;13;35;2838;2262;59;107;110;40;158;19;28;28;;1;15;1;6;;1;1;;;2
Deurne en Liessel;G1041;10379;Noord-Brabant;P30;5208;5059;36;36;4987;4722;21;36;96;11;31;3;6;;4;1;2;;37;3;6;5;3;;
Deventer;G0150;10899;Overijssel;P23;22516;21101;291;402;20408;3418;6477;1863;848;3026;802;858;1000;271;22;1596;134;14;5;5;31;12;9;13;4
Didam;G0218;10153;Gelderland;P25;2957;2864;20;18;2826;2227;31;16;30;20;43;3;;3;4;;11;;427;;1;1;7;2;
Diemen;G0384;11039;Noord-Holland;P27;2873;2785;69;58;2658;694;537;558;295;82;165;38;144;54;4;;;;;;;;;;
Diepenheim;G0151;10311;Overijssel;P23;1077;1010;8;34;968;77;294;113;85;248;46;83;10;6;2;;;;;;;;2;2;
Diepenveen;G0152;10933;Overijssel;P23;3762;3527;36;52;3439;966;663;444;405;453;209;139;16;16;6;25;2;3;;1;4;5;80;1;1
Diessen;G0763;11185;Noord-Brabant;P30;752;719;3;2;714;688;3;2;7;;1;;1;1;;;6;;1;;;1;3;;
Diever;G0111;10418;Drenthe;P22;1423;1364;17;29;1318;28;364;327;54;223;103;158;8;41;;;;1;;;1;;10;;
Dinteloord en Prinsenland;G0764;11193;Noord-Brabant;P30;1989;1833;27;22;1784;648;187;296;303;26;53;43;6;2;132;1;6;12;1;58;9;;;1;
